Orthogroup	NEMVE	BRAFL
OG0000013	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819	bflo_04326, bflo_04339, bflo_04331
OG0000015	NEMVE09590, NEMVE09832, NEMVE01566	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473, bflo_11972, bflo_10460, bflo_14872
OG0000016	NEMVE00914, NEMVE01462, NEMVE08573	bflo_24737
OG0000016	NEMVE05675	bflo_12769
OG0000017	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134	bflo_00104, bflo_25509, bflo_12984, bflo_04739, bflo_02215
OG0000018	NEMVE07261	bflo_08031
OG0000019	NEMVE06549	bflo_24292
OG0000019	NEMVE10214	bflo_10160, bflo_26497, bflo_00628
OG0000019	NEMVE10489	bflo_26518, bflo_26519, bflo_04870, bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556
OG0000020	NEMVE16730	bflo_04613
OG0000020	NEMVE06048, NEMVE13554	bflo_20627
OG0000020	NEMVE13603	bflo_13852
OG0000020	NEMVE05671	bflo_17473, bflo_27211
OG0000020	NEMVE18721	bflo_24908
OG0000020	NEMVE14242	bflo_12267
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	bflo_13699, bflo_11209, bflo_11497, bflo_01316, bflo_26255, bflo_05601, bflo_05497, bflo_24504, bflo_09206, bflo_24474, bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513, bflo_23109, bflo_01292
OG0000020	NEMVE05506	bflo_16368
OG0000020	NEMVE08770, NEMVE22771	bflo_14118
