Orthogroup	NEMVE	ASTMX
OG0000018	NEMVE12742, NEMVE12416	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	NEMVE10489	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156
OG0000020	NEMVE05671	ASTMX12285
OG0000020	NEMVE18721	ASTMX15062
OG0000020	NEMVE14242	ASTMX14060
OG0000020	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862	ASTMX00875, ASTMX06734, ASTMX14107, ASTMX08186, ASTMX17613, ASTMX00490, ASTMX12696, ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689, ASTMX16030, ASTMX16028
OG0000020	NEMVE05506	ASTMX17320
OG0000020	NEMVE08770, NEMVE22771	ASTMX04750, ASTMX21042
OG0000020	NEMVE13577	ASTMX05243
OG0000020	NEMVE13307	ASTMX04710, ASTMX22736
OG0000020	NEMVE21746	ASTMX07754
OG0000020	NEMVE13092	ASTMX13875
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	ASTMX00201, ASTMX09085, ASTMX02310, ASTMX16342
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	ASTMX09645
OG0000021	NEMVE04837	ASTMX21461, ASTMX05545, ASTMX13864, ASTMX09336
OG0000023	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449	ASTMX09201
OG0000023	NEMVE01882	ASTMX18896
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414
OG0000024	NEMVE05736, NEMVE12848	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426, ASTMX21974
OG0000026	NEMVE05956, NEMVE12539, NEMVE05975, NEMVE07911, NEMVE12540, NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807	ASTMX06810
OG0000026	NEMVE24164, NEMVE07469	ASTMX12978
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	ASTMX01705, ASTMX01846, ASTMX01847, ASTMX11673, ASTMX14527, ASTMX14528, ASTMX17505, ASTMX05220, ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713, ASTMX01680
OG0000029	NEMVE01722, NEMVE08343	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545
OG0000030	NEMVE02213, NEMVE02794	ASTMX22293
OG0000030	NEMVE06266, NEMVE00220	ASTMX01510
OG0000031	NEMVE00311, NEMVE00632	ASTMX22504
OG0000031	NEMVE02249	ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065
OG0000031	NEMVE01854	ASTMX08659, ASTMX04771
