Factor	Motif
TCONS_00052919	C2H2_ZF
TCONS_00042618	C2H2_ZF
TCONS_00011478	C2H2_ZF
TCONS_00001304	C2H2_ZF
TCONS_00035251	C2H2_ZF
TCONS_00049985	C2H2_ZF
TCONS_00041502	C2H2_ZF
TCONS_00043771	Homeodomain
TCONS_00032260	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00049440	GATA
TCONS_00025265	GATA
TCONS_00017935	GATA
TCONS_00021998	Sox
TCONS_00021994	Sox
TCONS_00045354	Sox
TCONS_00018547	C2H2_ZF
TCONS_00033556	bHLH
TCONS_00011478	bHLH
TCONS_00010312	bHLH
TCONS_00010317	bHLH
TCONS_00010307	bHLH
TCONS_00010310	bHLH
TCONS_00010318	bHLH
TCONS_00042488	bHLH
TCONS_00011580	Homeodomain_POU
TCONS_00017780	Homeodomain_POU
TCONS_00001951	Homeodomain_POU
TCONS_00033556	Mixed
TCONS_00027129	Mixed
TCONS_00023141	Mixed
TCONS_00022983	Ets
TCONS_00034215	Ets
TCONS_00033865	Ets
TCONS_00020196	Ets
TCONS_00048898	Ets
TCONS_00026381	Unknown
TCONS_00018209	Unknown
TCONS_00035035	Rel
TCONS_00003488	Rel
TCONS_00030912	Rel
TCONS_00010999	Rel
TCONS_00032264	Homeodomain
TCONS_00032260	Homeodomain
TCONS_00027939	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00016143	Homeodomain
TCONS_00032260	Homeodomain
TCONS_00032259	Homeodomain
TCONS_00014647	Homeodomain
TCONS_00010493	Homeodomain
TCONS_00032264	Homeodomain
TCONS_00032260	Homeodomain
TCONS_00043772	Homeodomain
TCONS_00026910	Homeodomain
TCONS_00027826	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00043771	Homeodomain
TCONS_00034215	Ets
TCONS_00016058	Nuclear_receptor
TCONS_00002702	Nuclear_receptor
TCONS_00006179	Homeodomain
TCONS_00044893	AP-2
TCONS_00022906	DP_E2F
TCONS_00041694	bZIP
TCONS_00041695	bZIP
TCONS_00053431	bZIP
TCONS_00030949	bZIP
TCONS_00043025	Myb_SANT
TCONS_00038420	Myb_SANT
TCONS_00016058	bZIP
TCONS_00010311	bZIP
TCONS_00010313	bZIP
TCONS_00011657	bZIP
TCONS_00020216	bZIP
TCONS_00053574	bZIP
TCONS_00007284	bZIP
TCONS_00032260	Homeodomain
TCONS_00027932	Homeodomain
TCONS_00043772	Homeodomain
TCONS_00011052	Homeodomain
TCONS_00006015	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032259	Homeodomain
TCONS_00031212	Homeodomain
TCONS_00031189	Homeodomain
TCONS_00012810	Homeodomain
TCONS_00003496	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00000580	bHLH
TCONS_00000584	bHLH
TCONS_00010522	bHLH
TCONS_00011867	bHLH
TCONS_00007126	E2F
TCONS_00017529	E2F
TCONS_00022906	E2F
TCONS_00022983	C2H2_ZF
TCONS_00010346	THAP_finger
TCONS_00042947	C2H2_ZF
TCONS_00054588	C2H2_ZF
TCONS_00003964	C2H2_ZF
TCONS_00003900	C2H2_ZF
TCONS_00041599	C2H2_ZF
TCONS_00003894	C2H2_ZF
TCONS_00002937	C2H2_ZF
TCONS_00016058	Nuclear_receptor
TCONS_00026894	Nuclear_receptor
TCONS_00027809	Nuclear_receptor
TCONS_00036467	Nuclear_receptor
TCONS_00028123	Nuclear_receptor
TCONS_00028111	Nuclear_receptor
TCONS_00019811	Nuclear_receptor
TCONS_00025057	Ets
TCONS_00025528	Ets
TCONS_00025526	Ets
TCONS_00026840	Ets
TCONS_00007126	E2F
TCONS_00055221	CSL
TCONS_00016604	Myb_SANT
TCONS_00019620	Homeodomain
TCONS_00027129	C2H2_ZF
TCONS_00053631	bHLH
TCONS_00053546	bHLH
TCONS_00010312	bZIP
TCONS_00010317	bZIP
TCONS_00010307	bZIP
TCONS_00010310	bZIP
TCONS_00010318	bZIP
TCONS_00016604	Myb_SANT
TCONS_00034245	bHLH
TCONS_00034036	bHLH
TCONS_00034003	bHLH
TCONS_00034241	bHLH
TCONS_00053631	bHLH
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00009611	Forkhead
TCONS_00026068	Forkhead
TCONS_00052512	Forkhead
TCONS_00029574	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00008966	Forkhead
TCONS_00006179	Homeodomain
TCONS_00029005	bZIP
TCONS_00004943	bZIP
TCONS_00010311	bZIP
TCONS_00010313	bZIP
TCONS_00011657	bZIP
TCONS_00053631	bZIP
TCONS_00010312	bZIP
TCONS_00010317	bZIP
TCONS_00010307	bZIP
TCONS_00010310	bZIP
TCONS_00010318	bZIP
TCONS_00053574	bZIP
TCONS_00001141	bZIP
TCONS_00030624	bZIP
TCONS_00020196	bZIP
TCONS_00010306	bZIP
TCONS_00035035	Mixed
TCONS_00003488	Mixed
TCONS_00017529	E2F
TCONS_00034245	bHLH
TCONS_00034036	bHLH
TCONS_00034003	bHLH
TCONS_00034241	bHLH
TCONS_00020216	bHLH
TCONS_00053631	bHLH
TCONS_00044644	bHLH
TCONS_00032260	Homeodomain
TCONS_00020805	Homeodomain
TCONS_00032267	Homeodomain
TCONS_00026910	Homeodomain
TCONS_00027826	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00019139	Homeodomain
TCONS_00026836	Homeodomain
TCONS_00032259	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00016058	C2H2_ZF
TCONS_00053708	SMAD
TCONS_00020216	bHLH
TCONS_00014608	bHLH
TCONS_00019983	bHLH
TCONS_00057143	bHLH
TCONS_00042110	bHLH
TCONS_00049616	Forkhead
TCONS_00000855	Forkhead
TCONS_00002015	Forkhead
TCONS_00013871	Sox
TCONS_00029005	Runt
TCONS_00001174	Runt
TCONS_00001186	Runt
TCONS_00023170	Homeodomain
TCONS_00025030	Homeodomain
TCONS_00025031	Homeodomain
TCONS_00020801	Homeodomain
TCONS_00027510	Homeodomain
TCONS_00031629	Homeodomain
TCONS_00027826	Homeodomain
TCONS_00026365	Homeodomain
TCONS_00019737	Homeodomain
TCONS_00016080	Homeodomain
TCONS_00053708	SMAD
TCONS_00026381	C2H2_ZF
TCONS_00018209	C2H2_ZF
TCONS_00046850	C2H2_ZF
TCONS_00011327	C2H2_ZF
TCONS_00032260	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00016080	Homeodomain
TCONS_00030369	Paired_box
TCONS_00010942	Paired_box
TCONS_00026600	Homeodomain
TCONS_00049440	Homeodomain
TCONS_00017529	E2F
TCONS_00007126	E2F
TCONS_00022906	E2F
TCONS_00025057	Mixed
TCONS_00025528	Mixed
TCONS_00025526	Mixed
TCONS_00026840	Mixed
TCONS_00035035	Mixed
TCONS_00003488	Mixed
TCONS_00030912	Mixed
TCONS_00021998	Sox
TCONS_00025066	Sox
TCONS_00045354	Sox
TCONS_00042277	bHLH
TCONS_00042276	bHLH
TCONS_00042229	bHLH
TCONS_00024122	bHLH
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00020167	STAT
TCONS_00028725	STAT
TCONS_00055221	CSL
TCONS_00042618	Unknown
TCONS_00009011	Unknown
TCONS_00032260	Homeodomain
TCONS_00043772	Homeodomain
TCONS_00032262	Homeodomain
TCONS_00032259	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00003496	Homeodomain
TCONS_00026711	Homeodomain
TCONS_00006015	Homeodomain
TCONS_00020803	Homeodomain
TCONS_00015951	Homeodomain
TCONS_00016143	Homeodomain
TCONS_00022983	C2H2_ZF
TCONS_00010312	C2H2_ZF
TCONS_00010317	C2H2_ZF
TCONS_00010307	C2H2_ZF
TCONS_00010310	C2H2_ZF
TCONS_00010318	C2H2_ZF
TCONS_00014283	bZIP
TCONS_00008464	bZIP
TCONS_00030624	Sox
TCONS_00014249	Forkhead
TCONS_00052518	Forkhead
TCONS_00008967	Forkhead
TCONS_00009611	Forkhead
TCONS_00026068	Forkhead
TCONS_00052512	Forkhead
TCONS_00000855	Forkhead
TCONS_00002015	Forkhead
TCONS_00009689	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00042950	Ets
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00009628	Homeodomain
TCONS_00026600	Homeodomain
TCONS_00001343	bHLH
TCONS_00001344	bHLH
TCONS_00038647	bZIP
TCONS_00016601	bZIP
TCONS_00031041	Homeodomain
TCONS_00031046	Homeodomain
TCONS_00031039	Homeodomain
TCONS_00030792	Homeodomain
TCONS_00011489	Homeodomain
TCONS_00011491	Homeodomain
TCONS_00027222	bHLH
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00016058	Forkhead
TCONS_00008967	Forkhead
TCONS_00009611	Forkhead
TCONS_00026068	Forkhead
TCONS_00052512	Forkhead
TCONS_00020216	Forkhead
TCONS_00025375	Forkhead
TCONS_00029574	Forkhead
TCONS_00030624	Forkhead
TCONS_00049440	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00054648	C2H2_ZF
TCONS_00042983	C2H2_ZF
TCONS_00042277	bHLH
TCONS_00042276	bHLH
TCONS_00042229	bHLH
TCONS_00046850	bHLH
TCONS_00011327	bHLH
TCONS_00051437	bHLH
TCONS_00042277	bHLH
TCONS_00042276	bHLH
TCONS_00042229	bHLH
TCONS_00049440	GATA
TCONS_00017935	GATA
TCONS_00030938	bZIP
TCONS_00010311	bZIP
TCONS_00010313	bZIP
TCONS_00011657	bZIP
TCONS_00053631	bZIP
TCONS_00010312	bZIP
TCONS_00010317	bZIP
TCONS_00010307	bZIP
TCONS_00010310	bZIP
TCONS_00010318	bZIP
TCONS_00053574	bZIP
TCONS_00044893	bZIP
TCONS_00033865	bZIP
TCONS_00010070	bZIP
TCONS_00001141	bZIP
TCONS_00011327	bZIP
TCONS_00049440	bZIP
TCONS_00010306	bZIP
TCONS_00023129	Homeodomain_Paired_box
TCONS_00010346	C2H2_ZF
TCONS_00016601	bZIP
TCONS_00029005	MADS_box
TCONS_00042618	Mixed
TCONS_00011478	Mixed
TCONS_00018547	C2H2_ZF
TCONS_00014249	Forkhead
TCONS_00052518	Forkhead
TCONS_00008967	Forkhead
TCONS_00011336	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00051990	Forkhead
TCONS_00051989	Forkhead
TCONS_00051149	Forkhead
TCONS_00008648	T-box
TCONS_00016058	Nuclear_receptor
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00019811	Nuclear_receptor
TCONS_00016058	Nuclear_receptor
TCONS_00053458	DM
TCONS_00054293	DM
TCONS_00054584	DM
TCONS_00004140	Nuclear_receptor
TCONS_00016106	Nuclear_receptor
TCONS_00055839	bHLH
TCONS_00045794	bHLH
TCONS_00044645	bHLH
TCONS_00016058	Nuclear_receptor
TCONS_00026894	Nuclear_receptor
TCONS_00027809	Nuclear_receptor
TCONS_00028123	Nuclear_receptor
TCONS_00028111	Nuclear_receptor
TCONS_00048639	Sox
TCONS_00052518	Forkhead
TCONS_00008967	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00022983	C2H2_ZF
TCONS_00016058	Nuclear_receptor
TCONS_00026894	Nuclear_receptor
TCONS_00027809	Nuclear_receptor
TCONS_00018009	bHLH
TCONS_00016604	Myb_SANT
TCONS_00055099	RFX
TCONS_00020783	RFX
TCONS_00020784	RFX
TCONS_00020774	RFX
TCONS_00046367	Homeodomain
TCONS_00038300	Homeodomain
TCONS_00038275	Homeodomain
TCONS_00009035	Homeodomain
TCONS_00010844	Homeodomain
TCONS_00019012	bHLH
TCONS_00046850	bHLH
TCONS_00024122	bHLH
TCONS_00005147	bHLH
TCONS_00011327	bHLH
TCONS_00046180	bHLH
TCONS_00035251	bHLH
TCONS_00049985	bHLH
TCONS_00041502	bHLH
TCONS_00042618	Mixed
TCONS_00034949	Mixed
TCONS_00042478	Homeodomain
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00053574	C2H2_ZF
TCONS_00017780	Homeodomain_POU
TCONS_00001951	Homeodomain_POU
TCONS_00052518	Forkhead
TCONS_00014249	Forkhead
TCONS_00008967	Forkhead
TCONS_00026068	Forkhead
TCONS_00009611	Forkhead
TCONS_00052512	Forkhead
TCONS_00009689	Forkhead
TCONS_00008968	Forkhead
TCONS_00051149	Forkhead
TCONS_00010312	bZIP
TCONS_00010317	bZIP
TCONS_00010307	bZIP
TCONS_00010310	bZIP
TCONS_00010318	bZIP
TCONS_00053574	bZIP
TCONS_00020196	bZIP
TCONS_00010306	bZIP
TCONS_00000855	Forkhead
TCONS_00002015	Forkhead
TCONS_00010677	C2H2_ZF
TCONS_00027470	C2H2_ZF
TCONS_00033556	Mixed
TCONS_00011478	Mixed
TCONS_00017915	Mixed
TCONS_00034245	bHLH
TCONS_00034036	bHLH
TCONS_00034003	bHLH
TCONS_00034241	bHLH
TCONS_00030272	bHLH
TCONS_00025265	bHLH
TCONS_00019983	Homeodomain_POU
TCONS_00021994	Homeodomain_POU
TCONS_00038001	bHLH
TCONS_00049440	GATA
TCONS_00050566	p53
TCONS_00052037	p53
TCONS_00036511	p53
TCONS_00029183	bHLH
TCONS_00024122	bHLH
TCONS_00021998	Sox
TCONS_00021994	Sox
TCONS_00045354	Sox
TCONS_00018160	C2H2_ZF
TCONS_00017948	C2H2_ZF
TCONS_00019983	C2H2_ZF
TCONS_00025057	Ets
TCONS_00025528	Ets
TCONS_00025526	Ets
TCONS_00026840	Ets
TCONS_00044893	AP-2
TCONS_00033865	Ets
TCONS_00033556	C2H2_ZF
TCONS_00035035	C2H2_ZF
TCONS_00003488	C2H2_ZF
TCONS_00055099	RFX
TCONS_00020783	RFX
TCONS_00020784	RFX
TCONS_00020774	RFX
TCONS_00053533	RFX
TCONS_00042618	Mixed
TCONS_00020630	Grainyhead
TCONS_00005096	Unknown
TCONS_00026505	Homeodomain
TCONS_00019983	C2H2_ZF
TCONS_00010070	C2H2_ZF
TCONS_00016058	Nuclear_receptor
TCONS_00002941	Nuclear_receptor
TCONS_00002946	Nuclear_receptor
TCONS_00002944	Nuclear_receptor
TCONS_00027939	Homeodomain
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00055099	RFX
TCONS_00020783	RFX
TCONS_00020784	RFX
TCONS_00020774	RFX
TCONS_00056016	RFX
TCONS_00056445	RFX
TCONS_00037318	RFX
TCONS_00053533	RFX
TCONS_00032266	Homeodomain
TCONS_00032269	Homeodomain
TCONS_00032270	Homeodomain
TCONS_00032272	Homeodomain
TCONS_00010311	bZIP
TCONS_00010313	bZIP
TCONS_00011657	bZIP
