Orthogroup	HUMAN	NEMVE
OG0000081	HUMAN13949, HUMAN13947, HUMAN13948, HUMAN27508, HUMAN09549, HUMAN21908, HUMAN19354, HUMAN21352	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056
OG0000082	HUMAN29167	NEMVE19066
OG0000082	HUMAN23869	NEMVE05388
OG0000082	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645	NEMVE14867, NEMVE15134
OG0000083	HUMAN07535, HUMAN22993	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091
OG0000084	HUMAN22750, HUMAN17196, HUMAN03227	NEMVE07901
OG0000085	HUMAN12866, HUMAN20608, HUMAN17788	NEMVE09794, NEMVE03205
OG0000085	HUMAN13119, HUMAN07215	NEMVE07289
OG0000085	HUMAN26172	NEMVE07695, NEMVE08967, NEMVE08972
OG0000085	HUMAN30084, HUMAN01484, HUMAN25335, HUMAN25334	NEMVE05696
OG0000085	HUMAN19734, HUMAN19733, HUMAN05027	NEMVE18682, NEMVE18681
OG0000085	HUMAN07214, HUMAN13120	NEMVE13608
OG0000087	HUMAN11956	NEMVE14074
OG0000087	HUMAN11957	NEMVE12577
OG0000087	HUMAN02557	NEMVE07184
OG0000087	HUMAN17213	NEMVE14184
OG0000087	HUMAN18010	NEMVE13354, NEMVE03416, NEMVE04646
OG0000087	HUMAN21063	NEMVE02951
OG0000087	HUMAN10659	NEMVE25319
OG0000088	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367	NEMVE24299, NEMVE07906, NEMVE16345, NEMVE14559, NEMVE09565, NEMVE02110
OG0000089	HUMAN29653, HUMAN25674	NEMVE15803
OG0000089	HUMAN25675	NEMVE15621, NEMVE15853
OG0000090	HUMAN24709	NEMVE05578
OG0000094	HUMAN02308, HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866	NEMVE05621
OG0000094	HUMAN02204, HUMAN29518, HUMAN14811, HUMAN14814, HUMAN29867, HUMAN14812	NEMVE03407, NEMVE03409, NEMVE03406
OG0000096	HUMAN30343, HUMAN07778, HUMAN21683	NEMVE15121
OG0000096	HUMAN01418, HUMAN23507, HUMAN06774	NEMVE14782
OG0000096	HUMAN06336, HUMAN27289	NEMVE22574
OG0000096	HUMAN13889, HUMAN01832	NEMVE22432
OG0000096	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866	NEMVE25573
OG0000096	HUMAN04200, HUMAN04201, HUMAN16028, HUMAN21561	NEMVE14773
OG0000098	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602	NEMVE25900
OG0000098	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771	NEMVE07244, NEMVE05378
OG0000101	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478, HUMAN22036, HUMAN22037	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533
