Orthogroup	HUMAN	ASTMX
OG0000020	HUMAN21854	ASTMX07958, ASTMX18318
OG0000020	HUMAN21853	ASTMX16689
OG0000020	HUMAN02145	ASTMX17320
OG0000020	HUMAN30100	ASTMX04750
OG0000020	HUMAN07717, HUMAN22328	ASTMX21042
OG0000020	HUMAN00010	ASTMX05243
OG0000020	HUMAN23847	ASTMX04710
OG0000020	HUMAN22639	ASTMX07754
OG0000020	HUMAN20816	ASTMX13875
OG0000021	HUMAN20500	ASTMX05285, ASTMX16996
OG0000021	HUMAN30680, HUMAN30504	ASTMX04046
OG0000021	HUMAN20539	ASTMX00802, ASTMX04036
OG0000021	HUMAN05766	ASTMX15788
OG0000021	HUMAN20499	ASTMX05284
OG0000021	HUMAN11054	ASTMX00201
OG0000021	HUMAN23166	ASTMX09085
OG0000021	HUMAN12331	ASTMX02310
OG0000021	HUMAN04273	ASTMX21461
OG0000021	HUMAN30251	ASTMX05545
OG0000021	HUMAN00882, HUMAN00880, HUMAN00881	ASTMX13864
OG0000021	HUMAN24068	ASTMX09336
OG0000023	HUMAN19878, HUMAN19879	ASTMX07788
OG0000023	HUMAN08127, HUMAN08129	ASTMX10048, ASTMX07031
OG0000023	HUMAN11129	ASTMX08985
OG0000023	HUMAN18897	ASTMX18700
OG0000023	HUMAN27999	ASTMX14127, ASTMX07394
OG0000023	HUMAN07398	ASTMX03414
OG0000023	HUMAN12427	ASTMX11687
OG0000023	HUMAN06585, HUMAN06584	ASTMX14286, ASTMX19623
OG0000023	HUMAN05394	ASTMX04385, ASTMX04386
OG0000023	HUMAN05404	ASTMX11217
OG0000023	HUMAN11050	ASTMX00199
OG0000023	HUMAN19103	ASTMX01795
OG0000026	HUMAN16545	ASTMX06810
OG0000026	HUMAN07669	ASTMX12978
OG0000027	HUMAN15899, HUMAN15933	ASTMX01846, ASTMX01847, ASTMX11673
OG0000027	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463	ASTMX17505, ASTMX05220
OG0000027	HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713
OG0000027	HUMAN16847	ASTMX01680
OG0000028	HUMAN22344	ASTMX01628, ASTMX11626
OG0000028	HUMAN03982	ASTMX11297, ASTMX12202
OG0000028	HUMAN09209	ASTMX18482, ASTMX18778
OG0000028	HUMAN01776	ASTMX14889, ASTMX21200, ASTMX09164
OG0000028	HUMAN09895	ASTMX21506
OG0000028	HUMAN09894	ASTMX21505
OG0000028	HUMAN27765	ASTMX21832
OG0000028	HUMAN27611	ASTMX08169, ASTMX10814
OG0000028	HUMAN19281	ASTMX02886
OG0000028	HUMAN27764	ASTMX14890, ASTMX22400
OG0000028	HUMAN17889	ASTMX17696, ASTMX05417
OG0000028	HUMAN09193, HUMAN09206	ASTMX01721, ASTMX15155
OG0000029	HUMAN05232, HUMAN14995	ASTMX02055
OG0000029	HUMAN11203	ASTMX06262
OG0000029	HUMAN18356	ASTMX11166
OG0000029	HUMAN17029	ASTMX03267, ASTMX11576
OG0000029	HUMAN24898	ASTMX19971
OG0000029	HUMAN21852	ASTMX06514, ASTMX07156
OG0000029	HUMAN17820	ASTMX12065
OG0000029	HUMAN02270	ASTMX02396
OG0000029	HUMAN21749, HUMAN19538	ASTMX01708
OG0000030	HUMAN23234, HUMAN23233, HUMAN23232	ASTMX06934
OG0000030	HUMAN01740	ASTMX13784, ASTMX06816
OG0000030	HUMAN28679	ASTMX18369
OG0000030	HUMAN30219	ASTMX04112, ASTMX02697
OG0000030	HUMAN06064	ASTMX07740, ASTMX14326
OG0000031	HUMAN29956	ASTMX03913
OG0000031	HUMAN17850	ASTMX08659
OG0000031	HUMAN06489	ASTMX01055
OG0000031	HUMAN17883	ASTMX17701
OG0000031	HUMAN26042	ASTMX18426, ASTMX12571
OG0000031	HUMAN12874	ASTMX22712
OG0000031	HUMAN26043	ASTMX12572
OG0000031	HUMAN09203	ASTMX05128
OG0000031	HUMAN28770	ASTMX18163
OG0000031	HUMAN26979, HUMAN14235	ASTMX11402, ASTMX09693, ASTMX17541
OG0000031	HUMAN07725	ASTMX00105
OG0000031	HUMAN14922	ASTMX13865, ASTMX02854, ASTMX20534
OG0000031	HUMAN14786	ASTMX14725
OG0000031	HUMAN07726	ASTMX04176
OG0000031	HUMAN18121	ASTMX13001, ASTMX20334
OG0000031	HUMAN02818, HUMAN02819	ASTMX13774, ASTMX02637
OG0000032	HUMAN27902	ASTMX08687, ASTMX18764
OG0000032	HUMAN06100	ASTMX19317
OG0000032	HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105	ASTMX01991
OG0000032	HUMAN21527	ASTMX08768
OG0000032	HUMAN05202	ASTMX12211
OG0000032	HUMAN10072	ASTMX09018
OG0000032	HUMAN19258	ASTMX06705
OG0000034	HUMAN10850	ASTMX17089, ASTMX19482, ASTMX22636
OG0000034	HUMAN11671	ASTMX03521
OG0000034	HUMAN07186	ASTMX05967, ASTMX21201
OG0000034	HUMAN11672, HUMAN11673	ASTMX03519
OG0000034	HUMAN16090	ASTMX17020
OG0000034	HUMAN04116	ASTMX02547, ASTMX01081
OG0000034	HUMAN06217	ASTMX20715
OG0000034	HUMAN01449	ASTMX17446
OG0000034	HUMAN02345	ASTMX22336, ASTMX07448
OG0000034	HUMAN06854	ASTMX16123, ASTMX02622
OG0000034	HUMAN03933	ASTMX00372
OG0000034	HUMAN01831	ASTMX09860, ASTMX06813
OG0000034	HUMAN13891	ASTMX07013
OG0000034	HUMAN04678	ASTMX12428, ASTMX02190
OG0000034	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093	ASTMX01548
OG0000034	HUMAN04988	ASTMX02136
OG0000035	HUMAN06576	ASTMX17732
OG0000035	HUMAN09866	ASTMX21245
OG0000035	HUMAN06191	ASTMX07147
OG0000035	HUMAN03898	ASTMX00613, ASTMX06338
OG0000035	HUMAN05812, HUMAN05810	ASTMX07227, ASTMX07114
OG0000035	HUMAN01460	ASTMX00989, ASTMX19852
OG0000035	HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953	ASTMX00242
