Orthogroup	HUMAN	DANRE
OG0000041	HUMAN16072	DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718
OG0000041	HUMAN04227	DANRE38473, DANRE38474, DANRE38475, DANRE25228
OG0000041	HUMAN06826	DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700
OG0000041	HUMAN01391	DANRE40396, DANRE40397
OG0000041	HUMAN01400	DANRE29492
OG0000041	HUMAN01399	DANRE36857, DANRE22432
OG0000041	HUMAN05837	DANRE25655, DANRE33053
OG0000041	HUMAN01401	DANRE36856
OG0000041	HUMAN05836	DANRE25654, DANRE43342
OG0000041	HUMAN04298	DANRE38441
OG0000041	HUMAN19139	DANRE36805
OG0000041	HUMAN27913	DANRE27215, DANRE24076
OG0000041	HUMAN16617	DANRE05493, DANRE05492, DANRE18224
OG0000041	HUMAN16643	DANRE05473
OG0000041	HUMAN19052	DANRE36043
OG0000042	HUMAN21251	DANRE42454, DANRE42453, DANRE42455
OG0000043	HUMAN05606	DANRE34152
OG0000043	HUMAN01578	DANRE00964
OG0000044	HUMAN24292	DANRE20253, DANRE20252
OG0000044	HUMAN22106	DANRE04869, DANRE04868, DANRE04870
OG0000044	HUMAN27711	DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199
OG0000044	HUMAN03716, HUMAN03718, HUMAN03717	DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875
OG0000044	HUMAN24391	DANRE06457
OG0000044	HUMAN07519	DANRE17818, DANRE24284, DANRE24283
OG0000044	HUMAN07517	DANRE24280
OG0000044	HUMAN03043	DANRE05244, DANRE05245
OG0000045	HUMAN02932	DANRE38824
OG0000045	HUMAN29444	DANRE27285, DANRE27286, DANRE19466
OG0000045	HUMAN28768	DANRE00498, DANRE00497, DANRE34860, DANRE34861
OG0000046	HUMAN23116	DANRE15742
OG0000046	HUMAN22960	DANRE15458, DANRE15457
OG0000046	HUMAN22324, HUMAN22325, HUMAN22323	DANRE06026, DANRE06027
OG0000048	HUMAN29551	DANRE06169
OG0000048	HUMAN29550	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	HUMAN12292	DANRE08312, DANRE01208, DANRE01209, DANRE06170, DANRE08212, DANRE08213, DANRE08214
OG0000048	HUMAN08560, HUMAN08561	DANRE24176, DANRE24175, DANRE27247, DANRE27248, DANRE24174, DANRE24603, DANRE05500
OG0000048	HUMAN16644	DANRE17556, DANRE05472
OG0000048	HUMAN11449	DANRE26183
OG0000049	HUMAN25699	DANRE18176, DANRE10819
OG0000049	HUMAN05316	DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	HUMAN20965	DANRE36715, DANRE36714, DANRE02678
OG0000049	HUMAN26499	DANRE12445
OG0000049	HUMAN24353	DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436
OG0000049	HUMAN24922, HUMAN24921	DANRE36818, DANRE36819
OG0000049	HUMAN26912	DANRE30745, DANRE25833
OG0000049	HUMAN05318	DANRE10820
OG0000049	HUMAN26500	DANRE30744
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000053	HUMAN01064	DANRE17521
OG0000054	HUMAN23119	DANRE06791, DANRE15743
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964	DANRE09041, DANRE09042
OG0000054	HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895	DANRE04360
OG0000055	HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580	DANRE00963
OG0000056	HUMAN22445	DANRE39460, DANRE39459
OG0000056	HUMAN14849	DANRE30224, DANRE30223
OG0000056	HUMAN01194	DANRE01911, DANRE01910
OG0000056	HUMAN07396, HUMAN07395	DANRE40924, DANRE40923
OG0000056	HUMAN14865	DANRE30239
OG0000057	HUMAN23569	DANRE01491, DANRE01492, DANRE34768, DANRE34769
OG0000057	HUMAN10014	DANRE25607, DANRE38933
OG0000057	HUMAN29650	DANRE02560, DANRE02558, DANRE02559
