Orthogroup	HUMAN	SCHMD
OG0000140	HUMAN06860, HUMAN05842, HUMAN03908	SCHMD01677
OG0000147	HUMAN18499, HUMAN00218	SCHMD11019
OG0000147	HUMAN24559, HUMAN27635	SCHMD11968
OG0000148	HUMAN20409, HUMAN21158, HUMAN20413, HUMAN20412, HUMAN05377, HUMAN02391, HUMAN06229	SCHMD08056
OG0000148	HUMAN06230	SCHMD08055
OG0000149	HUMAN10034, HUMAN23690	SCHMD06205, SCHMD05440
OG0000151	HUMAN26562, HUMAN12958, HUMAN06281, HUMAN17972, HUMAN17973	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	HUMAN29073, HUMAN01218, HUMAN01219	SCHMD02747, SCHMD12342
OG0000153	HUMAN26709, HUMAN15537	SCHMD05163, SCHMD05160, SCHMD02381
OG0000155	HUMAN28367, HUMAN28368, HUMAN25231, HUMAN00772, HUMAN25229, HUMAN28369	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000155	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771	SCHMD13125
OG0000157	HUMAN28808, HUMAN14307	SCHMD03548, SCHMD06363
OG0000157	HUMAN11058, HUMAN11059	SCHMD01802
OG0000158	HUMAN19321, HUMAN25759, HUMAN27804	SCHMD18936
OG0000158	HUMAN03704	SCHMD15100, SCHMD15049
OG0000159	HUMAN27903	SCHMD26601, SCHMD09606
OG0000159	HUMAN25418, HUMAN29307, HUMAN04389, HUMAN23217, HUMAN11668	SCHMD14942
OG0000162	HUMAN17808, HUMAN17813, HUMAN17807	SCHMD08936, SCHMD26694
OG0000163	HUMAN20181, HUMAN13484, HUMAN13482, HUMAN13483, HUMAN13485, HUMAN13486, HUMAN20190	SCHMD23090
OG0000163	HUMAN12888, HUMAN06524, HUMAN26092	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
