Orthogroup	HUMAN	CAPO3
OG0000538	HUMAN17702, HUMAN06667, HUMAN06666, HUMAN03004	CAPO300039
OG0000538	HUMAN12817	CAPO302001
OG0000548	HUMAN24231, HUMAN27638, HUMAN27637, HUMAN17353, HUMAN03638, HUMAN02528, HUMAN06895, HUMAN20990, HUMAN30501	CAPO307253, CAPO307370
OG0000551	HUMAN21041	CAPO305700
OG0000552	HUMAN23579, HUMAN23580, HUMAN13654, HUMAN30481	CAPO302805
OG0000553	HUMAN02361, HUMAN06910, HUMAN19362, HUMAN05458, HUMAN05459, HUMAN20240, HUMAN12995	CAPO302261
OG0000554	HUMAN28125, HUMAN24025, HUMAN27604, HUMAN22160, HUMAN27603, HUMAN03797, HUMAN24024, HUMAN16725	CAPO300205
OG0000561	HUMAN08902, HUMAN08905, HUMAN04883, HUMAN23834	CAPO307817, CAPO304686, CAPO304296
OG0000563	HUMAN07268, HUMAN13046, HUMAN07267	CAPO305151
OG0000566	HUMAN13951, HUMAN09508, HUMAN09507, HUMAN12454	CAPO306820
OG0000567	HUMAN07964, HUMAN01748, HUMAN14288, HUMAN14286, HUMAN14287	CAPO300710, CAPO302895
OG0000572	HUMAN11669, HUMAN16893, HUMAN09020, HUMAN04717, HUMAN16892, HUMAN09021, HUMAN05894, HUMAN00191, HUMAN00192	CAPO302048
OG0000573	HUMAN05881, HUMAN26705, HUMAN21827, HUMAN00083	CAPO301573
