Orthogroup	APOSC_ok	BRALA
OG0000014	APOSC_00187	BRALA28626, BRALA28625, BRALA28624
OG0000015	APOSC_08494	BRALA06628
OG0000015	APOSC_04279	BRALA22447
OG0000016	APOSC_05404	BRALA00485
OG0000016	APOSC_09216	BRALA32113, BRALA10406
OG0000016	APOSC_26907	BRALA09688
OG0000016	APOSC_26372, APOSC_26868, APOSC_26028	BRALA21418, BRALA29534, BRALA13585
OG0000016	APOSC_27534	BRALA33945, BRALA35656, BRALA16777, BRALA04807, BRALA04808
OG0000016	APOSC_05485	BRALA09686
OG0000016	APOSC_19884	BRALA22170
OG0000017	APOSC_04701	BRALA05160
OG0000017	APOSC_10874	BRALA33969
OG0000017	APOSC_22083, APOSC_26544	BRALA23160, BRALA12731
OG0000018	APOSC_17923	BRALA26433
OG0000018	APOSC_01143, APOSC_05051, APOSC_27730, APOSC_15473, APOSC_09190, APOSC_02455, APOSC_11910	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561
OG0000018	APOSC_18020	BRALA32899, BRALA10376, BRALA33972, BRALA06055, BRALA32913, BRALA27818, BRALA31950, BRALA27816
OG0000018	APOSC_25698	BRALA27952, BRALA31952
OG0000018	APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807	BRALA27097
OG0000018	APOSC_18141	BRALA26026
OG0000018	APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689	BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485
OG0000019	APOSC_11237, APOSC_00757, APOSC_06078, APOSC_12007, APOSC_14511, APOSC_21290, APOSC_03807, APOSC_15494	BRALA00309, BRALA00310, BRALA00311
OG0000019	APOSC_14801, APOSC_11507	BRALA00404, BRALA00405
OG0000020	APOSC_14708	BRALA09135
OG0000020	APOSC_13376	BRALA28848
OG0000020	APOSC_28648	BRALA05608
OG0000020	APOSC_00691	BRALA27392
OG0000020	APOSC_03094	BRALA11912
OG0000020	APOSC_07853	BRALA18130
OG0000020	APOSC_14067	BRALA12599
OG0000020	APOSC_25230	BRALA10628
OG0000021	APOSC_11990	BRALA18963
OG0000021	APOSC_13612	BRALA18098
OG0000021	APOSC_02202	BRALA30352
OG0000021	APOSC_27384	BRALA34639, BRALA31905
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	BRALA06012
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	BRALA20360, BRALA20164
OG0000023	APOSC_14758	BRALA34393, BRALA34449, BRALA33273
OG0000023	APOSC_29066, APOSC_12894	BRALA25880
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437
OG0000023	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870	BRALA17881, BRALA21074, BRALA03421
OG0000024	APOSC_19344, APOSC_19343, APOSC_19342, APOSC_21649, APOSC_27461, APOSC_10842, APOSC_04012, APOSC_04013, APOSC_04014, APOSC_08549, APOSC_21398, APOSC_17589	BRALA13162, BRALA17266
