Orthogroup	APOSC_ok	PFLAV
OG0000016	APOSC_19884	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000017	APOSC_21350	TCONS_00051588.p1
OG0000017	APOSC_04701	TCONS_00056547.p1, TCONS_00003153.p1, TCONS_00035681.p1
OG0000017	APOSC_10126	TCONS_00015500.p1, TCONS_00014886.p1, TCONS_00040430.p1, TCONS_00029800.p1, TCONS_00024558.p1
OG0000017	APOSC_17962	TCONS_00003294.p1, TCONS_00017646.p1, TCONS_00035188.p1
OG0000017	APOSC_16160	TCONS_00010804.p1, TCONS_00041803.p1
OG0000017	APOSC_14184, APOSC_24575, APOSC_11424, APOSC_16019, APOSC_08524	TCONS_00053694.p1
OG0000017	APOSC_14095	TCONS_00054246.p1
OG0000017	APOSC_11683	TCONS_00052167.p1
OG0000017	APOSC_01963	TCONS_00045938.p1, TCONS_00049973.p1
OG0000017	APOSC_00742, APOSC_00743	TCONS_00009025.p1, TCONS_00012231.p1, TCONS_00036792.p1, TCONS_00049753.p1
OG0000017	APOSC_22083, APOSC_26544	TCONS_00032137.p1
OG0000017	APOSC_02943	TCONS_00002336.p1
OG0000017	APOSC_06737	TCONS_00044273.p1, TCONS_00027912.p1, TCONS_00036791.p1
OG0000017	APOSC_16567	TCONS_00033854.p1
OG0000017	APOSC_05780	TCONS_00045605.p1, TCONS_00029380.p1
OG0000018	APOSC_17923	TCONS_00046017.p1, TCONS_00025610.p1, TCONS_00028359.p1
OG0000018	APOSC_05051, APOSC_27730, APOSC_15473	TCONS_00046113.p1
OG0000018	APOSC_11910	TCONS_00036832.p1, TCONS_00044138.p1
OG0000018	APOSC_04585, APOSC_04584	TCONS_00050340.p1, TCONS_00027744.p1, TCONS_00032664.p1
OG0000018	APOSC_18020	TCONS_00015755.p1
OG0000018	APOSC_00300	TCONS_00052465.p2, TCONS_00004686.p1
OG0000018	APOSC_25698	TCONS_00032947.p1, TCONS_00032969.p1, TCONS_00000391.p1, TCONS_00048935.p1, TCONS_00033860.p1
OG0000018	APOSC_08452, APOSC_21594, APOSC_14592	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1
OG0000018	APOSC_28174, APOSC_28173	TCONS_00014702.p2
OG0000018	APOSC_15394	TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1
OG0000018	APOSC_07808, APOSC_07807	TCONS_00034742.p1
OG0000018	APOSC_12393	TCONS_00033069.p1, TCONS_00046063.p1, TCONS_00034452.p2, TCONS_00032574.p1, TCONS_00045936.p1
OG0000018	APOSC_18141	TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1
OG0000018	APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689	TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1
OG0000019	APOSC_15479	TCONS_00028088.p1
OG0000019	APOSC_17249, APOSC_17250, APOSC_21840	TCONS_00014266.p1, TCONS_00027859.p1
OG0000019	APOSC_15494	TCONS_00048059.p1
OG0000019	APOSC_11447	TCONS_00042363.p1
OG0000019	APOSC_14801, APOSC_11507	TCONS_00007955.p1
OG0000019	APOSC_10943, APOSC_07328, APOSC_07329, APOSC_13030, APOSC_10924, APOSC_18630, APOSC_20315	TCONS_00009589.p1, TCONS_00043166.p1, TCONS_00043167.p1, TCONS_00050243.p1, TCONS_00050238.p1, TCONS_00050241.p1, TCONS_00050235.p1, TCONS_00050242.p1, TCONS_00050237.p1, TCONS_00050240.p1, TCONS_00050234.p1, TCONS_00050233.p1, TCONS_00050246.p1, TCONS_00050249.p1, TCONS_00043170.p1, TCONS_00043821.p1
OG0000020	APOSC_14708	TCONS_00055662.p1
OG0000020	APOSC_13376	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1
OG0000020	APOSC_27693	TCONS_00018790.p1
OG0000020	APOSC_28648	TCONS_00054537.p1
OG0000020	APOSC_26550	TCONS_00020870.p1
OG0000020	APOSC_09964	TCONS_00019497.p1
OG0000020	APOSC_00691	TCONS_00016378.p1
OG0000020	APOSC_05461	TCONS_00031077.p1
OG0000020	APOSC_07853	TCONS_00056690.p1
OG0000020	APOSC_14067	TCONS_00042754.p1
OG0000020	APOSC_25230	TCONS_00019367.p1
OG0000021	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253	TCONS_00047235.p1, TCONS_00047455.p1
OG0000021	APOSC_13612	TCONS_00025493.p1
OG0000021	APOSC_06563, APOSC_06562	TCONS_00048454.p1
OG0000021	APOSC_02202	TCONS_00006555.p1
OG0000021	APOSC_26674	TCONS_00005425.p1
OG0000021	APOSC_27384	TCONS_00005068.p1, TCONS_00005066.p1
OG0000021	APOSC_09814	TCONS_00048529.p1, TCONS_00048461.p1, TCONS_00048530.p1, TCONS_00048462.p1, TCONS_00048631.p1, TCONS_00047352.p1, TCONS_00044070.p1, TCONS_00044077.p1
