Orthogroup	APOSC_ok	DROME
OG0000068	APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082, APOSC_20989, APOSC_25395, APOSC_02568	DROME18209
OG0000069	APOSC_25357, APOSC_25356	DROME03713
OG0000069	APOSC_27459	DROME19859, DROME00928
OG0000069	APOSC_11021	DROME03718
OG0000070	APOSC_23675	DROME17588, DROME17589, DROME19032
OG0000072	APOSC_14045	DROME12247, DROME12248
OG0000072	APOSC_12820	DROME00750
OG0000072	APOSC_22786, APOSC_22112	DROME14913
OG0000073	APOSC_20982	DROME14684
OG0000074	APOSC_10399, APOSC_08687, APOSC_25382	DROME03014
OG0000075	APOSC_10923	DROME01374
OG0000075	APOSC_07538	DROME01375
OG0000075	APOSC_20859	DROME04883, DROME04882
OG0000077	APOSC_19689	DROME07079, DROME07077, DROME07078
OG0000077	APOSC_21239	DROME18051
OG0000078	APOSC_00200, APOSC_02992, APOSC_10949, APOSC_21464, APOSC_21465	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111
OG0000079	APOSC_14016, APOSC_18637, APOSC_09201	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316
OG0000079	APOSC_14696	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	APOSC_10552, APOSC_10551	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	APOSC_06744	DROME01298
OG0000082	APOSC_14161	DROME20298
OG0000082	APOSC_20096	DROME05998
OG0000082	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149	DROME11174, DROME11173, DROME15008
OG0000082	APOSC_04906, APOSC_05380, APOSC_05381	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000083	APOSC_20881	DROME17112
OG0000083	APOSC_12323	DROME20486, DROME20487
OG0000084	APOSC_25447	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	APOSC_11978, APOSC_20094	DROME17344, DROME17343, DROME17345
OG0000085	APOSC_00722	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	APOSC_00825	DROME00999, DROME00998, DROME01000
