Orthogroup	BRALA	HUMAN
OG0000035	BRALA13915, BRALA22877	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	BRALA13917	HUMAN04383
OG0000036	BRALA03126, BRALA19967	HUMAN08124, HUMAN11288
OG0000036	BRALA22400	HUMAN11555
OG0000036	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181	HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	BRALA35896	HUMAN11289
OG0000036	BRALA31321, BRALA06755, BRALA06753, BRALA18345	HUMAN22872
OG0000036	BRALA22402, BRALA22404	HUMAN27983, HUMAN15223
OG0000037	BRALA22282	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	BRALA22275	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	BRALA16015	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	BRALA16388	HUMAN03689
OG0000038	BRALA13194	HUMAN18258
OG0000038	BRALA18077	HUMAN19701
OG0000038	BRALA27417	HUMAN18257
OG0000039	BRALA01170, BRALA17648, BRALA19632, BRALA19635	HUMAN29023
OG0000039	BRALA31558	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450
OG0000039	BRALA19542	HUMAN13199
OG0000040	BRALA14370, BRALA31974, BRALA33437, BRALA17918, BRALA12447, BRALA02395	HUMAN26641
OG0000040	BRALA35825, BRALA27751	HUMAN26646, HUMAN26642
OG0000040	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	BRALA35158	HUMAN01400
OG0000041	BRALA27215	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052
OG0000042	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652	HUMAN21251, HUMAN05520, HUMAN05519, HUMAN05521
OG0000044	BRALA16330, BRALA33207	HUMAN22107, HUMAN27712
OG0000044	BRALA27747	HUMAN03043
OG0000044	BRALA34838	HUMAN24293
OG0000045	BRALA29043, BRALA32667	HUMAN02932
OG0000045	BRALA19490, BRALA19482	HUMAN28768
OG0000046	BRALA28946	HUMAN23116
OG0000046	BRALA23725, BRALA23726, BRALA19361, BRALA20352, BRALA19394, BRALA23187, BRALA19360, BRALA17712, BRALA30574, BRALA17713, BRALA15856, BRALA28385, BRALA34030	HUMAN29094
OG0000048	BRALA08224	HUMAN29550
OG0000048	BRALA17809	HUMAN16328
OG0000048	BRALA10830	HUMAN16644
OG0000048	BRALA03524	HUMAN11449
OG0000049	BRALA08950, BRALA08951	HUMAN25699, HUMAN05316
OG0000049	BRALA15334	HUMAN20965, HUMAN26499
OG0000049	BRALA15336, BRALA15335	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433
OG0000049	BRALA16919, BRALA35874, BRALA15337	HUMAN26500
OG0000051	BRALA17952	HUMAN22678
OG0000051	BRALA22978, BRALA25416	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000053	BRALA16213, BRALA07330	HUMAN01064
OG0000054	BRALA02118	HUMAN23119
