Orthogroup	BRALA	OWEFU
OG0000020	BRALA03076, BRALA19763, BRALA21902, BRALA16840, BRALA01910, BRALA05743, BRALA25854, BRALA14414, BRALA16287, BRALA19612, BRALA00988, BRALA00987, BRALA34428, BRALA17137, BRALA26917, BRALA04450, BRALA19326, BRALA17705, BRALA01370, BRALA04503, BRALA22183, BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869, BRALA14062	OFUSG13406.1.p1
OG0000021	BRALA18963	OFUSG18643.1.p1
OG0000021	BRALA18043	OFUSG03663.1.p1
OG0000021	BRALA22428	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	BRALA30352	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	BRALA06012	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	BRALA20360, BRALA20164	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	BRALA34393, BRALA34449, BRALA33273	OFUSG06069.1.p1
OG0000023	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	BRALA17881, BRALA21074, BRALA03421, BRALA29841, BRALA06984, BRALA06983	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000023	BRALA04762	OFUSG14126.1.p1
OG0000026	BRALA07901, BRALA07423	OFUSG06751.1.p1
OG0000026	BRALA01049	OFUSG24983.1.p1, OFUSG24982.1.p1, OFUSG22806.1.p1, OFUSG15814.1.p1, OFUSG04509.1.p1, OFUSG25030.1.p1, OFUSG08716.1.p1, OFUSG23811.1.p1, OFUSG07410.1.p1, OFUSG07411.1.p1, OFUSG02117.1.p1, OFUSG04992.1.p1, OFUSG04993.1.p1, OFUSG22113.1.p1, OFUSG23954.1.p1, OFUSG23953.1.p1, OFUSG15116.1.p1, OFUSG02635.1.p1, OFUSG07188.1.p1, OFUSG14518.1.p1, OFUSG06741.1.p1, OFUSG04994.1.p1, OFUSG10925.1.p1
