Orthogroup	BRALA	BRAFL
OG0000012	BRALA08455	bflo_05980, bflo_05981
OG0000012	BRALA12215	bflo_05336, bflo_21370
OG0000012	BRALA00546	bflo_00214
OG0000012	BRALA02238	bflo_03201
OG0000012	BRALA10950, BRALA10951	bflo_12089
OG0000012	BRALA20781	bflo_03151
OG0000012	BRALA12637, BRALA12640, BRALA12639	bflo_14493, bflo_14233, bflo_14492
OG0000012	BRALA12638	bflo_14491
OG0000012	BRALA09310	bflo_15468
OG0000012	BRALA03124	bflo_23300
OG0000012	BRALA22025	bflo_13550, bflo_14004
OG0000012	BRALA22013	bflo_13556
OG0000012	BRALA27149	bflo_22373
OG0000012	BRALA13116	bflo_23580, bflo_22924
OG0000012	BRALA30617	bflo_13858
OG0000012	BRALA01515, BRALA11191, BRALA13154	bflo_23041
OG0000012	BRALA13813	bflo_08994, bflo_08989
OG0000012	BRALA30615	bflo_13492
OG0000012	BRALA30614	bflo_13855
OG0000012	BRALA30613, BRALA35525, BRALA30616	bflo_27094
OG0000012	BRALA33283	bflo_13060
OG0000012	BRALA20556, BRALA29089, BRALA20557	bflo_15354
OG0000012	BRALA20559	bflo_14447
OG0000012	BRALA22947	bflo_14731, bflo_13607, bflo_24594
OG0000013	BRALA22396	bflo_12936
OG0000013	BRALA10995	bflo_11697
OG0000013	BRALA11091	bflo_11698
OG0000013	BRALA18430	bflo_16773
OG0000013	BRALA18428	bflo_16475
OG0000013	BRALA02691	bflo_16445
OG0000013	BRALA18429	bflo_16476
OG0000013	BRALA32294	bflo_25396, bflo_04269
OG0000013	BRALA12236	bflo_21374
OG0000013	BRALA30121, BRALA23251, BRALA30117	bflo_15079, bflo_14235
OG0000013	BRALA15745	bflo_24199
OG0000013	BRALA16184	bflo_11867, bflo_21976
OG0000013	BRALA20536, BRALA31575	bflo_11784
OG0000013	BRALA04855, BRALA20488	bflo_21577
OG0000013	BRALA16970	bflo_21900
OG0000013	BRALA23206	bflo_25566, bflo_21578, bflo_03861
OG0000013	BRALA31240	bflo_16342, bflo_25995
OG0000013	BRALA23084, BRALA03245, BRALA05270, BRALA21240	bflo_16188, bflo_16183, bflo_16341, bflo_15584
OG0000013	BRALA11603	bflo_14996, bflo_14997, bflo_14998
OG0000013	BRALA14897	bflo_21646
OG0000013	BRALA10656, BRALA10655	bflo_00400
OG0000013	BRALA22697, BRALA13629	bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	BRALA07540	bflo_17972
OG0000014	BRALA21801	bflo_15593
OG0000014	BRALA21800, BRALA21799	bflo_15583
OG0000014	BRALA01526	bflo_06812
OG0000014	BRALA01524	bflo_06282
OG0000014	BRALA18301	bflo_09943
OG0000014	BRALA01520	bflo_00188, bflo_05813, bflo_02920
OG0000014	BRALA04327	bflo_08010, bflo_08009
OG0000014	BRALA00445, BRALA00446	bflo_26434, bflo_00922
OG0000014	BRALA17457	bflo_18033
OG0000014	BRALA17456	bflo_03941
OG0000014	BRALA05963	bflo_22331
OG0000014	BRALA16193, BRALA05964, BRALA05965	bflo_22489
OG0000014	BRALA06004	bflo_01842, bflo_22542
OG0000014	BRALA12570	bflo_25978, bflo_21218, bflo_10799, bflo_22565
OG0000014	BRALA24203, BRALA14273	bflo_06456, bflo_22034
OG0000014	BRALA09954	bflo_22564, bflo_21315, bflo_06680
OG0000014	BRALA14267	bflo_02758
OG0000014	BRALA14274, BRALA07196	bflo_20044, bflo_19893
OG0000014	BRALA14079	bflo_18525, bflo_05141
OG0000014	BRALA21274	bflo_01206, bflo_05905
OG0000014	BRALA28626	bflo_04326
OG0000014	BRALA28625	bflo_04339
OG0000014	BRALA28624	bflo_04331
OG0000014	BRALA09953, BRALA20835, BRALA21213, BRALA14270	bflo_06816
OG0000015	BRALA21862	bflo_11749
OG0000015	BRALA21864	bflo_12200
OG0000015	BRALA21860	bflo_12395
OG0000015	BRALA21861	bflo_12178
OG0000015	BRALA07541	bflo_08913
OG0000015	BRALA18254	bflo_09485
OG0000015	BRALA18253	bflo_09837
OG0000015	BRALA26423	bflo_09947
OG0000015	BRALA21859	bflo_12135
OG0000015	BRALA21858	bflo_12473
OG0000015	BRALA21865	bflo_11972
OG0000015	BRALA07699	bflo_10460
OG0000015	BRALA22448	bflo_14872
OG0000015	BRALA22447	bflo_14874
OG0000015	BRALA18748	bflo_24142
OG0000015	BRALA15755	bflo_23928
OG0000015	BRALA03405	bflo_13822
OG0000015	BRALA12137	bflo_22604
OG0000015	BRALA14251	bflo_21321, bflo_22116
OG0000015	BRALA11669	bflo_21512
OG0000015	BRALA11671	bflo_22110
OG0000015	BRALA11672	bflo_22066
OG0000015	BRALA13048	bflo_22701
OG0000015	BRALA14342	bflo_24955
OG0000015	BRALA19701	bflo_17773
OG0000015	BRALA22042	bflo_17747
OG0000015	BRALA22048	bflo_17701
OG0000015	BRALA22438	bflo_14970
OG0000016	BRALA14185	bflo_21268
OG0000016	BRALA14188, BRALA14187	bflo_21464
OG0000016	BRALA14186	bflo_21269
OG0000016	BRALA00484	bflo_00670
OG0000016	BRALA00482	bflo_00496, bflo_00501
OG0000016	BRALA24680	bflo_21280, bflo_05402, bflo_07241
OG0000016	BRALA32113	bflo_13606
OG0000016	BRALA10406	bflo_23097, bflo_23092
OG0000016	BRALA21418	bflo_09907
OG0000016	BRALA29534	bflo_10149
OG0000016	BRALA13585	bflo_21276
OG0000016	BRALA05543	bflo_24737
OG0000016	BRALA24127	bflo_12769
OG0000016	BRALA35656	bflo_22757
OG0000016	BRALA16777	bflo_23260
OG0000016	BRALA04807	bflo_02738
OG0000016	BRALA04808	bflo_02096, bflo_02737, bflo_02551, bflo_26656
OG0000016	BRALA09686	bflo_01790
OG0000016	BRALA22170	bflo_20387
