Orthogroup	DANRE	BRAFL
OG0000028	DANRE07178	bflo_14636, bflo_15358
OG0000028	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959
OG0000028	DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083	bflo_06498, bflo_18107
OG0000028	DANRE07180, DANRE07179, DANRE15853, DANRE35763	bflo_25761, bflo_19766, bflo_19099
OG0000028	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964	bflo_06341
OG0000029	DANRE22154	bflo_00003
OG0000029	DANRE41268, DANRE41269, DANRE26531, DANRE01944	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	DANRE34589, DANRE34588	bflo_05230
OG0000030	DANRE16388, DANRE16389	bflo_21886
OG0000030	DANRE41079, DANRE41078	bflo_23730
OG0000030	DANRE08391	bflo_22462
OG0000031	DANRE20694	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662
OG0000031	DANRE41496, DANRE35535, DANRE23155	bflo_02624
OG0000031	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505	bflo_02501
OG0000031	DANRE13622, DANRE13623	bflo_02849
OG0000031	DANRE26516	bflo_06021
OG0000031	DANRE26019	bflo_25562
OG0000031	DANRE11621	bflo_06369
OG0000031	DANRE02768, DANRE23382	bflo_11397
OG0000031	DANRE20276, DANRE16190, DANRE42316	bflo_15458
OG0000031	DANRE16189, DANRE42315, DANRE15746	bflo_15459
OG0000031	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848	bflo_02405
OG0000032	DANRE24196, DANRE27892, DANRE27891	bflo_12824, bflo_01429
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	bflo_23561, bflo_23038, bflo_01635
OG0000032	DANRE24197	bflo_01430
OG0000034	DANRE28945, DANRE28944, DANRE35039, DANRE35040, DANRE39926, DANRE00143, DANRE39455, DANRE35041	bflo_20326
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	bflo_03308, bflo_13145
OG0000034	DANRE14484, DANRE09880, DANRE38036	bflo_05871
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	bflo_03310
OG0000034	DANRE04100	bflo_07712, bflo_08443
OG0000034	DANRE25182	bflo_03379
OG0000035	DANRE23313	bflo_02157
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	bflo_10385
OG0000035	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988	bflo_09462
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	bflo_09767, bflo_09277
OG0000035	DANRE38222, DANRE38223, DANRE12948	bflo_10386
OG0000036	DANRE37867, DANRE38271, DANRE14697	bflo_13405, bflo_09641, bflo_13747, bflo_13748
OG0000036	DANRE25335	bflo_13764, bflo_12886
OG0000036	DANRE27775, DANRE38068, DANRE26145, DANRE38623	bflo_13765, bflo_13767, bflo_03188
OG0000036	DANRE07186, DANRE30853	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	DANRE11991, DANRE38630	bflo_12806, bflo_12805
