Orthogroup	DANRE	CAPO3
OG0000257	DANRE15601, DANRE15602, DANRE39467, DANRE39468, DANRE39469, DANRE12721, DANRE12720, DANRE12294, DANRE11745, DANRE18824, DANRE18823, DANRE05266, DANRE07014, DANRE39437	CAPO300414
OG0000258	DANRE15460	CAPO301106
OG0000258	DANRE02230, DANRE36624, DANRE31543, DANRE31544, DANRE17770, DANRE05460, DANRE04652, DANRE03782	CAPO301746
OG0000260	DANRE25713, DANRE25714, DANRE30881, DANRE30885, DANRE30884, DANRE30882, DANRE30883, DANRE22095, DANRE22094	CAPO300399
OG0000265	DANRE17649, DANRE17650, DANRE30214, DANRE30216, DANRE30217, DANRE30212, DANRE30213, DANRE30215, DANRE17167, DANRE35122, DANRE35123, DANRE35124, DANRE33277, DANRE33279, DANRE33280, DANRE33278, DANRE17651	CAPO306126
OG0000265	DANRE41183, DANRE25673, DANRE25672, DANRE25671	CAPO306540
OG0000271	DANRE42040, DANRE42039, DANRE42038, DANRE29117, DANRE03804, DANRE01950, DANRE01951, DANRE13620, DANRE42712, DANRE36581, DANRE36580, DANRE23801, DANRE23800, DANRE43397, DANRE27936, DANRE27939, DANRE27938, DANRE27937, DANRE27935	CAPO304641
OG0000273	DANRE27068	CAPO305109
OG0000273	DANRE33683	CAPO300804
OG0000273	DANRE18454	CAPO306869
OG0000277	DANRE40145, DANRE33384, DANRE39642	CAPO303621
OG0000277	DANRE05075, DANRE05074, DANRE05086, DANRE05084, DANRE05077, DANRE05087, DANRE00061, DANRE00060, DANRE33406, DANRE43188	CAPO301295
OG0000278	DANRE28332	CAPO305822
OG0000278	DANRE35562	CAPO302023
OG0000278	DANRE34629	CAPO304651
OG0000278	DANRE38067, DANRE27771	CAPO303638
OG0000278	DANRE33682	CAPO305864
OG0000282	DANRE26878, DANRE24153, DANRE24154, DANRE06182, DANRE06181, DANRE05309, DANRE03499, DANRE11288, DANRE03498, DANRE05310	CAPO308183
OG0000284	DANRE16784, DANRE16785, DANRE06207, DANRE06206	CAPO305695
OG0000285	DANRE03809, DANRE03811, DANRE03810	CAPO303377
OG0000288	DANRE23048, DANRE27140, DANRE27142, DANRE27141, DANRE25605, DANRE37644, DANRE37643, DANRE18515	CAPO305142
OG0000289	DANRE23961, DANRE04508, DANRE04509, DANRE04510, DANRE02091, DANRE02092, DANRE02093, DANRE02094, DANRE02090, DANRE26804, DANRE26805, DANRE40016, DANRE43308, DANRE43309, DANRE27163, DANRE40066, DANRE40068, DANRE40067, DANRE09075, DANRE23535	CAPO307835
OG0000295	DANRE12214, DANRE12212, DANRE29067, DANRE29068, DANRE15487	CAPO302113, CAPO302799
OG0000299	DANRE17354, DANRE24910, DANRE24909, DANRE24914, DANRE28382, DANRE28381, DANRE28383, DANRE22586, DANRE22588, DANRE14187, DANRE14186, DANRE14188, DANRE17357, DANRE17356, DANRE17355, DANRE14189, DANRE22587	CAPO306599
OG0000305	DANRE09757, DANRE09755, DANRE09756	CAPO307183
OG0000306	DANRE20509, DANRE20510, DANRE05062, DANRE05061, DANRE05060, DANRE04107, DANRE04106, DANRE05063, DANRE01567, DANRE39184, DANRE01564, DANRE39185, DANRE04108, DANRE01566, DANRE33720, DANRE33719, DANRE15656, DANRE15655, DANRE39182, DANRE39180, DANRE39181, DANRE20511, DANRE39183, DANRE01565	CAPO308212
OG0000308	DANRE09139, DANRE35889, DANRE08377, DANRE08378, DANRE34374, DANRE34375, DANRE11893	CAPO304037
OG0000310	DANRE42431, DANRE00597, DANRE00598	CAPO305978
OG0000312	DANRE35322	CAPO304557
OG0000312	DANRE07302, DANRE01094, DANRE01093	CAPO302691
OG0000313	DANRE16304, DANRE41630, DANRE41631, DANRE20918, DANRE27620, DANRE14004	CAPO307072
OG0000313	DANRE31017, DANRE31016	CAPO301348
OG0000314	DANRE00180, DANRE00181, DANRE21707, DANRE21708, DANRE21706, DANRE28886, DANRE03624, DANRE03625, DANRE28629, DANRE04014, DANRE28800, DANRE09345, DANRE09346, DANRE14022	CAPO304303
OG0000315	DANRE07577	CAPO307611
OG0000315	DANRE25676, DANRE31346	CAPO308167
OG0000319	DANRE10764, DANRE10762, DANRE27249, DANRE39551, DANRE19184	CAPO303225
OG0000320	DANRE18363	CAPO304008
OG0000322	DANRE01544, DANRE01543, DANRE01540, DANRE01539, DANRE34869, DANRE43093, DANRE19017, DANRE31496	CAPO306406
OG0000326	DANRE02837, DANRE22886, DANRE22885, DANRE22887, DANRE27986, DANRE27987, DANRE13111, DANRE13112, DANRE35291, DANRE35290, DANRE35289, DANRE02836	CAPO308358, CAPO307947
OG0000326	DANRE02839	CAPO303322
OG0000327	DANRE02331, DANRE02332, DANRE22734, DANRE22735, DANRE22733, DANRE22732, DANRE02335, DANRE02334, DANRE02330, DANRE02333, DANRE22736	CAPO308120
OG0000334	DANRE28592, DANRE28625, DANRE28599, DANRE28582, DANRE28583, DANRE28764, DANRE28479, DANRE28598, DANRE28659, DANRE22065, DANRE22064, DANRE23627, DANRE29289, DANRE13927, DANRE13928, DANRE13929, DANRE13930, DANRE37971, DANRE37972	CAPO300337
OG0000335	DANRE20201, DANRE16270	CAPO307753
OG0000338	DANRE20312, DANRE07418, DANRE01510, DANRE01511, DANRE01512, DANRE39673, DANRE39672, DANRE39674, DANRE39675, DANRE26933, DANRE26935, DANRE26934, DANRE25350, DANRE10476, DANRE25349, DANRE25347, DANRE25348, DANRE10472, DANRE10473, DANRE10474	CAPO304735
OG0000339	DANRE37053, DANRE37054	CAPO305264
