Orthogroup	DANRE	APOSJ_ok
OG0000032	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	DANRE22486, DANRE22485, DANRE22487, DANRE22488	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000032	DANRE24197	APOSJ_64832, APOSJ_02133, APOSJ_54563, APOSJ_04185, APOSJ_04186, APOSJ_04184
OG0000034	DANRE35041	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193
OG0000034	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357	APOSJ_17818, APOSJ_17819
OG0000034	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	DANRE14484, DANRE09880, DANRE38036	APOSJ_60565, APOSJ_21305
OG0000034	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	DANRE04100	APOSJ_63084, APOSJ_59127
OG0000034	DANRE25182	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	DANRE23313	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654	APOSJ_13857
OG0000035	DANRE31052, DANRE25078, DANRE12998, DANRE12997	APOSJ_11969, APOSJ_09937
OG0000035	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	DANRE38222, DANRE38223, DANRE12948	APOSJ_14503
OG0000036	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	DANRE07186, DANRE30853	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	DANRE11991, DANRE38630	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	APOSJ_40888, APOSJ_40889
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	APOSJ_41930, APOSJ_41929
OG0000037	DANRE11315	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	DANRE23401	APOSJ_05677, APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733, APOSJ_16433, APOSJ_12115, APOSJ_12110
OG0000038	DANRE41584	APOSJ_44502, APOSJ_26569, APOSJ_44501, APOSJ_44499, APOSJ_44497
OG0000038	DANRE15348	APOSJ_30481
OG0000039	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252	APOSJ_36538, APOSJ_23775, APOSJ_06567
OG0000039	DANRE38069, DANRE38070	APOSJ_23948
OG0000039	DANRE09344	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
