Orthogroup	APOSJ_ok	ASTMX
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	ASTMX01338, ASTMX03570
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639
OG0000037	APOSJ_40888, APOSJ_40889	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	APOSJ_41930, APOSJ_41929	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	ASTMX03275
OG0000038	APOSJ_05677, APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733, APOSJ_16433, APOSJ_12115, APOSJ_12110	ASTMX05291
OG0000038	APOSJ_30481	ASTMX12685, ASTMX17002
OG0000039	APOSJ_36538, APOSJ_23775, APOSJ_06567	ASTMX03851
OG0000039	APOSJ_23948	ASTMX16971
OG0000039	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643	ASTMX10108, ASTMX07819
OG0000040	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	APOSJ_07883	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232
OG0000041	APOSJ_00247	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276
OG0000044	APOSJ_20279, APOSJ_20278	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948
OG0000044	APOSJ_57354, APOSJ_57355	ASTMX06176
OG0000044	APOSJ_55841	ASTMX17555
OG0000045	APOSJ_29368, APOSJ_29369	ASTMX14022
OG0000046	APOSJ_42127, APOSJ_64323, APOSJ_42125	ASTMX22281
OG0000048	APOSJ_59658	ASTMX13714
OG0000048	APOSJ_03221, APOSJ_10764	ASTMX15600
OG0000048	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779	ASTMX04570
OG0000048	APOSJ_12442	ASTMX00590
OG0000049	APOSJ_51843	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857
OG0000049	APOSJ_36502	ASTMX00928, ASTMX08370, ASTMX07196
