Orthogroup	APOSJ_ok	OWEFU
OG0000016	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441	OFUSG13895.1.p1
OG0000016	APOSJ_31207	OFUSG11848.1.p1
OG0000016	APOSJ_03790	OFUSG06227.1.p1
OG0000016	APOSJ_21975, APOSJ_58384, APOSJ_11248	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	APOSJ_04828	OFUSG14111.1.p3
OG0000019	APOSJ_25021	OFUSG14039.1.p1, OFUSG23776.1.p1
OG0000019	APOSJ_63124	OFUSG08823.1.p1
OG0000019	APOSJ_50969, APOSJ_54491, APOSJ_65164, APOSJ_10516, APOSJ_17340, APOSJ_10420, APOSJ_51391, APOSJ_51392, APOSJ_58483	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	APOSJ_49365	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000020	APOSJ_38031	OFUSG13197.1.p1
OG0000020	APOSJ_03215	OFUSG19131.1.p1
OG0000020	APOSJ_17336, APOSJ_17335	OFUSG13406.1.p1
OG0000020	APOSJ_45822, APOSJ_45820, APOSJ_45821	OFUSG14744.1.p1
OG0000021	APOSJ_47375, APOSJ_47376	OFUSG18643.1.p1
OG0000021	APOSJ_00267, APOSJ_00268, APOSJ_01716	OFUSG19367.2.p1, OFUSG19367.1.p1
OG0000021	APOSJ_16640, APOSJ_16638	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1
