Orthogroup	APOSJ_ok	XENTR
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114
OG0000037	APOSJ_40888, APOSJ_40889	XENTR16580, XENTR14770, XENTR03861
OG0000037	APOSJ_41930, APOSJ_41929	XENTR10865, XENTR10696
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	XENTR18131
OG0000038	APOSJ_05677, APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733, APOSJ_16433, APOSJ_12115, APOSJ_12110	XENTR04197, XENTR04200
OG0000038	APOSJ_30481	XENTR04206
OG0000039	APOSJ_36538, APOSJ_23775, APOSJ_06567	XENTR03946, XENTR03945
OG0000039	APOSJ_23948	XENTR17227
OG0000039	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643	XENTR17697
OG0000040	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	APOSJ_07883	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042
OG0000041	APOSJ_00247	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869
OG0000044	APOSJ_20279, APOSJ_20278	XENTR08740, XENTR08871, XENTR02238, XENTR13100
OG0000044	APOSJ_57354, APOSJ_57355	XENTR04387, XENTR17931
OG0000046	APOSJ_42127, APOSJ_64323, APOSJ_42125	XENTR04959
OG0000047	APOSJ_38634	XENTR07962
OG0000048	APOSJ_59658	XENTR01169
OG0000048	APOSJ_03221, APOSJ_10764	XENTR04117
OG0000048	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779	XENTR05160
OG0000049	APOSJ_51843	XENTR00212, XENTR08482
OG0000049	APOSJ_36502	XENTR07031, XENTR06401
OG0000049	APOSJ_36462	XENTR07960
OG0000050	APOSJ_42263, APOSJ_42264, APOSJ_54268, APOSJ_54266, APOSJ_02357, APOSJ_54267, APOSJ_54270, APOSJ_54269, APOSJ_28465	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104
OG0000054	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352	XENTR04962, XENTR04961
OG0000056	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506
OG0000057	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499	XENTR03679
OG0000058	APOSJ_27364, APOSJ_40682, APOSJ_27363	XENTR11839
OG0000058	APOSJ_14084, APOSJ_62161	XENTR16220
OG0000058	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155	XENTR16040, XENTR02416, XENTR06707
OG0000059	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944	XENTR09381
OG0000059	APOSJ_00361, APOSJ_32459	XENTR06961, XENTR16370
OG0000060	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505	XENTR09513
OG0000060	APOSJ_24727, APOSJ_46788	XENTR11489, XENTR04114, XENTR08957
OG0000061	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224	XENTR00116, XENTR05367
