Orthogroup	APOSJ_ok	SCHMD
OG0000094	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	APOSJ_03627, APOSJ_65068, APOSJ_08274, APOSJ_08273, APOSJ_08272	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942
OG0000096	APOSJ_25046, APOSJ_62713, APOSJ_62712, APOSJ_62714, APOSJ_62715, APOSJ_62711	SCHMD07753
OG0000096	APOSJ_32708, APOSJ_43628, APOSJ_43632, APOSJ_43630, APOSJ_43631	SCHMD10033
OG0000097	APOSJ_17826, APOSJ_04559, APOSJ_59289, APOSJ_15856, APOSJ_63681, APOSJ_34746, APOSJ_60812, APOSJ_57195, APOSJ_57194, APOSJ_11658, APOSJ_37894, APOSJ_11805, APOSJ_05778, APOSJ_27985, APOSJ_05784, APOSJ_05781, APOSJ_05779, APOSJ_05780, APOSJ_05783, APOSJ_05782, APOSJ_44305, APOSJ_36665, APOSJ_10100, APOSJ_28768, APOSJ_28769, APOSJ_65259, APOSJ_65253, APOSJ_65252, APOSJ_28760, APOSJ_10106, APOSJ_31471, APOSJ_00442, APOSJ_40876, APOSJ_42876, APOSJ_60350, APOSJ_37895, APOSJ_35377, APOSJ_60349, APOSJ_42503, APOSJ_52938	SCHMD22037, SCHMD20326
OG0000098	APOSJ_00048, APOSJ_10129, APOSJ_49520, APOSJ_28774, APOSJ_28779, APOSJ_28777	SCHMD29644, SCHMD22119
OG0000098	APOSJ_29185	SCHMD06392, SCHMD12932, SCHMD10502
OG0000099	APOSJ_00575, APOSJ_00574	SCHMD03930, SCHMD15019
OG0000099	APOSJ_25133, APOSJ_34675, APOSJ_42170, APOSJ_64579	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	APOSJ_34532, APOSJ_05873	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
