Orthogroup	APOSJ_ok	AENJA_ok
OG0000021	APOSJ_55570, APOSJ_22670, APOSJ_48399, APOSJ_48398, APOSJ_48401, APOSJ_48402, APOSJ_48404, APOSJ_26218	AENJA_21621, AENJA_21623
OG0000021	APOSJ_47375, APOSJ_47376	AENJA_14639
OG0000021	APOSJ_50915	AENJA_26606, AENJA_10786
OG0000021	APOSJ_56015, APOSJ_08859	AENJA_19175
OG0000021	APOSJ_16640, APOSJ_16638	AENJA_25124
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747	AENJA_15672
OG0000021	APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284	AENJA_17125
OG0000021	APOSJ_00001	AENJA_10523
OG0000021	APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	AENJA_13306, AENJA_20227
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	APOSJ_12541	AENJA_06341
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253	AENJA_11919
OG0000023	APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674	AENJA_11618, AENJA_11620, AENJA_11621
OG0000023	APOSJ_01239	AENJA_22520, AENJA_19106
OG0000023	APOSJ_20171	AENJA_11914
OG0000023	APOSJ_01093, APOSJ_01092, APOSJ_01091	AENJA_26230
OG0000023	APOSJ_42179	AENJA_07520, AENJA_17438
OG0000023	APOSJ_00272	AENJA_19908
OG0000023	APOSJ_53525	AENJA_11915
OG0000024	APOSJ_41943	AENJA_16978
OG0000024	APOSJ_55810, APOSJ_12803	AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891
OG0000024	APOSJ_36507, APOSJ_20210	AENJA_04797
OG0000024	APOSJ_61037, APOSJ_54994	AENJA_03136, AENJA_18708
OG0000024	APOSJ_60754	AENJA_18080, AENJA_10723, AENJA_14412, AENJA_24502, AENJA_10348, AENJA_23773, AENJA_18095, AENJA_12767, AENJA_02712
