Orthogroup	YEAST	DANRE
OG0000431	YEAST04014	DANRE24824, DANRE17840, DANRE17841, DANRE12254, DANRE12253, DANRE12255, DANRE12256, DANRE12257, DANRE26528, DANRE15244, DANRE42492, DANRE42493, DANRE42494, DANRE42495
OG0000433	YEAST06177, YEAST00117	DANRE04048, DANRE29991, DANRE29994, DANRE29993, DANRE29992, DANRE18171, DANRE18170, DANRE18169, DANRE18168, DANRE10817, DANRE42181, DANRE42182
OG0000437	YEAST03074, YEAST02073	DANRE42224, DANRE15381, DANRE15382, DANRE42222, DANRE42223
OG0000442	YEAST05012	DANRE07531, DANRE07532, DANRE07533, DANRE16586, DANRE24242, DANRE14641, DANRE10018, DANRE14640, DANRE00817, DANRE29323
OG0000444	YEAST01115, YEAST04019	DANRE31300, DANRE31301, DANRE02757, DANRE22266, DANRE22265, DANRE12801, DANRE12802, DANRE12418
OG0000445	YEAST03068	DANRE17296
OG0000450	YEAST04709, YEAST05909	DANRE41803, DANRE10831, DANRE17973, DANRE17972, DANRE19544, DANRE19543, DANRE03681, DANRE16483, DANRE16482, DANRE16481, DANRE16484, DANRE06580, DANRE06579, DANRE40929, DANRE40930, DANRE40931, DANRE13780, DANRE13779, DANRE13781, DANRE07541
OG0000461	YEAST00120	DANRE33325, DANRE33326, DANRE35248
OG0000467	YEAST03162	DANRE23056, DANRE23057, DANRE23058, DANRE22608, DANRE22609, DANRE02650, DANRE02651, DANRE36597, DANRE36596, DANRE23594, DANRE02242, DANRE02241, DANRE31546, DANRE31547, DANRE31545, DANRE22610
OG0000468	YEAST04372	DANRE38072, DANRE38073, DANRE38074, DANRE11717
OG0000469	YEAST02179, YEAST05440	DANRE02667, DANRE36725, DANRE22869, DANRE23507, DANRE23506, DANRE20673, DANRE36794, DANRE01800, DANRE25224, DANRE30917, DANRE25226, DANRE25225, DANRE39797
OG0000469	YEAST00863	DANRE34931, DANRE02143
OG0000474	YEAST02384	DANRE36587, DANRE23170, DANRE23169, DANRE23168, DANRE36586, DANRE36588, DANRE36585, DANRE23166, DANRE23167, DANRE26339, DANRE29186, DANRE35132, DANRE03214, DANRE15391, DANRE15390, DANRE15392, DANRE42605
