Orthogroup	YEAST	AENJA_ok
OG0000579	YEAST02484	AENJA_18819, AENJA_12593, AENJA_20737, AENJA_22778
OG0000582	YEAST03615	AENJA_17591
OG0000588	YEAST05197	AENJA_02286, AENJA_21633
OG0000590	YEAST05110, YEAST05552, YEAST03727	AENJA_19774, AENJA_07046
OG0000592	YEAST00388	AENJA_12392, AENJA_13611
OG0000597	YEAST04330	AENJA_10748, AENJA_01626
OG0000609	YEAST05180	AENJA_03157
OG0000612	YEAST02370	AENJA_06346
OG0000613	YEAST01072	AENJA_08922, AENJA_20929
OG0000623	YEAST02411	AENJA_02871
OG0000623	YEAST05090	AENJA_17960
OG0000627	YEAST02116, YEAST03957	AENJA_13466
OG0000639	YEAST02015	AENJA_10965, AENJA_22126
OG0000642	YEAST00618	AENJA_02487, AENJA_00389, AENJA_26018
OG0000645	YEAST05140	AENJA_00673
OG0000645	YEAST04743	AENJA_22405
OG0000647	YEAST04534	AENJA_07172, AENJA_01826
OG0000648	YEAST04178, YEAST05641	AENJA_04823, AENJA_04819
OG0000657	YEAST03846	AENJA_06847, AENJA_01439, AENJA_14948, AENJA_01442
OG0000660	YEAST05150, YEAST01587	AENJA_07533, AENJA_06621
OG0000662	YEAST05937	AENJA_08142, AENJA_09173, AENJA_21495
OG0000663	YEAST02675, YEAST03294	AENJA_26290, AENJA_19588, AENJA_10413
OG0000672	YEAST03771	AENJA_11032
OG0000672	YEAST00984	AENJA_02173
OG0000676	YEAST01503	AENJA_15570
OG0000676	YEAST02962	AENJA_04404
OG0000683	YEAST03152, YEAST03537, YEAST05938	AENJA_18458, AENJA_20329
OG0000690	YEAST04874	AENJA_04544
OG0000692	YEAST01969	AENJA_17363, AENJA_13840
OG0000692	YEAST03487	AENJA_02403, AENJA_00938
OG0000694	YEAST05978	AENJA_02666, AENJA_15805
OG0000699	YEAST05706	AENJA_12577, AENJA_20559, AENJA_12576
OG0000701	YEAST02239, YEAST02223	AENJA_18091
OG0000703	YEAST05314	AENJA_26753, AENJA_26449
OG0000708	YEAST05997	AENJA_10491, AENJA_00725, AENJA_04787
OG0000709	YEAST00057	AENJA_11142, AENJA_19288, AENJA_01143
OG0000724	YEAST02013	AENJA_08671
OG0000732	YEAST04978	AENJA_23886, AENJA_07798, AENJA_12389
OG0000733	YEAST05474	AENJA_07801
OG0000735	YEAST05945	AENJA_15834
OG0000744	YEAST05951	AENJA_07063, AENJA_07064
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	AENJA_08290, AENJA_25526, AENJA_16763, AENJA_16764, AENJA_19385
OG0000752	YEAST01432, YEAST04483	AENJA_00591, AENJA_26667
OG0000753	YEAST01034, YEAST02037	AENJA_01120, AENJA_10740, AENJA_09401
OG0000757	YEAST01489	AENJA_06262, AENJA_15686, AENJA_08837
OG0000758	YEAST01504	AENJA_07914
OG0000759	YEAST02878, YEAST05681	AENJA_12039
OG0000765	YEAST05027, YEAST03009, YEAST01404	AENJA_22263
OG0000768	YEAST02560, YEAST04269	AENJA_24479
OG0000772	YEAST04929	AENJA_24869, AENJA_00651, AENJA_10655, AENJA_10656
OG0000776	YEAST04571, YEAST00195, YEAST00312	AENJA_14162, AENJA_14158, AENJA_04150, AENJA_16571
OG0000777	YEAST06297, YEAST02627	AENJA_05341, AENJA_04497, AENJA_05898, AENJA_04500
OG0000779	YEAST03812	AENJA_08422
OG0000782	YEAST01393, YEAST05616	AENJA_17040
OG0000791	YEAST02375	AENJA_05472
OG0000794	YEAST04627	AENJA_11312
OG0000800	YEAST03636	AENJA_25972, AENJA_17652
OG0000809	YEAST01998	AENJA_02164
OG0000817	YEAST00389	AENJA_07214, AENJA_18385
OG0000817	YEAST06112	AENJA_14055
OG0000824	YEAST01319, YEAST02883	AENJA_00764
OG0000828	YEAST00945, YEAST05476, YEAST00075	AENJA_05318
OG0000828	YEAST02290	AENJA_21604, AENJA_14692
OG0000837	YEAST06222	AENJA_25179
OG0000841	YEAST02416	AENJA_00152
OG0000847	YEAST02881, YEAST03544, YEAST06198	AENJA_19531
OG0000847	YEAST02530, YEAST00209	AENJA_05909
OG0000849	YEAST04475	AENJA_06598, AENJA_17459
OG0000850	YEAST04287	AENJA_06947, AENJA_14500, AENJA_26527
OG0000852	YEAST01266	AENJA_20937, AENJA_07998
OG0000854	YEAST00248	AENJA_12138
OG0000855	YEAST04755	AENJA_13524, AENJA_13527, AENJA_13526, AENJA_13521
OG0000857	YEAST00309	AENJA_19063
OG0000868	YEAST06157	AENJA_20580, AENJA_01456
OG0000871	YEAST03857	AENJA_15432, AENJA_15433, AENJA_06473
OG0000872	YEAST03222, YEAST03741	AENJA_06798
OG0000875	YEAST00077	AENJA_08703, AENJA_14919
OG0000876	YEAST05556	AENJA_08833
OG0000879	YEAST06123	AENJA_23882, AENJA_14015
OG0000888	YEAST00288	AENJA_02929, AENJA_02481, AENJA_16255
OG0000889	YEAST00175	AENJA_05911
OG0000894	YEAST03763	AENJA_18194, AENJA_24655, AENJA_16901
OG0000896	YEAST02476	AENJA_17963, AENJA_20857
OG0000896	YEAST04923	AENJA_26740
OG0000898	YEAST06255, YEAST03431	AENJA_20658
OG0000905	YEAST00599	AENJA_03454, AENJA_12044, AENJA_12043
OG0000907	YEAST02193	AENJA_06223
OG0000913	YEAST03557, YEAST05101	AENJA_11700
OG0000914	YEAST04745	AENJA_16081
OG0000921	YEAST02526	AENJA_16626, AENJA_00754
OG0000925	YEAST05667, YEAST06025	AENJA_14502, AENJA_01829
OG0000932	YEAST03525	AENJA_10313, AENJA_10314
OG0000933	YEAST06306	AENJA_12056, AENJA_25029
OG0000934	YEAST02582, YEAST06252	AENJA_23792
OG0000934	YEAST05040	AENJA_12733
OG0000935	YEAST02843	AENJA_14023
OG0000943	YEAST03805	AENJA_02078, AENJA_00401
OG0000944	YEAST04878	AENJA_00580
OG0000954	YEAST05503, YEAST01249	AENJA_24386, AENJA_08232
