Orthogroup	YEAST	MOUSE
OG0000103	YEAST02873	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384, MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014
OG0000107	YEAST05173	MOUSE08903, MOUSE08932, MOUSE08836, MOUSE08837, MOUSE08933, MOUSE08825, MOUSE30829, MOUSE08916, MOUSE08908, MOUSE08850, MOUSE08824, MOUSE08922, MOUSE41813
OG0000113	YEAST00378, YEAST01351, YEAST05581	MOUSE33596, MOUSE33595, MOUSE08570, MOUSE08575, MOUSE08576, MOUSE22353, MOUSE22352, MOUSE08561, MOUSE08562, MOUSE08559, MOUSE08567, MOUSE08563, MOUSE08565, MOUSE08573, MOUSE08574, MOUSE08572, MOUSE08568, MOUSE08571, MOUSE39395, MOUSE08578, MOUSE08577, MOUSE39332, MOUSE39333, MOUSE39335, MOUSE39331, MOUSE39329, MOUSE08566, MOUSE39334, MOUSE39330
OG0000114	YEAST00703	MOUSE04136
OG0000116	YEAST04456	MOUSE30922, MOUSE27994
OG0000122	YEAST04928	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654, MOUSE40424, MOUSE40425, MOUSE40423, MOUSE36694, MOUSE36691, MOUSE36690, MOUSE36692, MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753
OG0000124	YEAST05021	MOUSE45402
OG0000124	YEAST04122	MOUSE34424, MOUSE34425
OG0000127	YEAST06208	MOUSE55437, MOUSE04059, MOUSE47545, MOUSE54139, MOUSE29572, MOUSE52357, MOUSE52358, MOUSE13075, MOUSE09031, MOUSE06835, MOUSE28216, MOUSE12652, MOUSE29242, MOUSE21486, MOUSE21487, MOUSE17076, MOUSE17077, MOUSE17078, MOUSE14094, MOUSE06008
OG0000128	YEAST03441, YEAST01398, YEAST05967, YEAST05716	MOUSE15660, MOUSE15661
OG0000132	YEAST06016	MOUSE08918, MOUSE08909, MOUSE21284, MOUSE08828, MOUSE08927, MOUSE08921, MOUSE08935, MOUSE14073
OG0000137	YEAST01851, YEAST00637	MOUSE13561, MOUSE13559, MOUSE13562, MOUSE13560, MOUSE00324, MOUSE00325, MOUSE00321, MOUSE00323, MOUSE48199, MOUSE48198, MOUSE48197, MOUSE48196, MOUSE06337, MOUSE06338, MOUSE18094, MOUSE18096, MOUSE18095
