Orthogroup	YEAST	SCHMD
OG0000672	YEAST03771	SCHMD28683, SCHMD11622, SCHMD29250, SCHMD22471, SCHMD16139, SCHMD10377, SCHMD17197, SCHMD10307, SCHMD15500
OG0000672	YEAST00984	SCHMD03901, SCHMD06456
OG0000676	YEAST01503	SCHMD18867
OG0000676	YEAST02962	SCHMD08131
OG0000683	YEAST03152, YEAST03537, YEAST05938	SCHMD21601, SCHMD28199, SCHMD24958
OG0000690	YEAST04874	SCHMD24354
OG0000690	YEAST02296	SCHMD17313, SCHMD21259, SCHMD18093
OG0000692	YEAST01969	SCHMD24514, SCHMD18362, SCHMD11826
OG0000692	YEAST03487	SCHMD02580
OG0000694	YEAST05978	SCHMD02121, SCHMD02119
OG0000699	YEAST05706	SCHMD20380, SCHMD24169, SCHMD20675, SCHMD24967
OG0000701	YEAST02239, YEAST02223	SCHMD02913, SCHMD15835, SCHMD15836
OG0000703	YEAST05314	SCHMD16900, SCHMD27672, SCHMD19745, SCHMD27562, SCHMD13056, SCHMD14155, SCHMD02015, SCHMD21390, SCHMD19872, SCHMD13000, SCHMD28016, SCHMD02951, SCHMD22472, SCHMD05181, SCHMD19746, SCHMD15814, SCHMD02952, SCHMD15683, SCHMD03880, SCHMD12640, SCHMD26335, SCHMD23390, SCHMD20492
OG0000708	YEAST03515	SCHMD23042, SCHMD29520, SCHMD19130, SCHMD16347
OG0000708	YEAST05997	SCHMD25653, SCHMD21805
OG0000709	YEAST00057	SCHMD18124, SCHMD20599, SCHMD21920, SCHMD21257
OG0000724	YEAST02013	SCHMD01876, SCHMD11468, SCHMD08667, SCHMD14292, SCHMD17982, SCHMD00128, SCHMD07525, SCHMD08666, SCHMD07332
OG0000732	YEAST04978	SCHMD15413, SCHMD09651, SCHMD05249
OG0000733	YEAST05474	SCHMD15931, SCHMD28225, SCHMD15626, SCHMD13904, SCHMD02163
OG0000735	YEAST05945	SCHMD07620
OG0000737	YEAST05188	SCHMD13872, SCHMD06037, SCHMD06036, SCHMD13871, SCHMD06038, SCHMD26765, SCHMD20700, SCHMD19426, SCHMD19425, SCHMD16484, SCHMD24684
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	SCHMD29713, SCHMD29471
OG0000752	YEAST01432, YEAST04483	SCHMD05569, SCHMD03946, SCHMD12645
OG0000753	YEAST01034, YEAST02037	SCHMD14739, SCHMD19308, SCHMD17874, SCHMD17873, SCHMD19309
OG0000757	YEAST01489	SCHMD13979, SCHMD10753, SCHMD18486
OG0000758	YEAST01504	SCHMD21135, SCHMD07281, SCHMD07282
OG0000759	YEAST02878, YEAST05681	SCHMD22205, SCHMD21958
OG0000765	YEAST02282, YEAST01897	SCHMD28655, SCHMD19641
OG0000765	YEAST05027, YEAST03009, YEAST01404	SCHMD29001
OG0000768	YEAST02560, YEAST04269	SCHMD13164, SCHMD22066, SCHMD13165, SCHMD22067
OG0000772	YEAST04929	SCHMD27339, SCHMD28581, SCHMD07550, SCHMD11404, SCHMD29807
OG0000776	YEAST04571, YEAST00195, YEAST00312	SCHMD10487
OG0000777	YEAST06297, YEAST02627	SCHMD19863, SCHMD04489, SCHMD11511, SCHMD04488, SCHMD17125
OG0000782	YEAST01393, YEAST05616	SCHMD18810, SCHMD13192, SCHMD14543, SCHMD01655, SCHMD14818
OG0000791	YEAST02375	SCHMD20330, SCHMD18169, SCHMD20086, SCHMD12436, SCHMD08589, SCHMD12437
OG0000794	YEAST04627	SCHMD10042
OG0000809	YEAST01998	SCHMD21850, SCHMD00682
OG0000817	YEAST02132	SCHMD18475, SCHMD11029
OG0000817	YEAST06112	SCHMD22983
OG0000824	YEAST01319, YEAST02883	SCHMD13102, SCHMD05362, SCHMD07823, SCHMD24327, SCHMD27575, SCHMD22375, SCHMD26863, SCHMD23932, SCHMD19546, SCHMD05363, SCHMD16880
OG0000828	YEAST00945, YEAST05476, YEAST00075	SCHMD18098, SCHMD08298
OG0000828	YEAST02290	SCHMD07805, SCHMD08624, SCHMD09181, SCHMD13964
OG0000837	YEAST06222	SCHMD09523, SCHMD05554, SCHMD04696, SCHMD00842, SCHMD03083
OG0000841	YEAST02416	SCHMD01918, SCHMD21459
OG0000847	YEAST02881, YEAST03544, YEAST06198	SCHMD00410
OG0000847	YEAST02530, YEAST00209	SCHMD03587, SCHMD22549
OG0000849	YEAST04475	SCHMD25311, SCHMD22953, SCHMD26456, SCHMD01276, SCHMD04229, SCHMD16960, SCHMD16685
OG0000850	YEAST04287	SCHMD23862, SCHMD22814, SCHMD10966, SCHMD04706, SCHMD04753, SCHMD01633, SCHMD04752, SCHMD26000, SCHMD27633
OG0000852	YEAST01266	SCHMD20255, SCHMD13251, SCHMD25468, SCHMD13252, SCHMD13081
OG0000855	YEAST04755	SCHMD29481, SCHMD01902, SCHMD15557
OG0000857	YEAST00309	SCHMD04157, SCHMD10825, SCHMD22599, SCHMD10824, SCHMD04156, SCHMD10826
OG0000868	YEAST06157	SCHMD05358, SCHMD10335, SCHMD05359
OG0000871	YEAST03857	SCHMD06938
OG0000872	YEAST03222, YEAST03741	SCHMD07553
OG0000875	YEAST00077	SCHMD10815, SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336
OG0000876	YEAST05556	SCHMD17198, SCHMD01529, SCHMD01530, SCHMD17201, SCHMD26977, SCHMD17199, SCHMD26978, SCHMD17200
OG0000879	YEAST06123	SCHMD10640
OG0000888	YEAST00288	SCHMD01724, SCHMD23123
