Orthogroup	YEAST	APOSC_ok
OG0000487	YEAST02728	APOSC_05499, APOSC_00762, APOSC_10037, APOSC_17459, APOSC_22887
OG0000488	YEAST01414	APOSC_04230, APOSC_04229, APOSC_26548, APOSC_08190, APOSC_08192, APOSC_15904, APOSC_04231, APOSC_08193, APOSC_08191
OG0000490	YEAST04297, YEAST00894	APOSC_08204
OG0000491	YEAST06196, YEAST00317	APOSC_11927
OG0000491	YEAST04587, YEAST03679	APOSC_28528
OG0000505	YEAST03067	APOSC_03312, APOSC_13727, APOSC_13726
OG0000508	YEAST04626	APOSC_05722, APOSC_10035, APOSC_10034, APOSC_01187
OG0000510	YEAST04569, YEAST05730	APOSC_13254, APOSC_09949, APOSC_08521
OG0000515	YEAST04784, YEAST05876	APOSC_18973, APOSC_22528, APOSC_08425, APOSC_11404, APOSC_03268, APOSC_06129, APOSC_25779, APOSC_03503, APOSC_09118, APOSC_21512, APOSC_13179, APOSC_03267, APOSC_23560, APOSC_23565, APOSC_11787, APOSC_24998
OG0000519	YEAST04594, YEAST03616	APOSC_08070, APOSC_07952, APOSC_07867, APOSC_26169, APOSC_12522, APOSC_03973
OG0000520	YEAST02979	APOSC_12204, APOSC_12202, APOSC_12203, APOSC_24142, APOSC_24141
OG0000523	YEAST01952, YEAST05838, YEAST06082	APOSC_17136, APOSC_11385
OG0000529	YEAST05790, YEAST00048	APOSC_19112, APOSC_19113, APOSC_19111, APOSC_23098
OG0000534	YEAST04932	APOSC_19109, APOSC_19108, APOSC_19110, APOSC_25538, APOSC_15159
OG0000538	YEAST00499	APOSC_00020, APOSC_00021, APOSC_00019
OG0000549	YEAST06280, YEAST02610, YEAST05060	APOSC_08202, APOSC_11264, APOSC_04931, APOSC_21216, APOSC_12322, APOSC_09908, APOSC_27494, APOSC_06706, APOSC_02592, APOSC_02591, APOSC_11384
OG0000552	YEAST05717	APOSC_17802, APOSC_27388, APOSC_24689
OG0000561	YEAST06202, YEAST00331	APOSC_03200, APOSC_16141, APOSC_11810, APOSC_07680
OG0000562	YEAST00314	APOSC_06195, APOSC_20626
OG0000563	YEAST01406	APOSC_00239, APOSC_04439, APOSC_16157, APOSC_09253
OG0000566	YEAST05789, YEAST00049	APOSC_11934, APOSC_11935, APOSC_15450
OG0000573	YEAST05675	APOSC_00916, APOSC_06381
OG0000576	YEAST00470, YEAST00193	APOSC_14912, APOSC_14911
OG0000578	YEAST01208, YEAST00759	APOSC_19019
OG0000579	YEAST02484	APOSC_16538
OG0000582	YEAST03615	APOSC_22258, APOSC_19007, APOSC_19006
OG0000587	YEAST04063	APOSC_07501
OG0000587	YEAST03372	APOSC_00084
OG0000588	YEAST05197	APOSC_14978, APOSC_23369
OG0000590	YEAST05110, YEAST05552, YEAST03727	APOSC_14417, APOSC_05832
OG0000592	YEAST00388	APOSC_07367, APOSC_26247
OG0000597	YEAST04330	APOSC_18654, APOSC_09238, APOSC_11831
OG0000609	YEAST05180	APOSC_21629, APOSC_15758
OG0000612	YEAST02370	APOSC_01590
OG0000612	YEAST03629	APOSC_11557
OG0000613	YEAST01072	APOSC_03778, APOSC_26003
OG0000623	YEAST02411	APOSC_11408, APOSC_11407
OG0000623	YEAST05090	APOSC_25178, APOSC_25179, APOSC_28396
OG0000627	YEAST02116, YEAST03957	APOSC_21489, APOSC_19887
OG0000639	YEAST02015	APOSC_28763, APOSC_01472
OG0000642	YEAST00618	APOSC_28101, APOSC_19716, APOSC_19520, APOSC_21780, APOSC_15545
OG0000645	YEAST05140	APOSC_03352
OG0000645	YEAST04743	APOSC_00638, APOSC_09352
OG0000647	YEAST04534	APOSC_09611
OG0000648	YEAST04178, YEAST05641	APOSC_03595, APOSC_17710, APOSC_17709, APOSC_15129, APOSC_14173, APOSC_08045
OG0000657	YEAST03846	APOSC_07236, APOSC_28772, APOSC_17511, APOSC_28771
OG0000660	YEAST05150, YEAST01587	APOSC_15989, APOSC_26737, APOSC_25408
