Orthogroup	PFLAV	BRAFL
OG0000013	TCONS_00023863.p1	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1	bflo_18525, bflo_05141
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	bflo_04326, bflo_04339, bflo_04331
OG0000015	TCONS_00043861.p1	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473, bflo_11972, bflo_10460, bflo_14872
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	bflo_14874
OG0000015	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1	bflo_24142, bflo_23928
OG0000015	TCONS_00055081.p1, TCONS_00043497.p1	bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701
OG0000015	TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1	bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
OG0000016	TCONS_00022184.p1	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276
OG0000016	TCONS_00003602.p1	bflo_12769
