	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
151-200	0	0	0	161	0	0	164	0	0	546	0	0	0	0	0	0	0	0	0	153	347	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	25.9	25.6	32.3	6.9	26.9	36.0	27.2	19.6	51.8	9.4	15.6	59.0	20.9	22.3	7.3	22.2	27.0	19.2	22.1	23.5	10.4	24.7	30.5	35.2
'2	13.0	14.2	17.8	12.4	17.5	12.6	12.4	12.8	13.7	13.4	17.0	16.8	20.2	15.8	11.9	16.0	17.9	16.6	12.1	12.1	17.8	20.2	19.1	18.0
'3	6.4	8.2	8.5	7.2	11.8	6.5	6.9	6.5	5.3	10.6	11.0	6.4	14.4	6.8	10.9	8.3	12.0	9.1	6.3	6.2	9.2	7.6	10.9	6.3
'4	4.2	4.9	5.6	9.8	8.6	4.2	4.7	4.7	2.5	8.7	8.5	3.3	9.2	4.4	9.6	4.5	8.3	6.7	4.7	3.9	6.8	5.4	7.5	2.7
'5	2.6	3.0	3.9	4.7	6.1	3.3	3.9	3.5	0.8	6.4	5.6	2.4	6.2	3.3	7.9	3.4	5.9	5.5	4.0	2.9	4.5	3.1	3.9	1.2
'6	2.5	2.5	3.2	6.4	4.5	2.4	2.7	2.8	1.6	5.0	4.6	1.6	4.5	2.5	6.1	2.2	4.4	3.9	3.0	2.2	3.4	3.1	2.8	0.9
'7	1.8	1.6	1.7	3.1	3.9	2.0	2.4	1.9	0.6	4.5	3.7	1.4	3.4	2.0	5.0	2.0	3.5	2.9	2.8	2.1	2.7	2.0	1.7	0.6
'8	1.4	1.5	1.6	5.3	2.4	1.9	2.2	1.8	0.5	3.6	3.0	0.9	2.5	1.7	4.3	1.7	2.1	2.1	2.2	1.7	2.5	2.0	1.6	0.3
'9	1.4	1.0	1.3	3.0	2.3	1.7	2.0	1.7	0.3	3.0	2.8	0.7	1.9	2.0	3.6	1.3	1.6	2.2	2.1	1.6	1.9	1.6	1.4	0.4
'10	0.8	1.0	1.2	2.8	1.9	1.8	1.4	1.3	0.6	2.6	2.5	0.5	1.5	1.6	3.1	0.9	1.0	1.7	2.0	1.1	1.8	1.3	1.4	0.5
11-15	5.1	3.9	4.4	11.1	4.1	5.8	5.0	4.0	0.7	9.2	6.8	2.2	4.1	5.9	10.1	4.3	4.6	6.3	7.8	5.0	4.9	6.4	4.3	0.8
16-20	4.5	3.0	2.3	6.7	2.6	4.0	4.1	3.7	0.4	5.1	3.2	1.5	2.4	4.3	5.5	2.6	2.7	4.0	6.4	3.3	2.4	3.2	3.4	0.6
21-50	12.6	4.6	4.5	13.8	4.6	9.8	12.0	12.2	1.2	10.3	5.0	1.7	3.5	8.7	8.7	8.2	4.7	9.5	14.6	9.1	6.9	12.7	6.9	1.5
51-100	4.4	2.4	0.6	2.3	1.0	3.6	2.5	2.7	2.5	2.5	0.9	0.5	0.6	2.3	2.0	2.0	0.8	0.9	4.1	1.6	3.2	3.2	2.2	0.0
101-150	0.4	2.3	0.0	0.2	0.0	0.0	0.7	0.0	0.0	1.2	0.0	0.0	0.0	0.8	0.4	0.8	0.0	0.0	0.9	0.3	2.0	1.4	1.2	0.0
151-200	0.0	0.0	0.0	0.2	0.0	0.0	0.5	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.2	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
