Orthogroup	Duplications (all)	Duplications (50% support)
OG0001015	41	37
OG0001016	22	18
OG0001017	29	23
OG0001018	25	19
OG0001019	32	30
OG0001020	58	53
OG0001021	45	44
OG0001022	33	30
OG0001023	33	27
OG0001024	25	14
OG0001025	45	39
OG0001026	42	40
OG0001027	36	34
OG0001028	36	35
OG0001029	20	19
OG0001030	24	18
OG0001031	31	24
OG0001032	32	28
OG0001033	15	13
OG0001034	41	35
OG0001035	56	50
OG0001036	38	34
OG0001037	43	40
OG0001038	35	32
OG0001039	22	20
OG0001040	69	69
OG0001041	55	53
OG0001042	35	30
OG0001043	34	30
OG0001044	34	26
OG0001045	51	47
OG0001046	34	33
OG0001047	31	27
OG0001048	25	21
OG0001049	17	15
OG0001050	27	22
OG0001051	38	25
OG0001052	23	22
OG0001053	18	14
OG0001054	19	15
OG0001055	46	43
OG0001056	35	27
OG0001057	28	21
OG0001058	42	41
OG0001059	41	32
OG0001060	38	34
OG0001061	46	45
OG0001062	31	27
OG0001063	30	25
OG0001064	49	44
OG0001065	30	26
OG0001066	26	17
OG0001067	39	33
OG0001068	36	28
OG0001069	62	58
OG0001070	57	52
OG0001071	71	71
OG0001072	27	23
OG0001073	35	29
OG0001074	70	70
OG0001075	37	33
OG0001076	31	20
OG0001077	20	14
OG0001078	27	25
OG0001079	26	21
OG0001080	19	15
OG0001081	36	32
OG0001082	32	27
OG0001083	35	32
OG0001084	36	34
OG0001085	31	30
OG0001086	32	27
OG0001087	52	45
OG0001088	28	19
OG0001089	36	30
OG0001090	50	36
OG0001091	23	20
OG0001092	27	21
OG0001093	34	32
OG0001094	34	30
OG0001095	37	30
OG0001096	37	33
OG0001097	56	53
OG0001098	65	65
OG0001099	66	60
OG0001100	70	70
OG0001101	26	20
OG0001102	24	21
OG0001103	24	20
OG0001104	26	24
OG0001105	20	12
OG0001106	25	11
OG0001107	34	31
OG0001108	27	21
OG0001109	38	35
OG0001110	36	31
OG0001111	22	16
OG0001112	32	23
OG0001113	16	13
OG0001114	33	28
OG0001115	24	15
OG0001116	32	25
OG0001117	36	34
OG0001118	34	24
OG0001119	38	34
OG0001120	30	29
OG0001121	38	37
OG0001122	48	46
OG0001123	24	20
OG0001124	28	24
OG0001125	31	18
OG0001126	24	21
OG0001127	37	35
OG0001128	31	25
OG0001129	23	18
OG0001130	27	17
OG0001131	43	42
OG0001132	47	46
OG0001133	18	12
OG0001134	43	39
OG0001135	27	21
OG0001136	36	33
OG0001137	38	35
OG0001138	34	32
OG0001139	21	16
OG0001140	35	30
OG0001141	37	29
OG0001142	40	39
OG0001143	29	25
OG0001144	30	26
OG0001145	66	66
OG0001146	33	31
OG0001147	48	41
OG0001148	35	28
OG0001149	31	31
OG0001150	52	52
OG0001151	51	51
OG0001152	67	67
OG0001153	68	68
OG0001154	53	50
OG0001155	24	19
OG0001156	33	31
OG0001157	48	44
OG0001158	25	15
OG0001159	30	21
OG0001160	32	30
OG0001161	33	28
OG0001162	34	31
OG0001163	38	34
OG0001164	31	23
OG0001165	27	23
OG0001166	39	38
OG0001167	36	35
OG0001168	27	17
OG0001169	34	31
OG0001170	30	21
OG0001171	23	19
OG0001172	12	9
OG0001173	24	19
OG0001174	44	42
OG0001175	26	20
OG0001176	25	22
OG0001177	22	20
OG0001178	22	16
OG0001179	29	25
OG0001180	33	30
OG0001181	34	31
OG0001182	31	30
OG0001183	34	29
OG0001184	19	16
OG0001185	36	33
