Orthogroup	BRAFL	XENTR
OG0000037	bflo_10999	XENTR16580, XENTR14770, XENTR03861
OG0000037	bflo_01343, bflo_01342	XENTR10865, XENTR10696
OG0000037	bflo_10180	XENTR18131
OG0000038	bflo_16788	XENTR04197, XENTR04200
OG0000038	bflo_18855	XENTR04206
OG0000038	bflo_11477	XENTR16650
OG0000039	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169	XENTR17227
OG0000039	bflo_15832	XENTR17697
OG0000040	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	bflo_05956	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869
OG0000042	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903	XENTR01504, XENTR14467, XENTR14468, XENTR15648, XENTR15649, XENTR17040, XENTR14343, XENTR15647, XENTR14466, XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424
OG0000043	bflo_19214	XENTR13561, XENTR13559
OG0000044	bflo_07748	XENTR04256
OG0000045	bflo_03910	XENTR06990
OG0000046	bflo_09128, bflo_05621	XENTR04959
OG0000046	bflo_12973, bflo_25564, bflo_11116, bflo_21984	XENTR17142, XENTR08235, XENTR05674, XENTR16277
OG0000048	bflo_15152	XENTR03701
OG0000048	bflo_07462	XENTR18412
OG0000048	bflo_17669	XENTR04117
OG0000048	bflo_20353	XENTR05160
OG0000049	bflo_17665	XENTR00212, XENTR08482
OG0000049	bflo_12099	XENTR07031, XENTR06401
OG0000049	bflo_12470, bflo_11081	XENTR01319, XENTR18684, XENTR07961, XENTR13014
OG0000049	bflo_17096, bflo_11847	XENTR07960
OG0000050	bflo_05159, bflo_06071, bflo_13661, bflo_23087, bflo_25684, bflo_00569, bflo_19319	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104
OG0000051	bflo_08711	XENTR08842
OG0000052	bflo_05328, bflo_02741	XENTR09745, XENTR16766, XENTR16795
OG0000053	bflo_21932, bflo_21926, bflo_18879, bflo_19026	XENTR00094
OG0000054	bflo_04388	XENTR04962, XENTR04961
OG0000054	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284	XENTR00035, XENTR00034, XENTR00033, XENTR00032
OG0000055	bflo_23399	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084
OG0000056	bflo_15952	XENTR00781
OG0000057	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221	XENTR04236, XENTR01413, XENTR01414
OG0000058	bflo_24517	XENTR09300
OG0000058	bflo_09194	XENTR11839
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	XENTR16040, XENTR02416, XENTR06707
OG0000058	bflo_23048, bflo_23141	XENTR13842, XENTR00121
OG0000059	bflo_15172	XENTR11924, XENTR13190
OG0000059	bflo_21855	XENTR09381
OG0000059	bflo_13996, bflo_14747	XENTR06961, XENTR16370
OG0000060	bflo_01659, bflo_06661	XENTR09513
OG0000060	bflo_01384	XENTR11489, XENTR04114, XENTR08957
OG0000061	bflo_18545	XENTR00116, XENTR05367
OG0000061	bflo_19266, bflo_18688, bflo_18686, bflo_18896	XENTR09403, XENTR06949, XENTR06950, XENTR12872
OG0000061	bflo_18999, bflo_19344	XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	XENTR10609, XENTR10747
OG0000062	bflo_17250, bflo_01624	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	bflo_13529	XENTR09512
OG0000063	bflo_25923	XENTR04708
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	XENTR08048, XENTR02007
OG0000066	bflo_04761, bflo_11842	XENTR18882
OG0000067	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936	XENTR14086
OG0000069	bflo_20543, bflo_20542, bflo_20541, bflo_27333	XENTR15529
OG0000069	bflo_23212	XENTR18834
OG0000069	bflo_05168, bflo_23210	XENTR16269
OG0000070	bflo_17097, bflo_18391, bflo_18274	XENTR15503, XENTR11143, XENTR02048
OG0000070	bflo_19712, bflo_19610, bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948, bflo_15003, bflo_25235	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834
OG0000071	bflo_24861	XENTR09995, XENTR01851, XENTR10875
OG0000072	bflo_14354	XENTR15041, XENTR13953
OG0000072	bflo_14484, bflo_04637	XENTR03548, XENTR18546
OG0000072	bflo_14474	XENTR01057
OG0000073	bflo_23562	XENTR03608, XENTR03610, XENTR03611, XENTR03612
OG0000073	bflo_15886	XENTR03006, XENTR09344, XENTR05966, XENTR05967, XENTR09343
OG0000073	bflo_10835	XENTR13665
OG0000074	bflo_10921	XENTR10798, XENTR10797, XENTR11114
OG0000074	bflo_14737	XENTR14396
OG0000075	bflo_02192	XENTR02757, XENTR11353, XENTR12610
OG0000075	bflo_02607	XENTR06215
OG0000075	bflo_24625	XENTR09250
OG0000075	bflo_21844	XENTR14285, XENTR05936
OG0000075	bflo_02487	XENTR04179, XENTR06216
OG0000075	bflo_12189	XENTR01223, XENTR05975
OG0000075	bflo_11040	XENTR10723
OG0000075	bflo_12166	XENTR06816, XENTR17547, XENTR16124
OG0000075	bflo_11652	XENTR05986, XENTR05987
OG0000077	bflo_09725	XENTR06888, XENTR17790, XENTR02687
OG0000077	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366	XENTR01904, XENTR08754, XENTR13403
OG0000077	bflo_18777, bflo_23174	XENTR07875, XENTR00642, XENTR04757
OG0000078	bflo_05955	XENTR16140
OG0000078	bflo_03225, bflo_03224, bflo_03600, bflo_00994, bflo_16269, bflo_01905, bflo_16844, bflo_16039, bflo_09080, bflo_03425, bflo_02138	XENTR05046, XENTR08333, XENTR08953, XENTR08952
OG0000079	bflo_00523	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	bflo_07371	XENTR08294, XENTR08293, XENTR03649
OG0000079	bflo_20026	XENTR01194
OG0000079	bflo_01658	XENTR15371
OG0000080	bflo_20693, bflo_04566	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066
OG0000081	bflo_15913, bflo_15912, bflo_16774, bflo_16578, bflo_25892, bflo_26241	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317
OG0000081	bflo_25900, bflo_13564, bflo_13563	XENTR05089, XENTR04318, XENTR10285, XENTR00627
OG0000082	bflo_15900	XENTR16096
OG0000082	bflo_04889	XENTR01624, XENTR01625
OG0000083	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533	XENTR04370, XENTR12084, XENTR05647
OG0000084	bflo_10754	XENTR14395, XENTR14216, XENTR02688
OG0000084	bflo_08430	XENTR05567, XENTR06450
OG0000085	bflo_00992	XENTR01729, XENTR03138
OG0000085	bflo_12569	XENTR15005
OG0000085	bflo_17482	XENTR14407, XENTR15163, XENTR04222
OG0000085	bflo_20149	XENTR12508, XENTR04053
OG0000085	bflo_18272, bflo_18210	XENTR12352, XENTR12351
OG0000086	bflo_08397, bflo_26694, bflo_24334, bflo_04403, bflo_02111	XENTR14579
OG0000087	bflo_21260	XENTR17246
OG0000087	bflo_15474, bflo_15461	XENTR13447, XENTR13446
OG0000087	bflo_02993	XENTR07023
OG0000087	bflo_02949, bflo_07784, bflo_11840	XENTR10385
OG0000087	bflo_11911	XENTR06016
OG0000087	bflo_22659	XENTR00988
OG0000087	bflo_03240	XENTR18799
OG0000088	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738, bflo_20465	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110
OG0000089	bflo_17962, bflo_17832, bflo_01283, bflo_21188	XENTR04109
OG0000090	bflo_16621	XENTR11768
OG0000090	bflo_02393	XENTR06545
OG0000091	bflo_24376, bflo_24373, bflo_24374, bflo_18056, bflo_18055, bflo_18057, bflo_27165, bflo_18268, bflo_05649, bflo_27146, bflo_06396	XENTR08624
OG0000093	bflo_08402, bflo_20451	XENTR11592
OG0000093	bflo_26066, bflo_22106, bflo_08411, bflo_26076	XENTR02843, XENTR08380
OG0000094	bflo_11484	XENTR09915, XENTR14788, XENTR17591
OG0000096	bflo_21246, bflo_21213	XENTR02028, XENTR07076, XENTR03113
OG0000096	bflo_11038	XENTR02339, XENTR11518
OG0000096	bflo_17838	XENTR06220, XENTR01880
OG0000096	bflo_24085, bflo_09131	XENTR18353, XENTR11491, XENTR07413, XENTR11633
OG0000096	bflo_03032	XENTR16018, XENTR14119
OG0000096	bflo_18893	XENTR17893
OG0000098	bflo_26530, bflo_24865	XENTR05433, XENTR18578, XENTR17176
OG0000098	bflo_05564	XENTR13786, XENTR13233, XENTR09318, XENTR06987
OG0000099	bflo_14861, bflo_14862	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898
OG0000099	bflo_17705	XENTR08245, XENTR06050
OG0000099	bflo_18245	XENTR16324, XENTR11719, XENTR12540
OG0000101	bflo_10195	XENTR09885, XENTR05951
OG0000101	bflo_18450	XENTR10544, XENTR10545
OG0000101	bflo_07765, bflo_07393, bflo_18261, bflo_09088, bflo_24291, bflo_00022, bflo_08232, bflo_08101, bflo_08348, bflo_06024, bflo_18190, bflo_18188	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771
OG0000102	bflo_26889, bflo_08442, bflo_08423, bflo_08476	XENTR10759, XENTR05530
OG0000102	bflo_05363, bflo_05367, bflo_05364, bflo_05378, bflo_05369, bflo_05365, bflo_04323	XENTR17165, XENTR06155
