Orthogroup	BRAFL	ASTMX
OG0000061	bflo_18999, bflo_19344	ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	ASTMX18729, ASTMX15987
OG0000062	bflo_17250, bflo_01624	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	bflo_13529	ASTMX01260
OG0000063	bflo_25923	ASTMX13777
OG0000063	bflo_11558	ASTMX12583
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	ASTMX10350, ASTMX13375, ASTMX12584
OG0000066	bflo_04761, bflo_11842	ASTMX01776
OG0000067	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936	ASTMX19815
OG0000068	bflo_12119	ASTMX15456
OG0000068	bflo_12120	ASTMX20702
OG0000069	bflo_05168, bflo_23210	ASTMX20491
OG0000070	bflo_17097, bflo_18391, bflo_18274	ASTMX03868, ASTMX11850
OG0000070	bflo_19712, bflo_19610, bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948, bflo_15003, bflo_25235	ASTMX17316, ASTMX02948
OG0000071	bflo_24861	ASTMX03580, ASTMX03579, ASTMX03578, ASTMX03576, ASTMX03577, ASTMX01732, ASTMX18909, ASTMX18910, ASTMX10408
OG0000072	bflo_14354	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521
OG0000072	bflo_14484, bflo_04637	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	bflo_14474	ASTMX11250, ASTMX11618
OG0000073	bflo_13167	ASTMX22931
OG0000073	bflo_15886	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735
OG0000073	bflo_10835	ASTMX19270, ASTMX02619
OG0000074	bflo_10921	ASTMX16165, ASTMX17638, ASTMX00966
OG0000074	bflo_14737	ASTMX12476
OG0000075	bflo_02192	ASTMX13833, ASTMX15058
OG0000075	bflo_02500	ASTMX17154
OG0000075	bflo_02607	ASTMX04760
OG0000075	bflo_24625	ASTMX10641, ASTMX00718
OG0000075	bflo_21844	ASTMX12169, ASTMX18152
OG0000075	bflo_02487	ASTMX16716, ASTMX04759
OG0000075	bflo_12189	ASTMX01001, ASTMX08839, ASTMX10263
OG0000075	bflo_11040	ASTMX12953, ASTMX02098
OG0000075	bflo_12166	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441
OG0000075	bflo_11652	ASTMX07134
OG0000077	bflo_09725	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112
OG0000077	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594
OG0000077	bflo_18777, bflo_23174	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084
OG0000078	bflo_05955	ASTMX08154, ASTMX03860
OG0000078	bflo_03225, bflo_03224, bflo_03600, bflo_00994, bflo_16269, bflo_01905, bflo_16844, bflo_16039, bflo_09080, bflo_03425, bflo_02138	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	bflo_00523	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	bflo_07371	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883
OG0000079	bflo_20026	ASTMX02337, ASTMX02996, ASTMX05046
OG0000079	bflo_01658	ASTMX02943
OG0000081	bflo_15913, bflo_15912, bflo_16774, bflo_16578, bflo_25892, bflo_26241	ASTMX02774
OG0000081	bflo_25900, bflo_13564, bflo_13563	ASTMX05086, ASTMX02861, ASTMX19704, ASTMX02860, ASTMX00638, ASTMX14294, ASTMX06157, ASTMX15416, ASTMX09818
OG0000082	bflo_15900	ASTMX06917
OG0000082	bflo_04889	ASTMX17888
OG0000082	bflo_00187	ASTMX10851, ASTMX17248
OG0000083	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864
OG0000084	bflo_10754	ASTMX18467, ASTMX12487, ASTMX09980
OG0000084	bflo_08430	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667
OG0000085	bflo_00992	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	bflo_12569	ASTMX19538
OG0000085	bflo_17482	ASTMX01137, ASTMX09823, ASTMX11049
OG0000085	bflo_20149	ASTMX09759, ASTMX09890, ASTMX10718
OG0000085	bflo_18272, bflo_18210	ASTMX08704, ASTMX02521
OG0000086	bflo_08397, bflo_26694, bflo_24334, bflo_04403, bflo_02111	ASTMX23077
OG0000086	bflo_14241, bflo_09645, bflo_10623, bflo_12507, bflo_19138	ASTMX05962
OG0000087	bflo_21260	ASTMX06968
OG0000087	bflo_11840	ASTMX17717
OG0000087	bflo_11911	ASTMX06381
OG0000087	bflo_22659	ASTMX19474
OG0000087	bflo_03240	ASTMX17716
OG0000088	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738, bflo_20465	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
OG0000089	bflo_02193, bflo_05485, bflo_04536, bflo_25331, bflo_08302, bflo_01704, bflo_02380, bflo_07198, bflo_24284, bflo_27461, bflo_24333, bflo_05569, bflo_17128, bflo_12545, bflo_05487	ASTMX10521
