Orthogroup	BRAFL	PFLAV
OG0000026	bflo_03704, bflo_21877, bflo_14509, bflo_02973, bflo_03705, bflo_02969, bflo_17121, bflo_03998, bflo_09675, bflo_07770, bflo_18066, bflo_05329, bflo_21515, bflo_21517, bflo_21247, bflo_21501, bflo_21518, bflo_01508, bflo_00408, bflo_21522, bflo_21831, bflo_17285, bflo_17283, bflo_17284, bflo_05278, bflo_09823	TCONS_00050896.p1, TCONS_00050897.p1, TCONS_00051268.p1, TCONS_00050105.p1
OG0000026	bflo_06473	TCONS_00043670.p1
OG0000026	bflo_11370	TCONS_00038740.p1, TCONS_00052092.p1
OG0000027	bflo_07313, bflo_06884, bflo_21207, bflo_21232, bflo_21997	TCONS_00005542.p1, TCONS_00044321.p1, TCONS_00049112.p1, TCONS_00049113.p1, TCONS_00049119.p1, TCONS_00049120.p1, TCONS_00049114.p1, TCONS_00049115.p1, TCONS_00049116.p1, TCONS_00049117.p1, TCONS_00049118.p1
OG0000027	bflo_16745, bflo_11436	TCONS_00046417.p1
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1
OG0000028	bflo_14636, bflo_15358	TCONS_00008790.p1
OG0000028	bflo_07777, bflo_07412, bflo_07411, bflo_18326, bflo_07776, bflo_08264	TCONS_00030328.p1, TCONS_00030338.p1, TCONS_00030608.p1, TCONS_00053821.p1, TCONS_00031464.p1, TCONS_00041062.p1
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1
OG0000028	bflo_06341	TCONS_00029777.p1, TCONS_00029776.p1
OG0000028	bflo_01235, bflo_02042	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1
