Orthogroup	BRAFL	HUMAN
OG0000027	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610	HUMAN16847
OG0000028	bflo_23186, bflo_23170, bflo_06699, bflo_04841	HUMAN03982
OG0000028	bflo_14636, bflo_15358	HUMAN09209
OG0000028	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959	HUMAN01776, HUMAN09895
OG0000028	bflo_06498, bflo_18107	HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281
OG0000028	bflo_25761, bflo_19766, bflo_19099	HUMAN27764, HUMAN17889
OG0000028	bflo_06341	HUMAN09193, HUMAN09206
OG0000029	bflo_00003	HUMAN15611
OG0000029	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407	HUMAN24898, HUMAN21852
OG0000030	bflo_05230	HUMAN23234, HUMAN23233, HUMAN23232
OG0000031	bflo_02624	HUMAN17850
OG0000031	bflo_02501	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	bflo_02849	HUMAN26043
OG0000031	bflo_25562	HUMAN09203
OG0000031	bflo_06369	HUMAN26979, HUMAN14235
OG0000031	bflo_11397	HUMAN21432
OG0000031	bflo_15458	HUMAN07725
OG0000031	bflo_15459	HUMAN07726, HUMAN22322
OG0000031	bflo_02405	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	bflo_12824, bflo_01429	HUMAN27902
OG0000032	bflo_23561, bflo_23038, bflo_01635	HUMAN19258
OG0000032	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388	HUMAN23633, HUMAN23632
OG0000034	bflo_20326	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673
OG0000034	bflo_03308, bflo_13145	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	bflo_05871	HUMAN01831, HUMAN13891
OG0000034	bflo_03310	HUMAN04678
OG0000034	bflo_07712, bflo_08443	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	bflo_03379	HUMAN04988
OG0000035	bflo_02157	HUMAN06576
OG0000035	bflo_10385	HUMAN06191, HUMAN03898
OG0000035	bflo_09462	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	bflo_09767, bflo_09277	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	bflo_10386	HUMAN04383
OG0000036	bflo_13405, bflo_09641, bflo_13747, bflo_13748	HUMAN08124, HUMAN11288
OG0000036	bflo_13764, bflo_12886	HUMAN11555
OG0000036	bflo_13765, bflo_13767, bflo_03188	HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	HUMAN22872
OG0000036	bflo_12806, bflo_12805	HUMAN27983, HUMAN15223
OG0000037	bflo_18550, bflo_02879	HUMAN25007, HUMAN25008, HUMAN25010, HUMAN25009, HUMAN25006, HUMAN02504, HUMAN08759, HUMAN04817
OG0000037	bflo_10999	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	bflo_01343, bflo_01342	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	bflo_10180	HUMAN03689
OG0000038	bflo_10654	HUMAN19701
OG0000038	bflo_18855	HUMAN18257
OG0000038	bflo_11477	HUMAN19700
OG0000039	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169	HUMAN29023
OG0000039	bflo_15832	HUMAN13199
OG0000040	bflo_18133	HUMAN26646, HUMAN26642
