Orthogroup	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
OG0050542	AENJA_02491																							
OG0050543	AENJA_02496																							
OG0050544	AENJA_02514																							
OG0050545	AENJA_02521																							
OG0050546	AENJA_02523																							
OG0050547	AENJA_02538																							
OG0050548	AENJA_02554																							
OG0050549	AENJA_02559																							
OG0050550	AENJA_02565																							
OG0050551	AENJA_02573																							
OG0050552	AENJA_02585																							
OG0050553	AENJA_02586																							
OG0050554	AENJA_02588																							
OG0050555	AENJA_02589																							
OG0050556	AENJA_02602																							
OG0050557	AENJA_02604																							
OG0050558	AENJA_02609																							
OG0050559	AENJA_02625																							
OG0050560	AENJA_02629																							
OG0050561	AENJA_02630																							
OG0050562	AENJA_02648																							
OG0050563	AENJA_02650																							
OG0050564	AENJA_02663																							
OG0050565	AENJA_02667																							
OG0050566	AENJA_02672																							
OG0050567	AENJA_02673																							
OG0050568	AENJA_02690																							
OG0050569	AENJA_02698																							
OG0050570	AENJA_02699																							
OG0050571	AENJA_02700																							
OG0050572	AENJA_02701																							
OG0050573	AENJA_02702																							
OG0050574	AENJA_02704																							
OG0050575	AENJA_02717																							
OG0050576	AENJA_02734																							
OG0050577	AENJA_02739																							
OG0050578	AENJA_02754																							
OG0050579	AENJA_02768																							
OG0050580	AENJA_02778																							
OG0050581	AENJA_02787																							
OG0050582	AENJA_02813																							
OG0050583	AENJA_02828																							
OG0050584	AENJA_02829																							
OG0050585	AENJA_02839																							
OG0050586	AENJA_02840																							
OG0050587	AENJA_02841																							
OG0050588	AENJA_02842																							
OG0050589	AENJA_02843																							
OG0050590	AENJA_02844																							
OG0050591	AENJA_02845																							
OG0050592	AENJA_02847																							
OG0050593	AENJA_02850																							
OG0050594	AENJA_02858																							
OG0050595	AENJA_02863																							
OG0050596	AENJA_02866																							
OG0050597	AENJA_02873																							
OG0050598	AENJA_02874																							
OG0050599	AENJA_02875																							
OG0050600	AENJA_02879																							
OG0050601	AENJA_02880																							
OG0050602	AENJA_02886																							
OG0050603	AENJA_02892																							
OG0050604	AENJA_02893																							
OG0050605	AENJA_02894																							
OG0050606	AENJA_02897																							
OG0050607	AENJA_02910																							
OG0050608	AENJA_02923																							
OG0050609	AENJA_02926																							
OG0050610	AENJA_02957																							
OG0050611	AENJA_02960																							
OG0050612	AENJA_02961																							
OG0050613	AENJA_02965																							
OG0050614	AENJA_02994																							
OG0050615	AENJA_02998																							
OG0050616	AENJA_02999																							
OG0050617	AENJA_03004																							
OG0050618	AENJA_03005																							
OG0050619	AENJA_03016																							
OG0050620	AENJA_03033																							
OG0050621	AENJA_03039																							
OG0050622	AENJA_03048																							
OG0050623	AENJA_03061																							
OG0050624	AENJA_03066																							
OG0050625	AENJA_03085																							
OG0050626	AENJA_03086																							
OG0050627	AENJA_03087																							
OG0050628	AENJA_03088																							
OG0050629	AENJA_03090																							
OG0050630	AENJA_03092																							
OG0050631	AENJA_03093																							
OG0050632	AENJA_03101																							
OG0050633	AENJA_03103																							
OG0050634	AENJA_03111																							
OG0050635	AENJA_03115																							
OG0050636	AENJA_03137																							
OG0050637	AENJA_03146																							
OG0050638	AENJA_03172																							
OG0050639	AENJA_03182																							
OG0050640	AENJA_03183																							
OG0050641	AENJA_03186																							
OG0050642	AENJA_03188																							
OG0050643	AENJA_03190																							
OG0050644	AENJA_03191																							
OG0050645	AENJA_03194																							
OG0050646	AENJA_03197																							
OG0050647	AENJA_03203																							
OG0050648	AENJA_03204																							
OG0050649	AENJA_03205																							
OG0050650	AENJA_03255																							
OG0050651	AENJA_03257																							
OG0050652	AENJA_03265																							
OG0050653	AENJA_03269																							
OG0050654	AENJA_03313																							
OG0050655	AENJA_03326																							
OG0050656	AENJA_03327																							
OG0050657	AENJA_03369																							
OG0050658	AENJA_03380																							
OG0050659	AENJA_03393																							
OG0050660	AENJA_03414																							
OG0050661	AENJA_03418																							
OG0050662	AENJA_03428																							
OG0050663	AENJA_03441																							
OG0050664	AENJA_03461																							
OG0050665	AENJA_03481																							
OG0050666	AENJA_03484																							
OG0050667	AENJA_03486																							
OG0050668	AENJA_03487																							
OG0050669	AENJA_03498																							
OG0050670	AENJA_03499																							
OG0050671	AENJA_03502																							
OG0050672	AENJA_03507																							
OG0050673	AENJA_03528																							
OG0050674	AENJA_03529																							
OG0050675	AENJA_03530																							
OG0050676	AENJA_03532																							
OG0050677	AENJA_03534																							
OG0050678	AENJA_03546																							
OG0050679	AENJA_03550																							
OG0050680	AENJA_03551																							
OG0050681	AENJA_03561																							
OG0050682	AENJA_03565																							
OG0050683	AENJA_03615																							
OG0050684	AENJA_03631																							
OG0050685	AENJA_03634																							
OG0050686	AENJA_03636																							
OG0050687	AENJA_03641																							
OG0050688	AENJA_03653																							
OG0050689	AENJA_03654																							
OG0050690	AENJA_03656																							
OG0050691	AENJA_03669																							
OG0050692	AENJA_03680																							
OG0050693	AENJA_03682																							
OG0050694	AENJA_03683																							
OG0050695	AENJA_03687																							
OG0050696	AENJA_03689																							
OG0050697	AENJA_03691																							
OG0050698	AENJA_03692																							
OG0050699	AENJA_03693																							
OG0050700	AENJA_03694																							
OG0050701	AENJA_03708																							
OG0050702	AENJA_03727																							
OG0050703	AENJA_03745																							
OG0050704	AENJA_03750																							
OG0050705	AENJA_03751																							
OG0050706	AENJA_03752																							
OG0050707	AENJA_03757																							
OG0050708	AENJA_03796																							
OG0050709	AENJA_03809																							
OG0050710	AENJA_03844																							
OG0050711	AENJA_03864																							
OG0050712	AENJA_03874																							
OG0050713	AENJA_03875																							
OG0050714	AENJA_03893																							
OG0050715	AENJA_03898																							
OG0050716	AENJA_03900																							
OG0050717	AENJA_03901																							
OG0050718	AENJA_03909																							
OG0050719	AENJA_03915																							
OG0050720	AENJA_03919																							
OG0050721	AENJA_03920																							
OG0050722	AENJA_03930																							
OG0050723	AENJA_03940																							
OG0050724	AENJA_03941																							
OG0050725	AENJA_03946																							
OG0050726	AENJA_03949																							
OG0050727	AENJA_03981																							
OG0050728	AENJA_03984																							
OG0050729	AENJA_03990																							
OG0050730	AENJA_03993																							
OG0050731	AENJA_03994																							
OG0050732	AENJA_04008																							
OG0050733	AENJA_04009																							
OG0050734	AENJA_04043																							
OG0050735	AENJA_04044																							
OG0050736	AENJA_04046																							
OG0050737	AENJA_04054																							
OG0050738	AENJA_04058																							
OG0050739	AENJA_04059																							
OG0050740	AENJA_04062																							
OG0050741	AENJA_04075																							
OG0050742	AENJA_04076																							
OG0050743	AENJA_04077																							
OG0050744	AENJA_04093																							
OG0050745	AENJA_04097																							
OG0050746	AENJA_04116																							
OG0050747	AENJA_04118																							
OG0050748	AENJA_04131																							
OG0050749	AENJA_04132																							
OG0050750	AENJA_04135																							
OG0050751	AENJA_04136																							
OG0050752	AENJA_04139																							
OG0050753	AENJA_04152																							
OG0050754	AENJA_04154																							
OG0050755	AENJA_04155																							
OG0050756	AENJA_04162																							
OG0050757	AENJA_04164																							
OG0050758	AENJA_04183																							
OG0050759	AENJA_04185																							
OG0050760	AENJA_04186																							
OG0050761	AENJA_04187																							
OG0050762	AENJA_04188																							
OG0050763	AENJA_04190																							
OG0050764	AENJA_04197																							
OG0050765	AENJA_04200																							
OG0050766	AENJA_04206																							
OG0050767	AENJA_04210																							
OG0050768	AENJA_04215																							
OG0050769	AENJA_04217																							
OG0050770	AENJA_04240																							
OG0050771	AENJA_04254																							
OG0050772	AENJA_04255																							
OG0050773	AENJA_04272																							
OG0050774	AENJA_04279																							
OG0050775	AENJA_04301																							
OG0050776	AENJA_04306																							
OG0050777	AENJA_04322																							
OG0050778	AENJA_04328																							
OG0050779	AENJA_04335																							
OG0050780	AENJA_04337																							
OG0050781	AENJA_04355																							
OG0050782	AENJA_04380																							
OG0050783	AENJA_04388																							
OG0050784	AENJA_04400																							
OG0050785	AENJA_04403																							
OG0050786	AENJA_04415																							
OG0050787	AENJA_04422																							
OG0050788	AENJA_04425																							
OG0050789	AENJA_04435																							
OG0050790	AENJA_04440																							
OG0050791	AENJA_04441																							
OG0050792	AENJA_04446																							
OG0050793	AENJA_04447																							
OG0050794	AENJA_04462																							
OG0050795	AENJA_04463																							
OG0050796	AENJA_04487																							
OG0050797	AENJA_04489																							
OG0050798	AENJA_04498																							
OG0050799	AENJA_04508																							
OG0050800	AENJA_04516																							
OG0050801	AENJA_04531																							
OG0050802	AENJA_04533																							
OG0050803	AENJA_04557																							
OG0050804	AENJA_04558																							
OG0050805	AENJA_04559																							
OG0050806	AENJA_04561																							
OG0050807	AENJA_04575																							
OG0050808	AENJA_04596																							
OG0050809	AENJA_04597																							
OG0050810	AENJA_04600																							
OG0050811	AENJA_04610																							
OG0050812	AENJA_04637																							
OG0050813	AENJA_04639																							
OG0050814	AENJA_04641																							
OG0050815	AENJA_04671																							
OG0050816	AENJA_04672																							
OG0050817	AENJA_04685																							
OG0050818	AENJA_04693																							
OG0050819	AENJA_04701																							
OG0050820	AENJA_04722																							
OG0050821	AENJA_04729																							
OG0050822	AENJA_04730																							
OG0050823	AENJA_04738																							
OG0050824	AENJA_04746																							
OG0050825	AENJA_04748																							
OG0050826	AENJA_04761																							
OG0050827	AENJA_04768																							
OG0050828	AENJA_04774																							
OG0050829	AENJA_04781																							
OG0050830	AENJA_04795																							
OG0050831	AENJA_04796																							
OG0050832	AENJA_04805																							
OG0050833	AENJA_04807																							
OG0050834	AENJA_04827																							
OG0050835	AENJA_04837																							
OG0050836	AENJA_04841																							
OG0050837	AENJA_04843																							
OG0050838	AENJA_04845																							
OG0050839	AENJA_04849																							
OG0050840	AENJA_04860																							
OG0050841	AENJA_04867																							
OG0050842	AENJA_04870																							
OG0050843	AENJA_04877																							
OG0050844	AENJA_04895																							
OG0050845	AENJA_04903																							
OG0050846	AENJA_04904																							
OG0050847	AENJA_04910																							
OG0050848	AENJA_04912																							
OG0050849	AENJA_04923																							
OG0050850	AENJA_04938																							
OG0050851	AENJA_04946																							
OG0050852	AENJA_04951																							
OG0050853	AENJA_04952																							
OG0050854	AENJA_04954																							
OG0050855	AENJA_04955																							
OG0050856	AENJA_04958																							
OG0050857	AENJA_04969																							
OG0050858	AENJA_04992																							
OG0050859	AENJA_05010																							
OG0050860	AENJA_05012																							
OG0050861	AENJA_05013																							
OG0050862	AENJA_05022																							
OG0050863	AENJA_05028																							
OG0050864	AENJA_05033																							
OG0050865	AENJA_05037																							
OG0050866	AENJA_05038																							
OG0050867	AENJA_05051																							
OG0050868	AENJA_05054																							
OG0050869	AENJA_05060																							
OG0050870	AENJA_05066																							
OG0050871	AENJA_05067																							
OG0050872	AENJA_05078																							
OG0050873	AENJA_05100																							
OG0050874	AENJA_05101																							
OG0050875	AENJA_05107																							
OG0050876	AENJA_05115																							
OG0050877	AENJA_05121																							
OG0050878	AENJA_05125																							
OG0050879	AENJA_05127																							
OG0050880	AENJA_05135																							
OG0050881	AENJA_05138																							
OG0050882	AENJA_05139																							
OG0050883	AENJA_05143																							
OG0050884	AENJA_05146																							
OG0050885	AENJA_05164																							
OG0050886	AENJA_05170																							
OG0050887	AENJA_05173																							
OG0050888	AENJA_05179																							
OG0050889	AENJA_05183																							
OG0050890	AENJA_05188																							
OG0050891	AENJA_05190																							
OG0050892	AENJA_05197																							
OG0050893	AENJA_05200																							
OG0050894	AENJA_05205																							
OG0050895	AENJA_05209																							
OG0050896	AENJA_05210																							
OG0050897	AENJA_05211																							
OG0050898	AENJA_05225																							
OG0050899	AENJA_05249																							
OG0050900	AENJA_05256																							
OG0050901	AENJA_05260																							
OG0050902	AENJA_05273																							
OG0050903	AENJA_05275																							
OG0050904	AENJA_05281																							
OG0050905	AENJA_05291																							
OG0050906	AENJA_05299																							
OG0050907	AENJA_05304																							
OG0050908	AENJA_05310																							
OG0050909	AENJA_05315																							
OG0050910	AENJA_05317																							
OG0050911	AENJA_05333																							
OG0050912	AENJA_05342																							
OG0050913	AENJA_05343																							
OG0050914	AENJA_05344																							
OG0050915	AENJA_05348																							
OG0050916	AENJA_05353																							
OG0050917	AENJA_05364																							
OG0050918	AENJA_05366																							
OG0050919	AENJA_05369																							
OG0050920	AENJA_05375																							
OG0050921	AENJA_05380																							
OG0050922	AENJA_05382																							
OG0050923	AENJA_05387																							
OG0050924	AENJA_05389																							
OG0050925	AENJA_05390																							
OG0050926	AENJA_05408																							
OG0050927	AENJA_05429																							
OG0050928	AENJA_05430																							
OG0050929	AENJA_05434																							
OG0050930	AENJA_05436																							
