Orthogroup	SACKO_ok	DANRE
OG0000020	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625
OG0000020	SACKO_23553, SACKO_23513	DANRE30414
OG0000020	SACKO_16107, SACKO_20105	DANRE27431, DANRE27432, DANRE27433
OG0000020	SACKO_15854	DANRE06741, DANRE06740, DANRE15747
OG0000020	SACKO_20295	DANRE22958, DANRE22959
OG0000020	SACKO_29670	DANRE06663, DANRE06664
OG0000020	SACKO_24638	DANRE18984
OG0000020	SACKO_04828	DANRE27379
OG0000021	SACKO_24549	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	SACKO_32115	DANRE38577, DANRE08977, DANRE08978, DANRE08976
OG0000021	SACKO_15594	DANRE08348, DANRE33679
OG0000021	SACKO_29742	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	SACKO_25838	DANRE37717, DANRE02277
OG0000021	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640	DANRE27401, DANRE27403, DANRE27400
OG0000022	SACKO_01356	DANRE31747, DANRE31746
OG0000023	SACKO_06926	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000026	SACKO_19144	DANRE25537, DANRE36265
OG0000026	SACKO_23233	DANRE42258, DANRE07529
OG0000027	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136	DANRE03471, DANRE22990, DANRE22989, DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009
OG0000027	SACKO_02698	DANRE02909
OG0000028	SACKO_00730, SACKO_00734	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601, DANRE13468, DANRE13469, DANRE13470, DANRE15855, DANRE10772, DANRE17755, DANRE17756, DANRE02083, DANRE07180, DANRE07179, DANRE15853, DANRE35763
OG0000028	SACKO_00054, SACKO_29910	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	SACKO_10012, SACKO_10033	DANRE22154
OG0000029	SACKO_04574	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326
OG0000029	SACKO_15001	DANRE41268, DANRE41269, DANRE26531, DANRE01944
OG0000029	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076	DANRE42782, DANRE35736, DANRE21814, DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154
OG0000030	SACKO_06190, SACKO_06196	DANRE34589, DANRE34588
OG0000030	SACKO_22667, SACKO_24779, SACKO_06416, SACKO_06421	DANRE16388, DANRE16389
OG0000030	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000030	SACKO_26701	DANRE08391
OG0000030	SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032	DANRE03978
OG0000031	SACKO_18621	DANRE41496, DANRE35535, DANRE23155
OG0000031	SACKO_18614	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	SACKO_16512	DANRE26516
OG0000031	SACKO_21501	DANRE11621
OG0000031	SACKO_14417	DANRE20276, DANRE16190, DANRE42316
OG0000031	SACKO_32680	DANRE27399, DANRE21472, DANRE14252
OG0000031	SACKO_14578	DANRE16189, DANRE42315, DANRE15746
OG0000031	SACKO_03088	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000032	SACKO_26058	DANRE24196, DANRE27892, DANRE27891
OG0000032	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037
OG0000032	SACKO_02664	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000034	SACKO_08906	DANRE35041
OG0000034	SACKO_15619	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	SACKO_19192	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	SACKO_16505	DANRE14484, DANRE09880, DANRE38036
OG0000034	SACKO_05860	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	SACKO_20630, SACKO_18516, SACKO_29852	DANRE04100
OG0000034	SACKO_20915	DANRE25182
OG0000035	SACKO_02558	DANRE23313
OG0000035	SACKO_19408	DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654
OG0000035	SACKO_12639	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	SACKO_13246	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	SACKO_16912, SACKO_19307, SACKO_22660	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	SACKO_08422	DANRE38222, DANRE38223, DANRE12948
OG0000036	SACKO_28321	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688	DANRE07186, DANRE30853
OG0000036	SACKO_28315	DANRE11991, DANRE38630
OG0000037	SACKO_22630	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287
OG0000037	SACKO_05171	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383
OG0000037	SACKO_15149	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956	DANRE11315
OG0000038	SACKO_30496	DANRE01550, DANRE01549
OG0000038	SACKO_00016	DANRE23401
OG0000038	SACKO_13897	DANRE41584
OG0000038	SACKO_05258, SACKO_05271	DANRE15348
OG0000039	SACKO_24480	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252
OG0000039	SACKO_16726, SACKO_16701	DANRE38069, DANRE38070
OG0000040	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	SACKO_08282	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000041	SACKO_06515	DANRE36805, DANRE27215, DANRE24076
OG0000043	SACKO_09694	DANRE43265
OG0000044	SACKO_25267	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875
OG0000045	SACKO_11123	DANRE38824
OG0000045	SACKO_32893, SACKO_32938, SACKO_32925	DANRE27285, DANRE27286, DANRE19466
OG0000045	SACKO_19866, SACKO_19846	DANRE05823
OG0000045	SACKO_19354	DANRE28069, DANRE28068
OG0000046	SACKO_04617, SACKO_18448	DANRE15742
OG0000046	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605
OG0000048	SACKO_04413	DANRE33718
OG0000048	SACKO_24161	DANRE19398
OG0000048	SACKO_15652, SACKO_15237, SACKO_15246	DANRE24176, DANRE24175, DANRE27247, DANRE27248, DANRE24174, DANRE24603, DANRE05500
OG0000048	SACKO_12018	DANRE08311, DANRE38354
OG0000048	SACKO_17673	DANRE17556, DANRE05472
OG0000048	SACKO_29639	DANRE26183
OG0000049	SACKO_08936	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	SACKO_25469	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	SACKO_25472	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833
OG0000050	SACKO_30449, SACKO_28664	DANRE32914
OG0000050	SACKO_21879, SACKO_14082, SACKO_12826, SACKO_19173, SACKO_06375, SACKO_10464, SACKO_01876, SACKO_20008	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964
OG0000050	SACKO_24117, SACKO_17648	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000051	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000053	SACKO_03479	DANRE17521
OG0000054	SACKO_17476	DANRE06791, DANRE15743
OG0000054	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221	DANRE09041, DANRE09042
OG0000055	SACKO_06734, SACKO_16034, SACKO_06736, SACKO_22855, SACKO_06730, SACKO_06723, SACKO_22841, SACKO_06754, SACKO_06753, SACKO_10896, SACKO_10914, SACKO_10917, SACKO_10872, SACKO_10884, SACKO_27588, SACKO_10909, SACKO_10921, SACKO_10902, SACKO_27559, SACKO_10916, SACKO_30027	DANRE26046, DANRE37399, DANRE26075
OG0000056	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000056	SACKO_22063, SACKO_13826, SACKO_16845, SACKO_11517, SACKO_05139	DANRE30239
OG0000058	SACKO_23572	DANRE01466, DANRE01467
OG0000059	SACKO_01899	DANRE23878, DANRE23877, DANRE23876
OG0000059	SACKO_18357	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651
OG0000060	SACKO_26044	DANRE15035, DANRE15034, DANRE05268
OG0000060	SACKO_08309	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000061	SACKO_02041	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	SACKO_02073	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315, DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482
OG0000061	SACKO_02064	DANRE26341, DANRE29170
OG0000062	SACKO_15950, SACKO_15963, SACKO_09033	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	SACKO_15645	DANRE18807, DANRE18806
OG0000063	SACKO_12392	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	SACKO_30337	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785
OG0000063	SACKO_21551	DANRE36896
OG0000063	SACKO_15119	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205
OG0000066	SACKO_23403	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910	DANRE05059, DANRE06045, DANRE20513, DANRE39179
OG0000068	SACKO_06365	DANRE39760, DANRE39761, DANRE22550, DANRE22548, DANRE36056, DANRE22549, DANRE22547, DANRE39762, DANRE25132, DANRE31207, DANRE31206, DANRE31205, DANRE41310, DANRE31358, DANRE31357
OG0000068	SACKO_13373, SACKO_07008, SACKO_31433, SACKO_13374, SACKO_13369, SACKO_13372, SACKO_13381	DANRE22551
OG0000069	SACKO_07016, SACKO_15035	DANRE26091
OG0000070	SACKO_18930, SACKO_18932	DANRE18387, DANRE02540
OG0000070	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330
OG0000072	SACKO_25103, SACKO_25111	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517
OG0000072	SACKO_14515	DANRE08497, DANRE06006
OG0000072	SACKO_31517	DANRE05807
OG0000074	SACKO_04859	DANRE30953, DANRE23378
OG0000074	SACKO_00567, SACKO_23013	DANRE17935
OG0000074	SACKO_01565, SACKO_20235, SACKO_20240, SACKO_02109, SACKO_12436, SACKO_31326, SACKO_31311, SACKO_16881, SACKO_29200, SACKO_29259, SACKO_32314, SACKO_29235, SACKO_02421, SACKO_29199, SACKO_29193, SACKO_29237, SACKO_29214, SACKO_02420, SACKO_15509, SACKO_14575, SACKO_14398, SACKO_14464, SACKO_14421, SACKO_26150, SACKO_06386, SACKO_14271, SACKO_08735	DANRE25680
OG0000075	SACKO_07161	DANRE03709, DANRE26359, DANRE26360
