Orthogroup	CAEEL	PFLAV
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	TCONS_00029742.p1
OG0000099	CAEEL07999, CAEEL08340	TCONS_00043496.p1
OG0000099	CAEEL05000, CAEEL01295	TCONS_00001267.p1
OG0000099	CAEEL19098, CAEEL14903	TCONS_00054197.p1, TCONS_00054198.p1, TCONS_00053109.p1
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	TCONS_00057195.p1, TCONS_00017056.p1, TCONS_00055572.p1
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	TCONS_00013856.p1
OG0000103	CAEEL01469, CAEEL18445	TCONS_00012816.p1
OG0000104	CAEEL04070	TCONS_00034216.p1, TCONS_00033864.p1, TCONS_00034214.p1, TCONS_00034215.p1
OG0000104	CAEEL18800	TCONS_00019578.p1, TCONS_00033865.p1, TCONS_00034949.p1, TCONS_00048577.p1
OG0000106	CAEEL19130, CAEEL20701	TCONS_00005363.p1, TCONS_00005368.p1, TCONS_00005371.p1, TCONS_00006166.p1, TCONS_00006147.p1, TCONS_00006167.p1, TCONS_00005362.p1, TCONS_00028113.p1, TCONS_00028100.p1, TCONS_00004865.p1, TCONS_00004840.p1, TCONS_00005364.p1
OG0000110	CAEEL10319, CAEEL17689	TCONS_00010334.p1, TCONS_00011731.p1
OG0000111	CAEEL12675	TCONS_00004470.p1
OG0000111	CAEEL20845	TCONS_00014104.p1, TCONS_00028433.p1, TCONS_00028771.p1, TCONS_00029470.p1, TCONS_00028618.p1, TCONS_00029648.p1, TCONS_00001854.p1, TCONS_00029493.p1, TCONS_00029608.p1, TCONS_00053207.p1, TCONS_00029495.p1, TCONS_00026846.p1, TCONS_00028551.p1, TCONS_00028550.p1, TCONS_00027405.p1, TCONS_00013097.p1, TCONS_00013688.p1
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	TCONS_00027143.p1, TCONS_00027140.p1, TCONS_00027144.p1, TCONS_00027142.p1, TCONS_00027145.p1, TCONS_00054086.p1, TCONS_00054095.p1, TCONS_00052707.p1, TCONS_00048178.p1
OG0000114	CAEEL03306, CAEEL13040	TCONS_00051878.p1, TCONS_00009485.p1
