Orthogroup	CAEEL	ORYLA
OG0000104	CAEEL18800	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226, ORYLA06071, ORYLA03679, ORYLA09408, ORYLA14236, ORYLA14756, ORYLA10856, ORYLA20094
OG0000106	CAEEL19130, CAEEL20701	ORYLA03966, ORYLA04364, ORYLA07953, ORYLA05764, ORYLA14913, ORYLA14914
OG0000111	CAEEL20845	ORYLA16810, ORYLA16333, ORYLA00657, ORYLA18197, ORYLA16684, ORYLA01366, ORYLA07106, ORYLA09236, ORYLA01992, ORYLA04883, ORYLA16219
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	ORYLA17645, ORYLA13433, ORYLA10928, ORYLA14685, ORYLA14684, ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896
OG0000114	CAEEL18136	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000116	CAEEL14875	ORYLA19541
OG0000117	CAEEL20521	ORYLA13153
OG0000119	CAEEL08480	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
OG0000119	CAEEL08396	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654
OG0000120	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	ORYLA14915
OG0000122	CAEEL01544	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000124	CAEEL19897	ORYLA04499, ORYLA01264
OG0000124	CAEEL04963	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000124	CAEEL15384, CAEEL15382	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516
OG0000126	CAEEL08841, CAEEL04611	ORYLA10750, ORYLA01228, ORYLA13510
OG0000126	CAEEL09101	ORYLA09118
OG0000126	CAEEL10194	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802
OG0000127	CAEEL19207	ORYLA09546, ORYLA01017, ORYLA13298
OG0000127	CAEEL20452	ORYLA18247, ORYLA09922
OG0000127	CAEEL00838	ORYLA05476, ORYLA10382
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	ORYLA17289, ORYLA03587
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766
OG0000129	CAEEL12325	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452
OG0000129	CAEEL08188	ORYLA06890
OG0000131	CAEEL08663	ORYLA02651, ORYLA17218
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	ORYLA08009
OG0000137	CAEEL18416, CAEEL11601	ORYLA20491
OG0000137	CAEEL10559	ORYLA11370, ORYLA08706
OG0000142	CAEEL19259	ORYLA08857
OG0000142	CAEEL08844, CAEEL07256, CAEEL07175	ORYLA13949
OG0000147	CAEEL04811	ORYLA06944, ORYLA12833, ORYLA15636
OG0000147	CAEEL18488	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688
OG0000148	CAEEL09804	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171
OG0000149	CAEEL02847	ORYLA17290, ORYLA17651, ORYLA17652
OG0000149	CAEEL15543, CAEEL15991, CAEEL08694	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319
OG0000154	CAEEL02932	ORYLA04056, ORYLA00974
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	ORYLA11669, ORYLA10177, ORYLA11879, ORYLA01962, ORYLA20370
OG0000157	CAEEL00241	ORYLA17521, ORYLA13610, ORYLA10318, ORYLA10319
OG0000157	CAEEL01390	ORYLA12434
OG0000158	CAEEL20117, CAEEL08684	ORYLA13317, ORYLA13316, ORYLA00712, ORYLA06676, ORYLA13319, ORYLA13320, ORYLA06673, ORYLA13322, ORYLA13321, ORYLA02577, ORYLA02576, ORYLA02575, ORYLA13315, ORYLA13314, ORYLA06675, ORYLA06677, ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104
OG0000159	CAEEL19486	ORYLA09075
OG0000159	CAEEL02031	ORYLA02062, ORYLA11501, ORYLA06048
OG0000159	CAEEL05281	ORYLA02590, ORYLA18122, ORYLA08188
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	ORYLA15840, ORYLA02669, ORYLA17886, ORYLA02668, ORYLA17884
OG0000163	CAEEL08313	ORYLA00631, ORYLA16749, ORYLA00152, ORYLA08374, ORYLA16276
OG0000163	CAEEL20194, CAEEL08850	ORYLA08243, ORYLA08244, ORYLA05623, ORYLA01820, ORYLA17166, ORYLA15777
OG0000165	CAEEL07846	ORYLA15304, ORYLA11153, ORYLA12054, ORYLA19673, ORYLA18161, ORYLA12055, ORYLA12173, ORYLA02716, ORYLA17333, ORYLA17334, ORYLA12984, ORYLA01002, ORYLA01003, ORYLA03945, ORYLA07278, ORYLA04321, ORYLA06919, ORYLA09488, ORYLA08771
OG0000167	CAEEL00196	ORYLA11938
OG0000168	CAEEL19018	ORYLA13628, ORYLA02944, ORYLA17507, ORYLA06652, ORYLA13431, ORYLA12906, ORYLA10223, ORYLA07700, ORYLA20030, ORYLA20029, ORYLA03403
OG0000169	CAEEL15798	ORYLA18751
OG0000171	CAEEL11480	ORYLA00507
OG0000173	CAEEL04156	ORYLA05837, ORYLA04181, ORYLA13115, ORYLA06590, ORYLA06914, ORYLA13267, ORYLA20247, ORYLA14500, ORYLA03510, ORYLA06836, ORYLA06833, ORYLA02812, ORYLA09725, ORYLA09722, ORYLA12289, ORYLA14240, ORYLA13837, ORYLA19372, ORYLA02059, ORYLA11932
OG0000174	CAEEL12711	ORYLA18569, ORYLA09218
OG0000174	CAEEL09479	ORYLA19814, ORYLA10779
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	ORYLA13694, ORYLA09065, ORYLA06318
OG0000179	CAEEL13640	ORYLA08077, ORYLA04985, ORYLA02338, ORYLA18117
OG0000179	CAEEL02965, CAEEL06713	ORYLA18062, ORYLA18061, ORYLA14649
OG0000179	CAEEL19466, CAEEL07193	ORYLA20422, ORYLA09852, ORYLA09146
OG0000180	CAEEL03002, CAEEL02981, CAEEL03753	ORYLA17830
OG0000181	CAEEL07684	ORYLA16498, ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335
OG0000181	CAEEL10772	ORYLA19060, ORYLA03346
OG0000181	CAEEL12632	ORYLA11594
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	ORYLA03838, ORYLA03086, ORYLA10707, ORYLA07386, ORYLA05009, ORYLA00092
OG0000183	CAEEL18435	ORYLA03426, ORYLA09404, ORYLA03815
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	ORYLA13442, ORYLA13444, ORYLA13443
OG0000185	CAEEL14200	ORYLA12658, ORYLA02266, ORYLA07574
OG0000188	CAEEL20699	ORYLA02679, ORYLA17741, ORYLA00508
OG0000193	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	ORYLA02650, ORYLA17280, ORYLA18753, ORYLA17279, ORYLA04135, ORYLA19839
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	ORYLA03335, ORYLA10209, ORYLA09317
OG0000197	CAEEL04387	ORYLA01697, ORYLA05763, ORYLA14664, ORYLA12127
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	ORYLA02119, ORYLA10283, ORYLA11398, ORYLA10168, ORYLA05652
OG0000198	CAEEL03057, CAEEL05629, CAEEL09718	ORYLA19780, ORYLA16521
OG0000201	CAEEL07587	ORYLA17554, ORYLA04556, ORYLA03543
OG0000202	CAEEL20283	ORYLA08109, ORYLA18114, ORYLA17987, ORYLA05097, ORYLA08265, ORYLA07710, ORYLA01328, ORYLA04936, ORYLA08130, ORYLA06184
OG0000203	CAEEL09812	ORYLA03787, ORYLA06336, ORYLA13132, ORYLA15645, ORYLA15587, ORYLA01442, ORYLA01434, ORYLA01433, ORYLA06100, ORYLA15574, ORYLA15575
OG0000205	CAEEL13029	ORYLA10735, ORYLA11823, ORYLA04847, ORYLA00096
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	ORYLA08887, ORYLA07906, ORYLA16386, ORYLA08645, ORYLA09823
OG0000207	CAEEL05874, CAEEL00203	ORYLA12926, ORYLA15852, ORYLA20450, ORYLA04172, ORYLA06174, ORYLA15820
OG0000211	CAEEL15290	ORYLA04972
OG0000211	CAEEL01111, CAEEL01112	ORYLA14089
OG0000211	CAEEL02311	ORYLA15118, ORYLA12450
OG0000215	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289	ORYLA04441, ORYLA17376
OG0000218	CAEEL07824, CAEEL20213	ORYLA15885
OG0000220	CAEEL07565, CAEEL08758	ORYLA00491, ORYLA02670, ORYLA08075, ORYLA04983, ORYLA02915
OG0000221	CAEEL10747	ORYLA19844, ORYLA09679, ORYLA09153, ORYLA06716, ORYLA16420, ORYLA20056
OG0000221	CAEEL06648	ORYLA19366, ORYLA06146, ORYLA01810, ORYLA16468
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	ORYLA10962, ORYLA15835, ORYLA13765, ORYLA15534, ORYLA19091, ORYLA15739, ORYLA02794, ORYLA01507
OG0000226	CAEEL12318	ORYLA08515
OG0000227	CAEEL19645	ORYLA01974, ORYLA09705, ORYLA16473, ORYLA07142, ORYLA14920, ORYLA14919, ORYLA08058, ORYLA16479, ORYLA19592, ORYLA07005, ORYLA07006, ORYLA13332
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	ORYLA09298, ORYLA09346
OG0000230	CAEEL14845, CAEEL19792	ORYLA10690
OG0000231	CAEEL08481	ORYLA01387, ORYLA04281, ORYLA19832, ORYLA13508, ORYLA19448, ORYLA09456
OG0000231	CAEEL01724	ORYLA08962
OG0000232	CAEEL18532, CAEEL19887	ORYLA20493
OG0000234	CAEEL02295	ORYLA13000, ORYLA14105, ORYLA12637, ORYLA05772, ORYLA01693
OG0000234	CAEEL03013, CAEEL03014	ORYLA11249, ORYLA14751
OG0000235	CAEEL10795, CAEEL07012	ORYLA14889, ORYLA01167, ORYLA04027, ORYLA10002, ORYLA07335
OG0000236	CAEEL19835	ORYLA12896, ORYLA06350
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	ORYLA07768
OG0000239	CAEEL14926	ORYLA11432, ORYLA10759
OG0000239	CAEEL00570	ORYLA19462, ORYLA07829, ORYLA05627, ORYLA01800
OG0000242	CAEEL05302	ORYLA11284, ORYLA20306, ORYLA07965
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	ORYLA20204, ORYLA11050
OG0000244	CAEEL11789, CAEEL12688	ORYLA15688, ORYLA14426, ORYLA14594, ORYLA19522, ORYLA15434, ORYLA12391, ORYLA01756, ORYLA15173, ORYLA19456, ORYLA08925, ORYLA08923, ORYLA08924
OG0000248	CAEEL17077	ORYLA10227
OG0000249	CAEEL02928	ORYLA12187, ORYLA13559, ORYLA06845, ORYLA17407, ORYLA06062, ORYLA01610
OG0000250	CAEEL11963	ORYLA14962
OG0000250	CAEEL07261	ORYLA16891
OG0000250	CAEEL06732	ORYLA11002
