Orthogroup	CAEEL	NEMVE
OG0000085	CAEEL06909	NEMVE09794, NEMVE03205
OG0000085	CAEEL07542	NEMVE07289
OG0000085	CAEEL03085	NEMVE07695
OG0000085	CAEEL08077	NEMVE18682, NEMVE18681
OG0000087	CAEEL16056	NEMVE21432
OG0000090	CAEEL18451	NEMVE05578
OG0000090	CAEEL10114	NEMVE17842, NEMVE05443, NEMVE06965, NEMVE20562, NEMVE13136, NEMVE02406, NEMVE14267, NEMVE21539, NEMVE17016, NEMVE10232, NEMVE24660, NEMVE20728, NEMVE17837, NEMVE23372
OG0000091	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359, CAEEL05045	NEMVE05463, NEMVE05476, NEMVE13252
OG0000094	CAEEL10719	NEMVE05621
OG0000094	CAEEL18425	NEMVE03407, NEMVE03409, NEMVE03406
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	NEMVE15802, NEMVE10556, NEMVE02903, NEMVE22347, NEMVE15792, NEMVE05620, NEMVE06820, NEMVE05611
OG0000096	CAEEL16555	NEMVE15121
OG0000096	CAEEL11088	NEMVE14782
OG0000096	CAEEL08533	NEMVE22574
OG0000096	CAEEL11776	NEMVE25573
OG0000096	CAEEL06051, CAEEL07422	NEMVE14773
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	NEMVE07244, NEMVE05378
OG0000099	CAEEL19098, CAEEL14903	NEMVE07525, NEMVE20970
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	NEMVE18515
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	NEMVE06305
OG0000103	CAEEL01469, CAEEL18445	NEMVE09043
OG0000104	CAEEL04070	NEMVE07990
OG0000104	CAEEL18800	NEMVE01265, NEMVE11212, NEMVE18020, NEMVE01905, NEMVE06744, NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126
OG0000106	CAEEL19130, CAEEL20701	NEMVE13923, NEMVE09138, NEMVE09430, NEMVE20448, NEMVE05915, NEMVE16024
OG0000110	CAEEL10319, CAEEL17689	NEMVE13920, NEMVE12399
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	NEMVE21021, NEMVE14510
OG0000114	CAEEL03306, CAEEL13040	NEMVE07046, NEMVE14943
OG0000114	CAEEL15245, CAEEL11468	NEMVE20958
OG0000115	CAEEL05577	NEMVE17903
OG0000117	CAEEL20521	NEMVE21138
OG0000117	CAEEL08400	NEMVE03818
OG0000119	CAEEL08480	NEMVE22896
OG0000120	CAEEL10779, CAEEL14431	NEMVE03389
OG0000120	CAEEL15157	NEMVE03379
OG0000120	CAEEL10840	NEMVE01429
OG0000121	CAEEL06288, CAEEL12116	NEMVE08130, NEMVE14214
OG0000124	CAEEL12548, CAEEL09889	NEMVE14026
OG0000124	CAEEL04963	NEMVE14854
OG0000124	CAEEL15384, CAEEL15382	NEMVE13714
OG0000126	CAEEL08841, CAEEL04611	NEMVE07689
OG0000126	CAEEL09101	NEMVE00909
OG0000126	CAEEL10194	NEMVE02955
OG0000127	CAEEL19207	NEMVE24353
OG0000127	CAEEL20452	NEMVE22473
OG0000127	CAEEL00838	NEMVE10526
OG0000127	CAEEL18545	NEMVE06422, NEMVE00274, NEMVE08437
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	NEMVE15459, NEMVE24455
OG0000129	CAEEL12325	NEMVE14958
OG0000131	CAEEL08663	NEMVE07984, NEMVE05410
OG0000131	CAEEL07634	NEMVE20141
OG0000132	CAEEL16523	NEMVE01902
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916
OG0000137	CAEEL18416, CAEEL11601, CAEEL10559	NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935
OG0000142	CAEEL15831	NEMVE13476
OG0000147	CAEEL04811	NEMVE01930
OG0000147	CAEEL18488	NEMVE13815
OG0000148	CAEEL09804, CAEEL04213, CAEEL12387, CAEEL10870	NEMVE23582, NEMVE05630
OG0000149	CAEEL02847	NEMVE02950, NEMVE00060, NEMVE07321
OG0000149	CAEEL08694	NEMVE21291
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	NEMVE19500, NEMVE11462, NEMVE00815, NEMVE08895
OG0000157	CAEEL00241	NEMVE24250
OG0000157	CAEEL01390	NEMVE22690
OG0000158	CAEEL20117, CAEEL08684	NEMVE19203, NEMVE24928
OG0000159	CAEEL19486	NEMVE15043, NEMVE07490, NEMVE20974, NEMVE03468, NEMVE06600
OG0000159	CAEEL09124	NEMVE06171
OG0000159	CAEEL05281	NEMVE15373, NEMVE08424, NEMVE15992, NEMVE05165, NEMVE03182, NEMVE02495, NEMVE09227, NEMVE08562
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	NEMVE02932, NEMVE13008, NEMVE08785, NEMVE13435, NEMVE07078, NEMVE05120, NEMVE14840, NEMVE11396, NEMVE00322, NEMVE10352, NEMVE08354, NEMVE16396
OG0000163	CAEEL08313	NEMVE23040, NEMVE12529, NEMVE24450
OG0000163	CAEEL20194, CAEEL08850	NEMVE12704, NEMVE13131
OG0000164	CAEEL05391, CAEEL18768	NEMVE17994
