Orthogroup	CAEEL	SCHMD
OG0000051	CAEEL06290, CAEEL06567, CAEEL16967, CAEEL06566, CAEEL13114, CAEEL06291, CAEEL11393, CAEEL11392, CAEEL11394, CAEEL06558, CAEEL06559, CAEEL06560, CAEEL06565, CAEEL06563, CAEEL13156, CAEEL06562, CAEEL06561, CAEEL06297, CAEEL06296, CAEEL06294, CAEEL06295, CAEEL06293, CAEEL06292, CAEEL06289, CAEEL05347, CAEEL13599, CAEEL04240, CAEEL04251, CAEEL04236, CAEEL04237, CAEEL16848, CAEEL05769, CAEEL04235, CAEEL19606, CAEEL18565	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000055	CAEEL14858	SCHMD14415, SCHMD22203, SCHMD17892, SCHMD29195
OG0000058	CAEEL06550	SCHMD04270
OG0000058	CAEEL09297	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402
OG0000059	CAEEL08332	SCHMD27096
OG0000060	CAEEL20841	SCHMD28975
OG0000060	CAEEL08516	SCHMD16998
OG0000060	CAEEL08749, CAEEL08751, CAEEL08470	SCHMD17292
OG0000061	CAEEL08422	SCHMD24930
OG0000062	CAEEL02955	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	CAEEL05773	SCHMD04855
OG0000063	CAEEL11408	SCHMD09653
OG0000065	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	CAEEL20109	SCHMD06030, SCHMD05807, SCHMD11629, SCHMD22506
OG0000068	CAEEL06439	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	CAEEL06233	SCHMD11437
OG0000070	CAEEL02606	SCHMD06745
OG0000070	CAEEL07192	SCHMD27266, SCHMD15308
OG0000070	CAEEL19861	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	SCHMD08674, SCHMD04226
OG0000072	CAEEL07368	SCHMD10090
OG0000072	CAEEL09391, CAEEL08125	SCHMD10043, SCHMD09884, SCHMD25260, SCHMD20325, SCHMD10751
OG0000072	CAEEL07082	SCHMD12761, SCHMD09137, SCHMD23032, SCHMD13441
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	SCHMD13212, SCHMD07291, SCHMD22957
OG0000075	CAEEL11367	SCHMD21424
OG0000077	CAEEL01559	SCHMD17571
OG0000077	CAEEL18189	SCHMD27295
OG0000077	CAEEL18776, CAEEL19129	SCHMD10331, SCHMD20020
OG0000077	CAEEL18883	SCHMD23576
OG0000077	CAEEL06904	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	CAEEL18420	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000077	CAEEL20549, CAEEL20548	SCHMD15208, SCHMD02698, SCHMD27373
OG0000079	CAEEL18822, CAEEL09849	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	CAEEL10489	SCHMD16559, SCHMD24052, SCHMD18199
OG0000082	CAEEL18954, CAEEL04897	SCHMD05824, SCHMD03263, SCHMD10119
OG0000082	CAEEL12687	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	SCHMD03363
OG0000084	CAEEL19682, CAEEL11723, CAEEL19532, CAEEL12802, CAEEL16493, CAEEL20091, CAEEL20155, CAEEL18755	SCHMD21815, SCHMD19883, SCHMD02823, SCHMD10292, SCHMD19762
OG0000084	CAEEL10610, CAEEL18185	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	CAEEL10989	SCHMD28183, SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000084	CAEEL20634	SCHMD21106
OG0000085	CAEEL07542	SCHMD12836
OG0000085	CAEEL03085	SCHMD12466
OG0000085	CAEEL08077	SCHMD18327
OG0000087	CAEEL16056	SCHMD25814
OG0000090	CAEEL10114	SCHMD17599, SCHMD20160, SCHMD06769
OG0000094	CAEEL10719	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	CAEEL18425	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761
OG0000096	CAEEL11088	SCHMD07753
OG0000096	CAEEL06051, CAEEL07422	SCHMD10033
OG0000098	CAEEL01602	SCHMD20591, SCHMD11947, SCHMD19086, SCHMD11199, SCHMD08311
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	SCHMD29644, SCHMD22119
OG0000099	CAEEL07999, CAEEL08340	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	CAEEL05000, CAEEL01295	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000099	CAEEL19098, CAEEL14903	SCHMD14698, SCHMD05542
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	SCHMD29081, SCHMD19673
OG0000103	CAEEL01469, CAEEL18445	SCHMD08147
OG0000104	CAEEL18800	SCHMD06960, SCHMD11618
OG0000106	CAEEL00505, CAEEL20256, CAEEL19130, CAEEL20701	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	CAEEL18731	SCHMD06031
OG0000110	CAEEL15167	SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056
OG0000110	CAEEL10319, CAEEL17689	SCHMD11887
OG0000111	CAEEL12675	SCHMD18184, SCHMD22856, SCHMD10726, SCHMD13982
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	SCHMD06629, SCHMD02664
OG0000114	CAEEL18136	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000114	CAEEL15245, CAEEL11468	SCHMD28859
OG0000117	CAEEL06492	SCHMD02591
OG0000117	CAEEL07433	SCHMD07660, SCHMD02896, SCHMD11493
OG0000119	CAEEL08480, CAEEL08396	SCHMD02911
OG0000120	CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	SCHMD07084
OG0000120	CAEEL10779, CAEEL14431	SCHMD09518
OG0000120	CAEEL10840	SCHMD11870
OG0000122	CAEEL01544	SCHMD00543, SCHMD16641, SCHMD09849
OG0000124	CAEEL19897, CAEEL12548, CAEEL09889	SCHMD10270, SCHMD10271
OG0000124	CAEEL04963	SCHMD08774
OG0000126	CAEEL08841, CAEEL04611	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	CAEEL09101	SCHMD01813, SCHMD04253
OG0000127	CAEEL20452	SCHMD03781
OG0000127	CAEEL18545	SCHMD07478
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	SCHMD25789, SCHMD19594
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	SCHMD20816
OG0000129	CAEEL12325	SCHMD03224
OG0000129	CAEEL08188	SCHMD27382
OG0000137	CAEEL18416, CAEEL11601	SCHMD04306
OG0000137	CAEEL10559	SCHMD09558
OG0000137	CAEEL15802, CAEEL15801	SCHMD29744
OG0000140	CAEEL04513	SCHMD01677
OG0000141	CAEEL09688	SCHMD05764
OG0000142	CAEEL15831	SCHMD07405, SCHMD02973, SCHMD14341
OG0000147	CAEEL04811	SCHMD11019
OG0000147	CAEEL18488	SCHMD11968
OG0000148	CAEEL04213	SCHMD08055
OG0000149	CAEEL08694	SCHMD05440
OG0000153	CAEEL16188	SCHMD18559
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	SCHMD05383, SCHMD06593, SCHMD10992, SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000157	CAEEL00241	SCHMD03548, SCHMD06363
OG0000157	CAEEL01390	SCHMD01802
OG0000158	CAEEL20117, CAEEL08684	SCHMD18936
OG0000158	CAEEL18551, CAEEL18550, CAEEL18549	SCHMD04352
OG0000158	CAEEL06141	SCHMD15100, SCHMD15049
OG0000159	CAEEL19486	SCHMD26601, SCHMD09606
OG0000159	CAEEL02031, CAEEL05281	SCHMD14942
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000163	CAEEL08313	SCHMD23090
OG0000163	CAEEL20194, CAEEL08850	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000168	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482	SCHMD19556
OG0000168	CAEEL19018	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401
OG0000169	CAEEL15798	SCHMD00386
OG0000173	CAEEL04156	SCHMD19853, SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093, SCHMD19854, SCHMD17711
OG0000174	CAEEL09479	SCHMD09838
OG0000175	CAEEL19241, CAEEL15650, CAEEL01525, CAEEL01870	SCHMD18439, SCHMD17544
OG0000179	CAEEL13640	SCHMD11075
OG0000179	CAEEL02965, CAEEL06713	SCHMD01320
OG0000180	CAEEL06539	SCHMD20813
OG0000181	CAEEL07684	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	CAEEL10772	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328, SCHMD20053, SCHMD26119
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	SCHMD22220, SCHMD21103, SCHMD28756
OG0000183	CAEEL18435	SCHMD12130, SCHMD10333
OG0000186	CAEEL00795, CAEEL05654	SCHMD22114, SCHMD12081
OG0000186	CAEEL13010	SCHMD01519, SCHMD14176, SCHMD06313
OG0000191	CAEEL14244	SCHMD17093, SCHMD17148
OG0000191	CAEEL13368, CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922
OG0000192	CAEEL00285	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000193	CAEEL18944	SCHMD03682, SCHMD08341
OG0000193	CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985	SCHMD22652, SCHMD22559
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	SCHMD11912, SCHMD12565
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	SCHMD06771
OG0000195	CAEEL16482, CAEEL10039, CAEEL10038, CAEEL10040, CAEEL02220, CAEEL16481	SCHMD25501
