Orthogroup	CAEEL	BRALA
OG0000202	CAEEL09165	BRALA31828
OG0000203	CAEEL09812	BRALA25872, BRALA05551, BRALA14396, BRALA14391, BRALA25871, BRALA14399
OG0000205	CAEEL13029	BRALA21195
OG0000207	CAEEL05874, CAEEL00203	BRALA03383
OG0000208	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722	BRALA34651
OG0000209	CAEEL07432	BRALA15739, BRALA18078, BRALA21897
OG0000210	CAEEL19469	BRALA05812
OG0000211	CAEEL02936	BRALA25506
OG0000211	CAEEL15290	BRALA35905
OG0000211	CAEEL01111, CAEEL01112	BRALA33365
OG0000211	CAEEL02311	BRALA13475, BRALA13474
OG0000218	CAEEL07824, CAEEL20213	BRALA17567, BRALA27085, BRALA27089, BRALA27086, BRALA12470, BRALA10611, BRALA12469, BRALA27090, BRALA27088, BRALA18542, BRALA27087, BRALA11952, BRALA11951, BRALA00320
OG0000218	CAEEL19795	BRALA04451, BRALA29590
OG0000221	CAEEL10747	BRALA04793, BRALA07381, BRALA07380
OG0000221	CAEEL06648	BRALA10634
OG0000223	CAEEL01621, CAEEL00892	BRALA11482, BRALA12163
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	BRALA20442, BRALA20435
OG0000226	CAEEL12318	BRALA31446, BRALA01942
OG0000226	CAEEL10068, CAEEL15041	BRALA24234, BRALA31118, BRALA21113, BRALA21112, BRALA31079, BRALA29759, BRALA31078
OG0000227	CAEEL19645	BRALA04968, BRALA04952, BRALA04966, BRALA04957
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	BRALA13906, BRALA25954, BRALA01663, BRALA28141, BRALA05173, BRALA05177, BRALA05176, BRALA00883, BRALA00726, BRALA13406, BRALA22316, BRALA01806, BRALA10794, BRALA01662, BRALA25953, BRALA25949
OG0000230	CAEEL14845, CAEEL19792	BRALA01549
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	BRALA03506, BRALA03504, BRALA03490, BRALA33964, BRALA33988, BRALA17763, BRALA32045
OG0000231	CAEEL08481	BRALA20193
OG0000231	CAEEL01724	BRALA20465
OG0000232	CAEEL18532, CAEEL19887	BRALA34925, BRALA00968
OG0000234	CAEEL02295	BRALA04116
OG0000234	CAEEL03013, CAEEL03014	BRALA02072
OG0000235	CAEEL10795, CAEEL07012	BRALA31040, BRALA14681, BRALA20084, BRALA35274, BRALA16264, BRALA14680, BRALA27376, BRALA12557, BRALA12556, BRALA24060, BRALA24059, BRALA24061, BRALA32227, BRALA23923, BRALA11596, BRALA35338, BRALA24068, BRALA24058, BRALA24057, BRALA24055, BRALA24056, BRALA24065, BRALA32148, BRALA11597, BRALA04385
OG0000236	CAEEL19835	BRALA25217
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	BRALA11216, BRALA11218, BRALA11219, BRALA11217
OG0000239	CAEEL14926	BRALA30155, BRALA34063
OG0000242	CAEEL05291	BRALA18838
OG0000242	CAEEL05302	BRALA02156, BRALA08925
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	BRALA11080, BRALA10999
OG0000244	CAEEL11789, CAEEL12688	BRALA12481, BRALA28034, BRALA16560
OG0000245	CAEEL20391	BRALA06244
OG0000248	CAEEL17077	BRALA30267, BRALA30265, BRALA30263, BRALA30268, BRALA30271, BRALA30270, BRALA12363, BRALA12308, BRALA16095, BRALA27868
OG0000249	CAEEL00206	BRALA08511
OG0000250	CAEEL07261	BRALA11863
OG0000250	CAEEL04698	BRALA06695
OG0000250	CAEEL06732	BRALA09013, BRALA35677
OG0000251	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207	BRALA09788, BRALA09787
OG0000255	CAEEL05168	BRALA00871, BRALA11731, BRALA31615
OG0000255	CAEEL05715	BRALA02467, BRALA20756, BRALA08872, BRALA09849, BRALA09857, BRALA27836
OG0000256	CAEEL11937, CAEEL19468	BRALA10199
OG0000257	CAEEL01910, CAEEL15386	BRALA18496
OG0000258	CAEEL19537	BRALA13021
OG0000258	CAEEL09342	BRALA20081
OG0000258	CAEEL15770	BRALA24991
OG0000260	CAEEL11482	BRALA15356, BRALA16338
OG0000261	CAEEL20767	BRALA27354, BRALA31257
OG0000265	CAEEL20581	BRALA18329
OG0000265	CAEEL10364	BRALA12823
OG0000266	CAEEL02706	BRALA01785
OG0000268	CAEEL09209	BRALA01933
OG0000268	CAEEL08164	BRALA32039
