Orthogroup	CAEEL	APOSC_ok
OG0000068	CAEEL06439	APOSC_04447, APOSC_04446, APOSC_11083, APOSC_11080, APOSC_11082, APOSC_20989, APOSC_25395, APOSC_02568
OG0000069	CAEEL14766	APOSC_25357, APOSC_25356
OG0000069	CAEEL19293	APOSC_09914, APOSC_04180, APOSC_28736
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	APOSC_11021
OG0000070	CAEEL19861	APOSC_23675
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	APOSC_00250
OG0000072	CAEEL07368	APOSC_14045
OG0000073	CAEEL07620	APOSC_07375, APOSC_28527
OG0000075	CAEEL03008	APOSC_12033
OG0000075	CAEEL11367	APOSC_08706
OG0000075	CAEEL11291	APOSC_20859, APOSC_19754
OG0000077	CAEEL01559	APOSC_15032
OG0000077	CAEEL06904	APOSC_19689
OG0000077	CAEEL18420	APOSC_21239
OG0000079	CAEEL18822, CAEEL09849	APOSC_14016, APOSC_18637, APOSC_09201
OG0000079	CAEEL10489	APOSC_14696
OG0000079	CAEEL07248	APOSC_10552, APOSC_10551
OG0000082	CAEEL18954, CAEEL04897	APOSC_14161
OG0000082	CAEEL13927	APOSC_20096
OG0000082	CAEEL12687	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	APOSC_04906, APOSC_05380, APOSC_05381
OG0000084	CAEEL10610, CAEEL18185	APOSC_25447
OG0000084	CAEEL10989	APOSC_11978, APOSC_20094
OG0000085	CAEEL06909	APOSC_13201
OG0000085	CAEEL07542	APOSC_00722
OG0000085	CAEEL03085	APOSC_00825
OG0000085	CAEEL08077	APOSC_21002
OG0000090	CAEEL18451	APOSC_26110
OG0000090	CAEEL10114	APOSC_13932, APOSC_15022, APOSC_05442, APOSC_12792, APOSC_14834, APOSC_03327, APOSC_05480, APOSC_23845, APOSC_00523, APOSC_03937
OG0000094	CAEEL10719	APOSC_02606, APOSC_02607, APOSC_24152
OG0000094	CAEEL18425	APOSC_21896, APOSC_21895
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	APOSC_15000, APOSC_11760, APOSC_06417, APOSC_17239, APOSC_19404, APOSC_13013, APOSC_05229, APOSC_05033, APOSC_14575, APOSC_16159, APOSC_18748, APOSC_18747
OG0000096	CAEEL16555	APOSC_05085
OG0000096	CAEEL11088	APOSC_03162
OG0000096	CAEEL08533	APOSC_25015
OG0000096	CAEEL11776	APOSC_16859
OG0000096	CAEEL06051	APOSC_21738
OG0000096	CAEEL07422	APOSC_21519
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	APOSC_27629, APOSC_10815
OG0000099	CAEEL07999, CAEEL08340	APOSC_25391, APOSC_06951
OG0000099	CAEEL05000, CAEEL01295	APOSC_01352, APOSC_23267
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	APOSC_25079, APOSC_09250
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	APOSC_08194
OG0000103	CAEEL01469, CAEEL18445	APOSC_19265
OG0000104	CAEEL04070	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084
OG0000104	CAEEL18800	APOSC_11443, APOSC_11444, APOSC_11442, APOSC_16135, APOSC_04087, APOSC_04088, APOSC_13374
OG0000106	CAEEL19130, CAEEL20701	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863
OG0000107	CAEEL16896	APOSC_21347
OG0000110	CAEEL10319, CAEEL17689	APOSC_15633, APOSC_20613, APOSC_13751
OG0000111	CAEEL20845	APOSC_16477, APOSC_00783, APOSC_25506
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	APOSC_22087, APOSC_26451
OG0000114	CAEEL03306, CAEEL13040	APOSC_19632
OG0000114	CAEEL18136	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416
OG0000116	CAEEL14875	APOSC_28097, APOSC_09224
OG0000117	CAEEL07433	APOSC_01933
OG0000119	CAEEL08480	APOSC_11483
OG0000119	CAEEL08396	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102
OG0000120	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	APOSC_04315
OG0000122	CAEEL01544	APOSC_11178, APOSC_05959
OG0000124	CAEEL19897	APOSC_29022
OG0000124	CAEEL12548, CAEEL09889	APOSC_05277
OG0000124	CAEEL04963	APOSC_03695
OG0000124	CAEEL15384, CAEEL15382	APOSC_09834
OG0000125	CAEEL19671	APOSC_23201, APOSC_16306, APOSC_27003, APOSC_23884, APOSC_27002
OG0000126	CAEEL09101	APOSC_21117
OG0000126	CAEEL10194	APOSC_28093
OG0000127	CAEEL19207	APOSC_24103
OG0000127	CAEEL20452	APOSC_09690
OG0000127	CAEEL00838	APOSC_02788
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	APOSC_01674, APOSC_22700, APOSC_06337, APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380, APOSC_16568, APOSC_16647, APOSC_16648, APOSC_09785
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	APOSC_12123
OG0000129	CAEEL12325	APOSC_21068
OG0000131	CAEEL08663	APOSC_21472, APOSC_03272, APOSC_06150
OG0000131	CAEEL07634	APOSC_07777
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776
OG0000137	CAEEL10559	APOSC_01981, APOSC_01895, APOSC_21797
OG0000140	CAEEL04513	APOSC_13035
OG0000147	CAEEL04811	APOSC_05531, APOSC_20902
OG0000147	CAEEL18488	APOSC_16682
OG0000148	CAEEL09804	APOSC_14879, APOSC_14878
OG0000148	CAEEL04213	APOSC_25505, APOSC_02226
OG0000148	CAEEL12387, CAEEL10870	APOSC_27225, APOSC_07145
OG0000149	CAEEL02847	APOSC_17921, APOSC_17920, APOSC_17820
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	APOSC_09923, APOSC_09921, APOSC_09922
OG0000157	CAEEL00241	APOSC_02266
OG0000157	CAEEL01390	APOSC_27261
OG0000158	CAEEL20117, CAEEL08684	APOSC_22004
OG0000158	CAEEL06141	APOSC_02468
OG0000159	CAEEL19486	APOSC_05622
OG0000159	CAEEL02031	APOSC_25144
OG0000159	CAEEL05281	APOSC_27680
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	APOSC_01085, APOSC_17800
OG0000163	CAEEL08313	APOSC_26564, APOSC_17645
OG0000163	CAEEL20194, CAEEL08850	APOSC_20618
OG0000164	CAEEL09304	APOSC_25458
OG0000165	CAEEL07846	APOSC_28761
OG0000167	CAEEL02846	APOSC_04566, APOSC_04565
OG0000168	CAEEL19018	APOSC_27887, APOSC_13167, APOSC_07254, APOSC_08432, APOSC_07255
OG0000169	CAEEL15798	APOSC_05319
OG0000171	CAEEL11480	APOSC_01598
OG0000172	CAEEL04412	APOSC_02167
OG0000173	CAEEL04156	APOSC_10054, APOSC_10053, APOSC_10055
OG0000174	CAEEL12711	APOSC_21578, APOSC_07934, APOSC_01234, APOSC_10955, APOSC_03912, APOSC_03913
OG0000175	CAEEL19241	APOSC_27959, APOSC_10607
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816
OG0000179	CAEEL13640	APOSC_21690, APOSC_12111, APOSC_21863, APOSC_17377, APOSC_21864
OG0000179	CAEEL02965, CAEEL06713	APOSC_01350
OG0000179	CAEEL16607, CAEEL16605, CAEEL09314, CAEEL16384	APOSC_25599, APOSC_26324
OG0000179	CAEEL19466, CAEEL07193	APOSC_01246
OG0000180	CAEEL06539	APOSC_05039
OG0000181	CAEEL10858	APOSC_01446, APOSC_07714
OG0000181	CAEEL10772	APOSC_21154, APOSC_23852
OG0000181	CAEEL12632	APOSC_04711
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	APOSC_14059, APOSC_14061, APOSC_14060
OG0000183	CAEEL18435	APOSC_02686, APOSC_08693, APOSC_25503
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	APOSC_16994, APOSC_24858, APOSC_05158
OG0000185	CAEEL14200	APOSC_15583, APOSC_15582
OG0000185	CAEEL14122	APOSC_24326
OG0000186	CAEEL18013	APOSC_28113, APOSC_05570
OG0000186	CAEEL13010	APOSC_09256
OG0000188	CAEEL20699	APOSC_13702
OG0000192	CAEEL00285	APOSC_13284
OG0000193	CAEEL09482, CAEEL14826	APOSC_02060
OG0000193	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	APOSC_04930
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	APOSC_23755
OG0000195	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312	APOSC_17248, APOSC_07635, APOSC_25597, APOSC_05403, APOSC_26673, APOSC_09319, APOSC_28768
OG0000197	CAEEL04387	APOSC_04368, APOSC_08761
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	APOSC_01929
OG0000200	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152	APOSC_22552
OG0000201	CAEEL07587	APOSC_24036
OG0000202	CAEEL20283	APOSC_27982, APOSC_06419
OG0000203	CAEEL09812	APOSC_04458, APOSC_04459, APOSC_05921, APOSC_26559
OG0000205	CAEEL13029	APOSC_28253, APOSC_04935
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	APOSC_19060, APOSC_17853
OG0000207	CAEEL05874, CAEEL00203	APOSC_21181, APOSC_21969, APOSC_12332
OG0000209	CAEEL07432	APOSC_19505
OG0000210	CAEEL19469	APOSC_11707
OG0000211	CAEEL15290	APOSC_15302
OG0000211	CAEEL02311	APOSC_11394, APOSC_11393
OG0000215	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289	APOSC_21728, APOSC_28864, APOSC_28443, APOSC_20327, APOSC_20078, APOSC_21643, APOSC_28418, APOSC_16074, APOSC_04161, APOSC_17247
OG0000218	CAEEL07824, CAEEL20213	APOSC_25955, APOSC_07899, APOSC_15398, APOSC_28536, APOSC_15666, APOSC_28102, APOSC_02595, APOSC_03663, APOSC_06119, APOSC_06118
OG0000221	CAEEL10747	APOSC_16263
OG0000223	CAEEL01621, CAEEL00892	APOSC_13895
OG0000225	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109
OG0000226	CAEEL12318	APOSC_01170, APOSC_23826, APOSC_10383, APOSC_17762, APOSC_04918, APOSC_07323, APOSC_02474
OG0000227	CAEEL19645	APOSC_28503, APOSC_12980, APOSC_05191, APOSC_01281, APOSC_13947
OG0000229	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478	APOSC_25375, APOSC_24814, APOSC_12350, APOSC_16701, APOSC_14149, APOSC_22408, APOSC_21651, APOSC_15293, APOSC_09519, APOSC_02374
OG0000230	CAEEL14845, CAEEL19792	APOSC_01215, APOSC_01213
OG0000230	CAEEL16226, CAEEL13679, CAEEL03009, CAEEL10796, CAEEL05825	APOSC_06712, APOSC_26272, APOSC_14213, APOSC_14212, APOSC_08307, APOSC_05636, APOSC_13314, APOSC_16355, APOSC_16356, APOSC_07355
OG0000230	CAEEL13030	APOSC_01214
OG0000231	CAEEL08481	APOSC_23746
OG0000231	CAEEL01724	APOSC_06034
OG0000232	CAEEL18532, CAEEL19887	APOSC_03253, APOSC_19277
OG0000233	CAEEL19660, CAEEL15634	APOSC_20492, APOSC_20491, APOSC_08594, APOSC_20493
OG0000234	CAEEL02295	APOSC_09141, APOSC_09142
OG0000235	CAEEL10795, CAEEL07012	APOSC_09954, APOSC_14007, APOSC_05733, APOSC_17704, APOSC_05734, APOSC_09538
OG0000236	CAEEL19835	APOSC_18403
OG0000238	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387	APOSC_11219
OG0000238	CAEEL15431	APOSC_20889
OG0000239	CAEEL14926	APOSC_24359, APOSC_24358
OG0000239	CAEEL00570	APOSC_04749, APOSC_04748, APOSC_04747
OG0000242	CAEEL05302	APOSC_16970, APOSC_16971, APOSC_15793
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	APOSC_24338
OG0000244	CAEEL11789, CAEEL12688	APOSC_19143, APOSC_10917, APOSC_19144, APOSC_27515
OG0000245	CAEEL20391	APOSC_24749
OG0000249	CAEEL00206	APOSC_27309, APOSC_27310, APOSC_27307, APOSC_27308
OG0000250	CAEEL11963	APOSC_27451
OG0000250	CAEEL07261	APOSC_09132
OG0000250	CAEEL04698	APOSC_03832
OG0000250	CAEEL06732	APOSC_25705
OG0000251	CAEEL03667	APOSC_00515
OG0000251	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207	APOSC_07566
OG0000255	CAEEL05168	APOSC_00435
OG0000255	CAEEL05715	APOSC_25370, APOSC_25369, APOSC_04436, APOSC_05899
OG0000256	CAEEL11937, CAEEL19468	APOSC_10246
OG0000257	CAEEL01910, CAEEL15386	APOSC_04351
OG0000258	CAEEL19537	APOSC_06996
OG0000258	CAEEL09342	APOSC_15815
OG0000258	CAEEL15770	APOSC_03499, APOSC_03498
OG0000260	CAEEL11482	APOSC_16649, APOSC_19872, APOSC_16650
OG0000261	CAEEL20767	APOSC_25025
OG0000265	CAEEL20581	APOSC_09241
OG0000265	CAEEL10364	APOSC_08586
OG0000268	CAEEL08164	APOSC_11531
OG0000271	CAEEL07236	APOSC_22134, APOSC_20500, APOSC_20499, APOSC_09034, APOSC_17153, APOSC_17154, APOSC_00586
OG0000272	CAEEL11804, CAEEL19905	APOSC_08495, APOSC_11181, APOSC_11180
OG0000273	CAEEL18644	APOSC_08345
OG0000273	CAEEL20077	APOSC_21319, APOSC_14604
OG0000275	CAEEL14783	APOSC_04862, APOSC_10305, APOSC_10306
OG0000275	CAEEL11381, CAEEL10050	APOSC_01987
OG0000277	CAEEL07730, CAEEL07729	APOSC_02311
OG0000277	CAEEL11066	APOSC_25568, APOSC_09509, APOSC_02219, APOSC_09507, APOSC_28785, APOSC_09508, APOSC_28781, APOSC_28786, APOSC_28782, APOSC_28783
OG0000278	CAEEL07740	APOSC_09086
OG0000278	CAEEL09180	APOSC_04559, APOSC_08877, APOSC_00087, APOSC_12407
OG0000278	CAEEL07099	APOSC_09423
OG0000280	CAEEL09702	APOSC_03992
OG0000282	CAEEL11864	APOSC_17576, APOSC_17574, APOSC_17573, APOSC_18715, APOSC_17575, APOSC_26306, APOSC_25877, APOSC_02484, APOSC_07889
OG0000284	CAEEL18846	APOSC_08790, APOSC_20570, APOSC_16476, APOSC_24928, APOSC_16455
OG0000285	CAEEL14297, CAEEL16730	APOSC_12091, APOSC_04006, APOSC_04005, APOSC_21541, APOSC_24563
OG0000287	CAEEL18837	APOSC_09187, APOSC_09188
OG0000295	CAEEL04248, CAEEL10950	APOSC_20995, APOSC_16630, APOSC_16753, APOSC_10930, APOSC_14533, APOSC_03427, APOSC_18908, APOSC_16631
OG0000296	CAEEL14675	APOSC_11176
OG0000301	CAEEL11399	APOSC_09425
OG0000301	CAEEL18767	APOSC_18104
OG0000302	CAEEL08099	APOSC_23935
OG0000305	CAEEL19499	APOSC_10995
OG0000305	CAEEL15162, CAEEL10872, CAEEL15163	APOSC_03005, APOSC_02552
OG0000306	CAEEL11447, CAEEL11444, CAEEL11445, CAEEL11448, CAEEL11446	APOSC_12440
OG0000308	CAEEL00748	APOSC_12039, APOSC_05445, APOSC_04644, APOSC_17328, APOSC_02947
OG0000311	CAEEL19230	APOSC_08779
OG0000312	CAEEL19323	APOSC_08606
OG0000312	CAEEL16684	APOSC_07994, APOSC_07993
OG0000312	CAEEL08464	APOSC_18962
OG0000314	CAEEL12578	APOSC_06634
OG0000314	CAEEL14227, CAEEL02951	APOSC_05854, APOSC_12491
OG0000315	CAEEL07409	APOSC_23860
OG0000315	CAEEL07609	APOSC_12783, APOSC_12784
OG0000315	CAEEL07292	APOSC_19230
OG0000316	CAEEL01799	APOSC_03229
OG0000317	CAEEL18155	APOSC_04469
OG0000319	CAEEL00889, CAEEL10346	APOSC_19574
OG0000321	CAEEL19255	APOSC_12634
OG0000322	CAEEL18855, CAEEL09291, CAEEL09109	APOSC_03031, APOSC_02053, APOSC_27632, APOSC_16922, APOSC_26374, APOSC_18256
OG0000323	CAEEL08030	APOSC_04441, APOSC_04442, APOSC_01088, APOSC_27646
OG0000327	CAEEL18527	APOSC_17692
OG0000327	CAEEL06891	APOSC_09780
OG0000328	CAEEL02700, CAEEL20663	APOSC_17161
OG0000329	CAEEL05342	APOSC_01657, APOSC_01654, APOSC_01655, APOSC_01656, APOSC_11373, APOSC_11372, APOSC_11371, APOSC_11374
OG0000333	CAEEL20574	APOSC_28267
OG0000338	CAEEL02726	APOSC_28658, APOSC_13614, APOSC_13615
OG0000341	CAEEL02829	APOSC_14766, APOSC_14765
OG0000343	CAEEL00542	APOSC_28356, APOSC_10760, APOSC_10761, APOSC_10758, APOSC_10759, APOSC_28355, APOSC_28357
OG0000345	CAEEL09288	APOSC_04411, APOSC_16470, APOSC_14110, APOSC_14111
OG0000346	CAEEL04767	APOSC_23310
OG0000350	CAEEL13904	APOSC_03927
OG0000352	CAEEL05587	APOSC_22930, APOSC_22928, APOSC_22929
