source	target	weight
TCONS_00019811	TCONS_00057012	0.88891196
TCONS_00041694	TCONS_00021216	0.8889133
TCONS_00024115	TCONS_00013261	0.0030052600000000096
TCONS_00045275	TCONS_00015412	0.8889151
TCONS_00018823	TCONS_00020720	0.8889153
TCONS_00027932	TCONS_00031440	0.88891536
TCONS_00003964	TCONS_00029316	0.88891554
TCONS_00027932	TCONS_00043300	0.88891566
TCONS_00025375	TCONS_00017224	0.888916
TCONS_00053533	TCONS_00030893	0.8889165
TCONS_00011489	TCONS_00030196	0.88891655
TCONS_00037097	TCONS_00012478	0.888917
TCONS_00018547	TCONS_00057165	0.88891715
TCONS_00041694	TCONS_00045398	0.88891804
TCONS_00051631	TCONS_00044055	0.8889194
TCONS_00021202	TCONS_00016874	0.8889199
TCONS_00027932	TCONS_00003675	0.88892
TCONS_00018209	TCONS_00016273	0.88892025
TCONS_00045354	TCONS_00036076	0.8889203
TCONS_00011491	TCONS_00004795	0.8889203
TCONS_00008464	TCONS_00037037	0.88892066
TCONS_00005618	TCONS_00029627	0.8889208
TCONS_00021581	TCONS_00015699	0.88892084
TCONS_00021202	TCONS_00012320	0.8889211
TCONS_00021998	TCONS_00029834	0.8889222
TCONS_00055417	TCONS_00005105	0.0003302499999999764
TCONS_00030624	TCONS_00003133	0.8889229
TCONS_00007046	TCONS_00044175	0.8889233
TCONS_00041695	TCONS_00030052	0.8889237
TCONS_00008967	TCONS_00001326	0.8889244
TCONS_00008833	TCONS_00011432	0.88892454
TCONS_00014206	TCONS_00028996	0.88892525
TCONS_00037097	TCONS_00001080	0.8889253
TCONS_00011491	TCONS_00014097	0.8889258
TCONS_00045354	TCONS_00053724	0.888927
TCONS_00053708	TCONS_00009340	0.8889276
TCONS_00030624	TCONS_00026697	0.88892776
TCONS_00009611	TCONS_00026254	0.88892823
TCONS_00009611	TCONS_00040487	0.8889284
TCONS_00037097	TCONS_00047383	0.88892883
TCONS_00013726	TCONS_00025522	0.8889289
TCONS_00001049	TCONS_00016209	0.8889291
TCONS_00027108	TCONS_00036984	0.88892937
TCONS_00057143	TCONS_00031234	0.88892984
TCONS_00024115	TCONS_00003740	0.8889299
TCONS_00019811	TCONS_00008119	0.8889299
TCONS_00041695	TCONS_00009446	0.8889302
TCONS_00057143	TCONS_00022884	0.88893056
TCONS_00011491	TCONS_00016010	0.00267932999999998
TCONS_00041695	TCONS_00027977	0.8889326
TCONS_00021998	TCONS_00021590	0.8889329
TCONS_00017780	TCONS_00052055	0.004473040000000039
TCONS_00027108	TCONS_00003109	0.8889331
TCONS_00017529	TCONS_00044055	0.88893324
TCONS_00021581	TCONS_00017392	0.88893324
TCONS_00013726	TCONS_00054282	0.8889336
TCONS_00011491	TCONS_00041956	0.88893366
TCONS_00053431	TCONS_00050858	0.8889339
TCONS_00001951	TCONS_00048397	0.8889341
TCONS_00011580	TCONS_00018509	0.8889344
TCONS_00028953	TCONS_00022411	0.88893455
TCONS_00045354	TCONS_00018009	0.88893473
TCONS_00030624	TCONS_00020601	0.8889349
TCONS_00021202	TCONS_00006853	0.8889349
TCONS_00028953	TCONS_00009378	0.8889351
TCONS_00006235	TCONS_00000589	0.8889357
TCONS_00041694	TCONS_00012581	0.88893646
TCONS_00018209	TCONS_00022590	0.8889366
TCONS_00053431	TCONS_00052700	0.008994700000000022
TCONS_00012881	TCONS_00056454	0.8889375
TCONS_00041695	TCONS_00004438	0.88893765
TCONS_00005618	TCONS_00022979	0.0007679000000000435
TCONS_00027931	TCONS_00023137	0.8889383
TCONS_00041694	TCONS_00048998	0.888939
TCONS_00021581	TCONS_00044907	0.88894033
TCONS_00009689	TCONS_00000105	0.88894093
TCONS_00027108	TCONS_00044061	0.88894117
TCONS_00029574	TCONS_00056668	0.88894135
TCONS_00021994	TCONS_00015468	0.0072934000000000054
TCONS_00011489	TCONS_00009288	0.88894284
TCONS_00021998	TCONS_00033369	0.8889434
TCONS_00014206	TCONS_00002875	0.8889439
TCONS_00011489	TCONS_00056425	0.88894415
TCONS_00045354	TCONS_00014673	0.8889447
TCONS_00037097	TCONS_00009781	0.88894475
TCONS_00019617	TCONS_00020490	0.8889453
TCONS_00008734	TCONS_00001542	0.88894546
TCONS_00009689	TCONS_00021695	0.8889458
TCONS_00056455	TCONS_00046849	0.8889461
TCONS_00052518	TCONS_00014704	0.88894635
TCONS_00021994	TCONS_00013840	0.8889465
TCONS_00041695	TCONS_00044906	0.8889474
TCONS_00019620	TCONS_00029628	0.88894784
TCONS_00041694	TCONS_00002275	0.8889484
TCONS_00037097	TCONS_00055848	0.88894856
TCONS_00041695	TCONS_00046852	0.88894874
TCONS_00037097	TCONS_00028960	0.8889494
TCONS_00030624	TCONS_00026127	0.007258169999999953
TCONS_00012754	TCONS_00032873	0.8889515
TCONS_00027931	TCONS_00055953	0.8889531
TCONS_00012881	TCONS_00014693	0.8889532
TCONS_00037097	TCONS_00014589	0.8889535
TCONS_00047299	TCONS_00012273	0.8889545
TCONS_00011489	TCONS_00007149	0.88895553
TCONS_00045354	TCONS_00028021	0.8889556
TCONS_00052518	TCONS_00049711	0.8889557
TCONS_00010310	TCONS_00026389	0.8889557
TCONS_00055417	TCONS_00054322	0.8889558
TCONS_00028953	TCONS_00020704	0.888956
TCONS_00021581	TCONS_00020167	0.88895696
TCONS_00047036	TCONS_00035180	0.8889571
TCONS_00021998	TCONS_00005191	0.8889579
TCONS_00053431	TCONS_00018302	0.8889579
TCONS_00020167	TCONS_00021191	0.8889583
TCONS_00014206	TCONS_00052498	0.8889589
TCONS_00021994	TCONS_00046513	0.00821559999999999
TCONS_00020216	TCONS_00013566	0.8889599
TCONS_00019811	TCONS_00026833	0.8889604
TCONS_00020216	TCONS_00045407	0.8889604
TCONS_00008967	TCONS_00030958	0.8889606
TCONS_00008966	TCONS_00049547	0.8889612
TCONS_00044915	TCONS_00057012	0.8889625
TCONS_00021202	TCONS_00025280	0.88896346
