Orthogroup	DROME	OWEFU
OG0000054	DROME20361	OFUSG08102.2.p1, OFUSG08102.1.p1
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000054	DROME21992	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	OFUSG10859.2.p1, OFUSG10859.1.p1, OFUSG21722.1.p2, OFUSG08892.1.p1
OG0000056	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624	OFUSG00148.1.p1
OG0000058	DROME14598	OFUSG06504.1.p1
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	OFUSG18325.1.p1
OG0000059	DROME17819, DROME17820	OFUSG10738.1.p1
OG0000059	DROME04929, DROME02944, DROME02943	OFUSG03206.4.p1, OFUSG03206.2.p1, OFUSG03206.1.p1, OFUSG03206.3.p1
OG0000060	DROME18201	OFUSG21371.2.p1, OFUSG21371.1.p1
OG0000060	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220	OFUSG25748.1.p1, OFUSG06220.1.p1, OFUSG06220.2.p1, OFUSG22689.1.p1, OFUSG15770.2.p1, OFUSG15770.1.p1, OFUSG17254.1.p1, OFUSG17256.1.p1, OFUSG07484.1.p1, OFUSG07264.1.p1, OFUSG04665.1.p1, OFUSG04666.1.p1, OFUSG13147.1.p1, OFUSG04875.1.p1
OG0000060	DROME15948	OFUSG09429.1.p1
OG0000060	DROME00430	OFUSG08326.1.p1, OFUSG08326.2.p1
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	DROME05579, DROME05580, DROME06033	OFUSG16682.2.p1, OFUSG16682.1.p1
OG0000061	DROME18900, DROME18901, DROME18899	OFUSG04054.2.p1, OFUSG04054.1.p1, OFUSG04054.3.p1
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	OFUSG17109.2.p1, OFUSG17109.1.p1
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	OFUSG05823.2.p1, OFUSG05823.1.p1
