Orthogroup	DROME	APOSC_ok
OG0000181	DROME18397	APOSC_01446, APOSC_07714
OG0000181	DROME06226	APOSC_04711
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	APOSC_14059, APOSC_14061, APOSC_14060
OG0000183	DROME07008	APOSC_02686, APOSC_08693
OG0000183	DROME18789	APOSC_25503
OG0000185	DROME12225, DROME12226	APOSC_15583, APOSC_15582
OG0000185	DROME03791, DROME03792	APOSC_05961
OG0000186	DROME05503, DROME05502	APOSC_09256
OG0000188	DROME16886, DROME16887	APOSC_13702
OG0000193	DROME10361, DROME10367, DROME10365, DROME10363, DROME01919, DROME10366, DROME10368, DROME10364, DROME09981	APOSC_02060
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087	APOSC_18323
OG0000197	DROME14335, DROME14334, DROME14336	APOSC_01929
OG0000200	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144	APOSC_22552
OG0000201	DROME11047	APOSC_29091, APOSC_29090
OG0000201	DROME19450	APOSC_24036
OG0000201	DROME18513, DROME18512, DROME18511, DROME18514	APOSC_29029
OG0000202	DROME14920, DROME14921	APOSC_27982, APOSC_06419
OG0000203	DROME04489	APOSC_26461
OG0000204	DROME10849, DROME10848	APOSC_25272, APOSC_13121, APOSC_25275, APOSC_25274, APOSC_25273
OG0000205	DROME20772, DROME20771, DROME20775, DROME20777, DROME20773, DROME20774, DROME20776	APOSC_04935
OG0000205	DROME06842, DROME06843	APOSC_06399, APOSC_24958
OG0000205	DROME08187	APOSC_19060, APOSC_17853
OG0000207	DROME06000	APOSC_21181, APOSC_21969, APOSC_12332
OG0000208	DROME02132	APOSC_28634
OG0000210	DROME14047, DROME11376	APOSC_11707
OG0000211	DROME17290	APOSC_15302
OG0000222	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059	APOSC_17306, APOSC_24662, APOSC_18810, APOSC_29111
OG0000223	DROME10256	APOSC_16511, APOSC_16512
OG0000225	DROME11929	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109
OG0000226	DROME14660	APOSC_01170, APOSC_23826, APOSC_10383, APOSC_17762, APOSC_04918, APOSC_07323, APOSC_02474
OG0000227	DROME20242	APOSC_28503
OG0000227	DROME04927, DROME04926	APOSC_05191, APOSC_01281, APOSC_13947
OG0000229	DROME04047	APOSC_25375, APOSC_24814, APOSC_12350, APOSC_16701, APOSC_14149, APOSC_22408, APOSC_21651, APOSC_15293, APOSC_09519, APOSC_02374
OG0000230	DROME03186	APOSC_06712, APOSC_26272, APOSC_14213, APOSC_14212, APOSC_08307, APOSC_05636, APOSC_13314, APOSC_16355, APOSC_16356, APOSC_07355
OG0000230	DROME09028, DROME09029	APOSC_01214
OG0000231	DROME06449, DROME06448	APOSC_23746
OG0000231	DROME20855, DROME20857, DROME20856, DROME20854	APOSC_19155, APOSC_10082, APOSC_10081, APOSC_18444, APOSC_12966
OG0000231	DROME07628, DROME07629	APOSC_06034
OG0000232	DROME10139	APOSC_14325
OG0000232	DROME02286, DROME02285, DROME02281, DROME02282	APOSC_03253, APOSC_19277
OG0000233	DROME00414, DROME00405, DROME00404, DROME00403	APOSC_17951, APOSC_12310
OG0000234	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143	APOSC_09141, APOSC_09142
OG0000234	DROME11142	APOSC_24843, APOSC_24844
