Orthogroup	DROME	CAEEL
OG0000260	DROME17607, DROME17608, DROME17606, DROME16635, DROME16636	CAEEL11482
OG0000261	DROME06684, DROME06680, DROME06690, DROME06687, DROME06691, DROME06685, DROME06688, DROME06681, DROME06686, DROME06689, DROME06679, DROME06682, DROME06683	CAEEL20767
OG0000265	DROME20971, DROME20976, DROME20973, DROME20972, DROME20977, DROME20974, DROME20975	CAEEL20581
OG0000265	DROME00452	CAEEL10364
OG0000266	DROME07807	CAEEL02705, CAEEL19379, CAEEL09158
OG0000268	DROME06261, DROME06262	CAEEL08931
OG0000268	DROME06544, DROME06542, DROME06543	CAEEL09209
OG0000268	DROME00943, DROME00944	CAEEL08164
OG0000268	DROME04196	CAEEL07325
OG0000270	DROME17880	CAEEL16185, CAEEL17969, CAEEL17970
OG0000271	DROME19668, DROME19667	CAEEL07236
