Orthogroup	DROME	SCHMD
OG0000168	DROME01783	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401
OG0000174	DROME10165	SCHMD22727
OG0000174	DROME11306	SCHMD14760, SCHMD22728
OG0000175	DROME19671, DROME02329, DROME16486, DROME16483, DROME03593, DROME00840	SCHMD18439, SCHMD17544
OG0000179	DROME11221, DROME21050	SCHMD11075
OG0000179	DROME07796	SCHMD01320
OG0000181	DROME12775	SCHMD27609, SCHMD12097, SCHMD28522
OG0000182	DROME05590	SCHMD06161
OG0000182	DROME13778	SCHMD20312
OG0000183	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193	SCHMD21103, SCHMD28756
OG0000183	DROME07197, DROME07008, DROME18789	SCHMD12130, SCHMD10333
OG0000185	DROME08939, DROME08940	SCHMD07834
OG0000186	DROME18591	SCHMD07850, SCHMD22114, SCHMD12081
OG0000186	DROME04472	SCHMD11605
OG0000186	DROME05503, DROME05502	SCHMD01519, SCHMD14176, SCHMD06313
OG0000193	DROME21697, DROME21696, DROME21698	SCHMD03682, SCHMD08341
OG0000195	DROME10558, DROME10557, DROME10559, DROME09087	SCHMD06851
OG0000197	DROME14335, DROME14334, DROME14336	SCHMD10696, SCHMD17861, SCHMD23209
OG0000200	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144	SCHMD07833, SCHMD18193, SCHMD17707
OG0000201	DROME11047	SCHMD28886, SCHMD20370
OG0000201	DROME19450	SCHMD00317, SCHMD09035
OG0000201	DROME18513, DROME18512, DROME18511, DROME18514	SCHMD10520
OG0000202	DROME20996, DROME21000, DROME20998, DROME20995, DROME20999, DROME20994, DROME20997, DROME21001	SCHMD17013
OG0000203	DROME04489	SCHMD13221
OG0000204	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808	SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858
OG0000205	DROME06842, DROME06843	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	DROME08187	SCHMD03008, SCHMD07998, SCHMD07996
OG0000208	DROME12015, DROME12014, DROME15899, DROME15900, DROME15901	SCHMD02180
OG0000208	DROME02132	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998
OG0000210	DROME04199, DROME04478	SCHMD26754
OG0000210	DROME14047, DROME11376	SCHMD24015
OG0000211	DROME17290	SCHMD21436
OG0000211	DROME21074, DROME21072, DROME21073, DROME21071	SCHMD10115
OG0000222	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059	SCHMD21612, SCHMD08502
OG0000223	DROME10256	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493, SCHMD07138, SCHMD07143, SCHMD26815, SCHMD26565
OG0000225	DROME11929	SCHMD25261, SCHMD22794, SCHMD14161
OG0000226	DROME15107, DROME15108, DROME15106, DROME15105	SCHMD28293
OG0000227	DROME04927, DROME04926	SCHMD04380
OG0000230	DROME09028, DROME09029	SCHMD27521, SCHMD14316
OG0000231	DROME06449, DROME06448	SCHMD15225, SCHMD17377
OG0000231	DROME20855, DROME20857, DROME20856, DROME20854	SCHMD23026
OG0000231	DROME07628, DROME07629	SCHMD24769, SCHMD25604
OG0000234	DROME11142	SCHMD19058, SCHMD11623, SCHMD10215, SCHMD25368
OG0000236	DROME03355	SCHMD00730
OG0000238	DROME01901, DROME01902	SCHMD22146, SCHMD14066
OG0000239	DROME05270, DROME05269, DROME05271, DROME05268	SCHMD18522
OG0000239	DROME19712, DROME19710, DROME19709, DROME19707, DROME19705, DROME19704, DROME19703, DROME19706, DROME19702, DROME19701, DROME19711, DROME19708	SCHMD03432
OG0000239	DROME03549, DROME03548, DROME03550, DROME03551	SCHMD16926, SCHMD03433, SCHMD01648, SCHMD18521, SCHMD06547
OG0000240	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862	SCHMD06226, SCHMD00582
OG0000243	DROME04743, DROME04742, DROME04744	SCHMD12372
OG0000246	DROME13185, DROME13186, DROME13188, DROME13187	SCHMD16891, SCHMD17961, SCHMD12289
OG0000248	DROME01997	SCHMD01134, SCHMD07579
OG0000248	DROME05927, DROME05926, DROME05929, DROME05928	SCHMD25860
OG0000250	DROME14382	SCHMD07715, SCHMD11126
OG0000250	DROME11256, DROME11255, DROME11257	SCHMD00165
OG0000255	DROME15943	SCHMD14618, SCHMD25034
OG0000256	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058	SCHMD06220
OG0000257	DROME12936	SCHMD15360, SCHMD21968, SCHMD21969, SCHMD20769
OG0000258	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594	SCHMD19345, SCHMD00959
OG0000260	DROME17607, DROME17608, DROME17606, DROME16635, DROME16636	SCHMD00231
OG0000261	DROME06684, DROME06680, DROME06690, DROME06687, DROME06691, DROME06685, DROME06688, DROME06681, DROME06686, DROME06689, DROME06679, DROME06682, DROME06683	SCHMD07513, SCHMD19684, SCHMD09437, SCHMD06264, SCHMD17166
OG0000265	DROME20971, DROME20976, DROME20973, DROME20972, DROME20977, DROME20974, DROME20975	SCHMD14945, SCHMD03613, SCHMD19985
OG0000265	DROME00452	SCHMD18240, SCHMD09007
OG0000266	DROME08002, DROME09124	SCHMD08189
OG0000268	DROME06261, DROME06262	SCHMD02532, SCHMD02534
