sfrp1/5	S	XLOC_040541	KP133094.1	secreted frizzled-related protein 5-like	1	1	1	Rottinger et al., 2015; Su et al., 2019	Rottinger et al. and Su et al.	Endodermal-anterior, mesodermal-ventral, ectodermal-apical
sfrp1-like	S	XLOC_039021	HQ291269.1	Frizzled-1	1		1	Rottinger & Martindale, 2011	Rottinger & Martindale	Endodermal-anterior, ectodermal-apical
six1/2	T	XLOC_007167		homeobox protein SIX2		1		unpublished	Cindy	Mesodermal-dorsal
six3	T	XLOC_007168	KP133095.1	homeobox protein SIX3	1	1	1	Rottinger et al., 2015	Rottinger et al. and Gigi	Endodermal-anterior, whole mesoderm, ectodermal-ventral, ectodermal-dorsal, ectodermal-apical
smad2/3	S	XLOC_014110		mothers against decapentaplegic homolog 3 isoform X1	1	1	1	unpublished	Chin-Yi Lin	Ubiquitous
smad6	S	XLOC_013430	HQ904074.1	mothers against decapentaplegic homolog 6	1	1	1	Rottinger & Martindale, 2011	Rottinger & Martindale	Whole endoderm, mesodermal-dorsal, ectodermal-dorsal
smMHC	O (smooth muscle myosin heavy chain)	XLOC_008908	MG593814.1	Myosin heavy chain| non-muscle			1	Fan et al., 2018	Tzu-Pei Fan	Ectodermal-dorsal
soxB1a	T	XLOC_015234		transcription factor Sox-3-like	1		1	unpublished	Chin-Yi Lin	Endodermal-anterior, ectodermal-ventral, ectodermal-apical, ectodermal-ciliary band
soxB1b	T	XLOC_015234		transcription factor Sox-3-like	1		1	unpublished	Chin-Yi Lin	Endodermal-anterior, ectodermal-ventral, ectodermal-apical, ectodermal-ciliary band
soxb2	T	XLOC_015237		transcription factor SoxB2			1		Gigi	Ectodermal-ventral, ectodermal-dorsal
soxc	T	XLOC_033063		transcription factor Sox-11-like	1		1	unpublished	Chin-Yi Lin	Endodermal-anterior, endodermal-posterior, ectodermal-ventral, ectodermal-ciliary band, ectoermal-apical, ectodermal-blastopore
soxE	T	XLOC_009592		transcription factor SOX-9		1		unpublished	Cindy	Mesodermal-dorsal
stMHC	O (striated muscle myosin heavy chain)	XLOC_009586	MG593813.1	myosin heavy chain| striated muscle-like		1	1	Fan et al., 2018	Tzu-Pei Fan	Mesodermal-ventral, ectodermal-ventral, ectodermal-apical, ectodermal-blastopore
t-brain	T	XLOC_013037	AB004911.1	T-box brain protein 1 isoform X2			1	Tagawa et al., 2000	Tagawa et al. and Gigi	Ectodermal-apical, ectodermal-ventral (very week)
tbx2/3	T	XLOC_004075	MH782153.1	T-box transcription factor TBX2 isoform X2		1	1	Su et al., 2019	Gigi	Mesodermal-dorsal, ectodermal-dorsal
trop	O (membrain protein)				1		1	Tagawa et al., 2014	Tagawa et al.	Endodermal-anterior, ectodermal-dorsal
tsg	O (tumor suppressor gene)	XLOC_006083	KP133096.1	twi	Endodermal-anterior, mesodermal-ventral
univin	S	XLOC_006965		protein DVR-1-like	1		1	unpublished	Chin-Yi Lin	Endodermal-anterior (dorsal), Ectodermal-dorsal, right side cilia
vasa	O (dead box family)	XLOC_039348	MN917171.1	vasa-like protein	1			Lin et al., 2020	Chin-Yi Lin	Endodermal-posterior
vent1b	T						1	unpublished	Cindy	Ectodermal-apicall, ectodermal-ciliary band
vent2	T	XLOC_019033	KP133108.1	Homeobox protein vent1			1	Rottinger et al., 2015	Rottinger et al.	Ectodermal-ventral
vsx	T	XLOC_002630		visual system homeobox 2-like			1	unpublished	Cindy	Ectodermal-apical
VWD (1)	O (blood glycoprotein)				1	1	1	Simakov et al., 2015	Gigi	Endodermal-posterior, mesodermal-dorsal, ectodermal-ventral, ectodermal-dorsal, ectodermal-blastopore; pfhd23d14 (4k) (Kuni)
VWD (3)	O (blood glycoprotein)				1			Simakov et al., 2017	Gigi	Endodermal-posterior; TL stage: expressed in the midgut; pfp26d01 (1k) (Kuni)
VWD (4)	O (blood glycoprotein)						1	Simakov et al., 2018	Gigi	Various spots in the ectoderm; pfh4d7c11 (~1.3k) (Kuni)
wnt11	S	XLOC_014698		protein Wnt-11		1	1		Gigi	Mesodermal-dorsal, ectodermal-ventral
wnt1	S	XLOC_002080		proto-oncogene Wnt-1			1		Gigi	Ectodermal-blastopore
wnt2	S	XLOC_035143		protein Wnt-2b-A-like			1	unpublished (?)	Chin-Yi Lin	Posterior-ectoderm; Yann's plasmid
wnt3	S	XLOC_002078		protein Wnt-3a			1		Gigi	Ectodermal-blastopore
wnt4	S	XLOC_036769		protein Wnt-4			1	unpublished (?)	Chin-Yi Lin	Ectoermal-blastopore; Yann's plasmid
wnt6	S	XLOC_002748		protein Wnt-6-like	1		1	unpublished (?)	Chin-Yi Lin	Endodermal-posterior, ectodermal-blastopore; Yann's plasmid
wnt7	S	XLOC_035971		protein Wnt-7b isoform X2	1		1	unpublished (?)	Chin-Yi Lin	Ventral-endoderm and ectoderm; Yann's plasmid
wntA	S	XLOC_019505		WntA-like protein	1			unpublished (?)	Chin-Yi Lin	Endodermal-posterior
xbp1	T	XLOC_003785	KP133106.1	X-box-binding protein 1			1	Rottinger et al., 2015	Rottinger et al.	Ectodermal-ventral, ectodermal-dorsal
xlox	T	XLOC_031935	AY436762.1	pancreas/duodenum homeobox protein 1-like			1	Ikuta et al., 2013	Gigi	Ectodermal-blastopore
zeb	T	XLOC_013841		zinc finger E-box-binding homeobox 1-like isoform X1		1			Gigi	Mesodermal-ventral
zic	T	XLOC_015853		zinc finger protein ZIC 4-like		1	1	unpublished	Cindy	Mesodermal-ventral, ectodermal-apical
