Orthogroup	MOUSE	BRAFL
OG0000019	MOUSE30063, MOUSE30064	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556
OG0000020	MOUSE39911	bflo_12668
OG0000020	MOUSE05499, MOUSE05500	bflo_19465
OG0000020	MOUSE53015	bflo_19726
OG0000020	MOUSE07164	bflo_17473, bflo_27211
OG0000020	MOUSE33588	bflo_24908
OG0000020	MOUSE23587, MOUSE23586	bflo_12267
OG0000020	MOUSE13612	bflo_11497
OG0000020	MOUSE06637, MOUSE06636	bflo_01316, bflo_26255, bflo_05601
OG0000020	MOUSE34933	bflo_24504, bflo_09206, bflo_24474
OG0000020	MOUSE45175, MOUSE15405	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	MOUSE24012	bflo_16368
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	bflo_14118
OG0000020	MOUSE09601, MOUSE09602	bflo_07448
OG0000020	MOUSE37001, MOUSE37002	bflo_14450
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	bflo_00687
OG0000021	MOUSE41024, MOUSE41023	bflo_11723
OG0000021	MOUSE40749, MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022	bflo_11166, bflo_11165, bflo_11164
OG0000021	MOUSE49041, MOUSE09998	bflo_12821
OG0000021	MOUSE04592	bflo_20935
OG0000021	MOUSE44445	bflo_27402, bflo_22537
OG0000021	MOUSE53773	bflo_22539, bflo_22305
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	bflo_14957, bflo_14617, bflo_14568
OG0000021	MOUSE19587	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965
OG0000023	MOUSE46773, MOUSE46772	bflo_10816, bflo_10061
OG0000023	MOUSE01124	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512
OG0000023	MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	bflo_20456
OG0000023	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863	bflo_20896
OG0000023	MOUSE02558, MOUSE02557	bflo_10033, bflo_02724, bflo_02807
OG0000026	MOUSE34507	bflo_21516, bflo_21519, bflo_21523
OG0000026	MOUSE12605	bflo_26853, bflo_07376
OG0000026	MOUSE38308, MOUSE38309	bflo_03704, bflo_21877, bflo_14509, bflo_02973, bflo_03705, bflo_02969, bflo_17121, bflo_03998, bflo_09675, bflo_07770, bflo_18066, bflo_05329, bflo_21515, bflo_21517, bflo_21247, bflo_21501, bflo_21518, bflo_01508, bflo_00408, bflo_21522, bflo_21831, bflo_17285, bflo_17283, bflo_17284, bflo_05278, bflo_09823, bflo_06473, bflo_14607, bflo_03670, bflo_03671, bflo_14608, bflo_14866, bflo_15396, bflo_15364, bflo_15390, bflo_15388, bflo_15386, bflo_15381, bflo_09643, bflo_15362, bflo_08780
OG0000027	MOUSE18678, MOUSE18679	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	MOUSE45380	bflo_23186, bflo_23170, bflo_06699, bflo_04841
OG0000028	MOUSE30414, MOUSE30413, MOUSE51349	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959
OG0000028	MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159	bflo_06498, bflo_18107
OG0000028	MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458	bflo_25761, bflo_19766, bflo_19099
OG0000028	MOUSE44525	bflo_06341
OG0000029	MOUSE43115, MOUSE43116	bflo_00003
OG0000029	MOUSE17544, MOUSE15400	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	bflo_05230
OG0000031	MOUSE26385	bflo_02624
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	bflo_02501
OG0000031	MOUSE08528, MOUSE08527	bflo_02849
OG0000031	MOUSE44529	bflo_25562
OG0000031	MOUSE39309, MOUSE01505	bflo_06369
OG0000031	MOUSE40719, MOUSE40720	bflo_11397
OG0000031	MOUSE13006, MOUSE13005	bflo_15458
OG0000031	MOUSE13007, MOUSE36274, MOUSE36271	bflo_15459
OG0000031	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579	bflo_02405
OG0000032	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600	bflo_12824, bflo_01429
OG0000032	MOUSE41899	bflo_01810
OG0000032	MOUSE29123	bflo_23561, bflo_23038, bflo_01635
OG0000032	MOUSE23164	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388
OG0000034	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539	bflo_20326
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	bflo_03308, bflo_13145
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	bflo_05871
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	bflo_03310
OG0000034	MOUSE11491, MOUSE11490	bflo_07712, bflo_08443
OG0000034	MOUSE20059	bflo_03379
OG0000035	MOUSE02570, MOUSE02571	bflo_02157
OG0000035	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092	bflo_10385
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	bflo_09462
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	bflo_09767, bflo_09277
OG0000035	MOUSE27104	bflo_10386
OG0000036	MOUSE12248, MOUSE49436	bflo_13405, bflo_09641, bflo_13747, bflo_13748
OG0000036	MOUSE49768	bflo_13764, bflo_12886
OG0000036	MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	bflo_13765, bflo_13767, bflo_03188
OG0000036	MOUSE29724, MOUSE29725	bflo_08259, bflo_08260, bflo_16423, bflo_16325
