Orthogroup	MOUSE	CAPO3
OG0000171	MOUSE02823, MOUSE02822, MOUSE46727, MOUSE27859, MOUSE46726, MOUSE04583, MOUSE02239, MOUSE21136, MOUSE35961, MOUSE35960, MOUSE48309	CAPO304813
OG0000174	MOUSE13944, MOUSE25057, MOUSE25058, MOUSE12800, MOUSE12801, MOUSE31622, MOUSE25059, MOUSE19080, MOUSE19079, MOUSE19078	CAPO304629
OG0000175	MOUSE32004, MOUSE32003	CAPO303513
OG0000175	MOUSE34702, MOUSE34703, MOUSE34704, MOUSE34706, MOUSE34705	CAPO303920
OG0000179	MOUSE19509, MOUSE51773	CAPO303342
OG0000181	MOUSE14627, MOUSE03706, MOUSE05783	CAPO301108
OG0000181	MOUSE39163, MOUSE11210, MOUSE11208	CAPO302034
OG0000181	MOUSE12600, MOUSE29996	CAPO307692
OG0000181	MOUSE07217	CAPO300374
OG0000183	MOUSE20350, MOUSE08188, MOUSE42801, MOUSE08189, MOUSE08186, MOUSE08187, MOUSE08190, MOUSE20337, MOUSE20343, MOUSE20344, MOUSE20338, MOUSE20339, MOUSE20341, MOUSE20340, MOUSE24700, MOUSE24701	CAPO305638
OG0000183	MOUSE51267, MOUSE51268, MOUSE51266, MOUSE17403, MOUSE51137, MOUSE51138, MOUSE51136, MOUSE51139	CAPO305829
OG0000184	MOUSE24058, MOUSE24066	CAPO307711
OG0000184	MOUSE24064, MOUSE24056, MOUSE24057, MOUSE24065, MOUSE24062, MOUSE24061, MOUSE24063, MOUSE24060, MOUSE24059, MOUSE24067, MOUSE24068, MOUSE24181, MOUSE24180, MOUSE24179, MOUSE24178, MOUSE30888	CAPO304928
OG0000192	MOUSE46094, MOUSE46095, MOUSE46092, MOUSE46093, MOUSE46090, MOUSE16913, MOUSE16914, MOUSE16915	CAPO301980
OG0000193	MOUSE51241, MOUSE51240, MOUSE38224, MOUSE38223, MOUSE37517, MOUSE10603, MOUSE43494, MOUSE51242, MOUSE51243, MOUSE17401, MOUSE17402	CAPO302628
OG0000194	MOUSE29883, MOUSE29879, MOUSE29880, MOUSE29881, MOUSE29882, MOUSE29432, MOUSE29433, MOUSE29431, MOUSE34698, MOUSE34700, MOUSE34701, MOUSE34699, MOUSE34696, MOUSE34697, MOUSE34695	CAPO305195
OG0000195	MOUSE52235, MOUSE52236, MOUSE52239, MOUSE52237, MOUSE52242, MOUSE52243, MOUSE52241, MOUSE04098, MOUSE04099, MOUSE52244, MOUSE52238, MOUSE52240	CAPO305454
OG0000201	MOUSE38533, MOUSE38534, MOUSE14083	CAPO307729
OG0000201	MOUSE01054	CAPO300462
OG0000203	MOUSE48169, MOUSE48170, MOUSE29289, MOUSE00419, MOUSE33851, MOUSE15592, MOUSE34963, MOUSE04014, MOUSE35047	CAPO302139
OG0000204	MOUSE23102, MOUSE23101, MOUSE41512, MOUSE47328, MOUSE47326, MOUSE47327, MOUSE44453, MOUSE44451, MOUSE44452, MOUSE14528, MOUSE14529, MOUSE14530, MOUSE14527, MOUSE27284, MOUSE01888, MOUSE01887, MOUSE01886, MOUSE41513, MOUSE41514, MOUSE47329, MOUSE27285, MOUSE46997	CAPO303090
OG0000207	MOUSE33677, MOUSE19031, MOUSE28832, MOUSE28833, MOUSE32259, MOUSE32258, MOUSE33675, MOUSE33676, MOUSE33674, MOUSE15842, MOUSE15840, MOUSE15841, MOUSE24286, MOUSE24289, MOUSE24287	CAPO304105, CAPO304106, CAPO304714
OG0000211	MOUSE51114, MOUSE51115, MOUSE28046, MOUSE10073, MOUSE10072, MOUSE44580, MOUSE44581, MOUSE44579, MOUSE20694, MOUSE20693, MOUSE01466, MOUSE44832, MOUSE44578	CAPO306209
OG0000218	MOUSE10867, MOUSE45082, MOUSE22179	CAPO300559
OG0000220	MOUSE11020, MOUSE11019, MOUSE11021, MOUSE11022, MOUSE11484, MOUSE11485, MOUSE29601, MOUSE29602, MOUSE40568, MOUSE40569, MOUSE40573, MOUSE40572, MOUSE40571, MOUSE40570, MOUSE11165, MOUSE11164, MOUSE36880	CAPO306780, CAPO307695
OG0000221	MOUSE22515, MOUSE22518, MOUSE22513, MOUSE22517, MOUSE22516, MOUSE22514, MOUSE53204, MOUSE53205, MOUSE53203, MOUSE05742, MOUSE05741, MOUSE29915, MOUSE29913, MOUSE29916, MOUSE29920, MOUSE29914, MOUSE29919, MOUSE29918, MOUSE29912, MOUSE29917, MOUSE35058, MOUSE35056, MOUSE35053, MOUSE35051, MOUSE35055, MOUSE35054, MOUSE22156, MOUSE18361	CAPO300247
OG0000221	MOUSE41877	CAPO308272, CAPO301991, CAPO300059
