Orthogroup	AENJA_ok	OWEFU
OG0000057	AENJA_15044, AENJA_21589, AENJA_13773	OFUSG08336.1.p1
OG0000058	AENJA_23345	OFUSG06504.1.p1
OG0000058	AENJA_12354	OFUSG18325.1.p1
OG0000058	AENJA_14024	OFUSG07699.1.p1
OG0000058	AENJA_10634	OFUSG25338.1.p1
OG0000059	AENJA_17651	OFUSG03529.1.p1, OFUSG03529.2.p1
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	OFUSG05392.2.p1, OFUSG05392.1.p1
OG0000060	AENJA_17233	OFUSG14955.1.p1, OFUSG23392.1.p1
OG0000060	AENJA_19748	OFUSG21371.2.p1, OFUSG21371.1.p1
OG0000061	AENJA_07301	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	AENJA_07183	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1
OG0000061	AENJA_26614, AENJA_08766	OFUSG16682.2.p1, OFUSG16682.1.p1
OG0000061	AENJA_06999	OFUSG04054.2.p1, OFUSG04054.1.p1, OFUSG04054.3.p1
OG0000061	AENJA_07304	OFUSG16363.1.p1, OFUSG16363.2.p1
OG0000062	AENJA_00352, AENJA_09642, AENJA_22683	OFUSG20078.1.p1, OFUSG20078.2.p1
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	AENJA_20321	OFUSG17109.2.p1, OFUSG17109.1.p1
OG0000063	AENJA_03789	OFUSG05823.2.p1, OFUSG05823.1.p1
OG0000063	AENJA_04323	OFUSG01195.1.p1, OFUSG20081.1.p1, OFUSG22244.1.p1, OFUSG01196.1.p1, OFUSG17598.1.p1, OFUSG17396.1.p1, OFUSG23292.1.p1
