Orthogroup	AENJA_ok	YEAST
OG0000847	AENJA_19531	YEAST02881, YEAST03544, YEAST06198
OG0000847	AENJA_05909	YEAST02530, YEAST00209
OG0000849	AENJA_06598, AENJA_17459	YEAST04475
OG0000850	AENJA_06947, AENJA_14500, AENJA_26527	YEAST04287
OG0000852	AENJA_20937, AENJA_07998	YEAST01266
OG0000854	AENJA_12138	YEAST00248
OG0000855	AENJA_13524, AENJA_13527, AENJA_13526, AENJA_13521	YEAST04755
OG0000857	AENJA_19063	YEAST00309
OG0000868	AENJA_20580, AENJA_01456	YEAST06157
OG0000871	AENJA_15432, AENJA_15433, AENJA_06473	YEAST03857
OG0000872	AENJA_06798	YEAST03222, YEAST03741
OG0000875	AENJA_08703, AENJA_14919	YEAST00077
OG0000876	AENJA_08833	YEAST05556
OG0000879	AENJA_23882, AENJA_14015	YEAST06123
OG0000888	AENJA_02929, AENJA_02481, AENJA_16255	YEAST00288
OG0000889	AENJA_05911	YEAST00175
OG0000894	AENJA_18194, AENJA_24655, AENJA_16901	YEAST03763
OG0000896	AENJA_17963, AENJA_20857	YEAST02476
OG0000896	AENJA_26740	YEAST04923
OG0000898	AENJA_20658	YEAST06255, YEAST03431
OG0000905	AENJA_03454, AENJA_12044, AENJA_12043	YEAST00599
OG0000907	AENJA_06223	YEAST02193
OG0000913	AENJA_11700	YEAST03557, YEAST05101
OG0000914	AENJA_16081	YEAST04745
OG0000921	AENJA_16626, AENJA_00754	YEAST02526
OG0000925	AENJA_14502, AENJA_01829	YEAST05667, YEAST06025
OG0000932	AENJA_10313, AENJA_10314	YEAST03525
OG0000933	AENJA_12056, AENJA_25029	YEAST06306
OG0000934	AENJA_23792	YEAST02582, YEAST06252
OG0000934	AENJA_12733	YEAST05040
OG0000935	AENJA_14023	YEAST02843
OG0000943	AENJA_02078, AENJA_00401	YEAST03805
OG0000944	AENJA_00580	YEAST04878
OG0000954	AENJA_24386, AENJA_08232	YEAST05503, YEAST01249
OG0000955	AENJA_09334, AENJA_19306	YEAST00837
OG0000955	AENJA_26657	YEAST04295
OG0000963	AENJA_01165, AENJA_06323	YEAST03685, YEAST00482, YEAST01749
OG0000964	AENJA_06851, AENJA_04088, AENJA_01513, AENJA_06848	YEAST04606
OG0000965	AENJA_05586, AENJA_05584	YEAST02552
OG0000965	AENJA_02282	YEAST02050
