Orthogroup	AENJA_ok	MOUSE
OG0000039	AENJA_07945	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868
OG0000039	AENJA_20163	MOUSE23387
OG0000040	AENJA_07541, AENJA_11361	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	AENJA_24560	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266
OG0000041	AENJA_03404, AENJA_03405	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657
OG0000044	AENJA_12079	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	AENJA_24602	MOUSE41161, MOUSE41162
OG0000045	AENJA_09277	MOUSE25074
OG0000046	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759	MOUSE48114, MOUSE48113
OG0000046	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340	MOUSE54722, MOUSE34003, MOUSE32874
OG0000048	AENJA_09360	MOUSE42201, MOUSE42202
OG0000048	AENJA_16735, AENJA_16736	MOUSE06701
OG0000048	AENJA_25506	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	AENJA_20702	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986
OG0000049	AENJA_25756	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311
OG0000051	AENJA_24250	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000054	AENJA_06676, AENJA_23371	MOUSE48109
OG0000054	AENJA_12232, AENJA_06677	MOUSE48108
OG0000056	AENJA_20111	MOUSE52879
OG0000056	AENJA_20268	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842
OG0000056	AENJA_05228	MOUSE37995, MOUSE37994
OG0000057	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718
OG0000057	AENJA_23993	MOUSE39640
OG0000057	AENJA_11025	MOUSE55281, MOUSE55280
OG0000058	AENJA_23345	MOUSE21857, MOUSE21254
OG0000058	AENJA_12354	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899
OG0000058	AENJA_10634	MOUSE38609, MOUSE40444
OG0000059	AENJA_13132	MOUSE52262, MOUSE52259, MOUSE52258
OG0000059	AENJA_11199, AENJA_02561, AENJA_02562	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589
OG0000060	AENJA_17233	MOUSE52080, MOUSE52079
OG0000060	AENJA_00816	MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943
OG0000060	AENJA_23597	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000061	AENJA_07301	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	AENJA_07183	MOUSE22377, MOUSE22378, MOUSE53042, MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505
OG0000061	AENJA_26614, AENJA_08766	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	AENJA_00352, AENJA_09642, AENJA_22683	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995	MOUSE52081
OG0000063	AENJA_20321	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	AENJA_03789	MOUSE10885, MOUSE10881
OG0000063	AENJA_04323	MOUSE33697
OG0000063	AENJA_26394	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000066	AENJA_12655, AENJA_09505	MOUSE53763
OG0000066	AENJA_20318	MOUSE13756
OG0000067	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270	MOUSE19580, MOUSE31455
OG0000068	AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902	MOUSE02010
OG0000069	AENJA_05175, AENJA_15982	MOUSE30824
OG0000070	AENJA_20523	MOUSE00174
