Orthogroup	AENJA_ok	LYTVA_ok
OG0000020	AENJA_14074	LYTVA_21287
OG0000020	AENJA_08287	LYTVA_21826
OG0000020	AENJA_18052	LYTVA_05479
OG0000020	AENJA_23718	LYTVA_08129
OG0000020	AENJA_15954	LYTVA_26447
OG0000020	AENJA_16929	LYTVA_23009
OG0000020	AENJA_04727	LYTVA_12234
OG0000020	AENJA_10912	LYTVA_17081
OG0000020	AENJA_11444	LYTVA_06231
OG0000020	AENJA_07947	LYTVA_13730
OG0000020	AENJA_14659	LYTVA_09530
OG0000020	AENJA_12495	LYTVA_00542
OG0000020	AENJA_25422	LYTVA_26250
OG0000021	AENJA_21621, AENJA_21623	LYTVA_14789, LYTVA_18860
OG0000021	AENJA_14639	LYTVA_04917
OG0000021	AENJA_26606, AENJA_10786	LYTVA_13480, LYTVA_00042, LYTVA_13481
OG0000021	AENJA_16593	LYTVA_10118
OG0000021	AENJA_24950	LYTVA_09991
OG0000021	AENJA_25124	LYTVA_02440
OG0000021	AENJA_15672, AENJA_17125	LYTVA_28466
OG0000021	AENJA_10523	LYTVA_14564
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	LYTVA_01830, LYTVA_09376, LYTVA_05943
OG0000023	AENJA_06341	LYTVA_11225
OG0000023	AENJA_11618, AENJA_11620, AENJA_11621	LYTVA_05858
OG0000023	AENJA_22520, AENJA_19106	LYTVA_00206
OG0000023	AENJA_11920	LYTVA_13074
OG0000023	AENJA_26230	LYTVA_20952, LYTVA_04490, LYTVA_24711, LYTVA_01233, LYTVA_21144, LYTVA_20416
OG0000023	AENJA_07520, AENJA_17438	LYTVA_27483
OG0000023	AENJA_19908	LYTVA_08392, LYTVA_08393
OG0000023	AENJA_03895	LYTVA_24785
OG0000024	AENJA_18078	LYTVA_25158
OG0000024	AENJA_13035, AENJA_24703	LYTVA_16350
OG0000024	AENJA_05751	LYTVA_14629
OG0000025	AENJA_16194, AENJA_12427, AENJA_26584, AENJA_11195	LYTVA_14879, LYTVA_14642, LYTVA_07343
OG0000025	AENJA_13289	LYTVA_06174, LYTVA_05975
OG0000025	AENJA_07928	LYTVA_16991
OG0000026	AENJA_07099, AENJA_18950	LYTVA_08564
OG0000026	AENJA_10129	LYTVA_19796
OG0000027	AENJA_18849	LYTVA_13316
OG0000027	AENJA_05706, AENJA_05707	LYTVA_18136, LYTVA_21206, LYTVA_09140, LYTVA_26069, LYTVA_02318, LYTVA_09971, LYTVA_25862
OG0000028	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181	LYTVA_06601
OG0000028	AENJA_21123	LYTVA_03719
OG0000028	AENJA_15999	LYTVA_11085
OG0000028	AENJA_25121	LYTVA_11743
OG0000029	AENJA_03155, AENJA_26378, AENJA_10650	LYTVA_19314
