Orthogroup	AENJA_ok	PFLAV
OG0000021	AENJA_25124	TCONS_00048529.p1, TCONS_00048461.p1, TCONS_00048530.p1, TCONS_00048462.p1, TCONS_00048631.p1, TCONS_00047352.p1, TCONS_00044070.p1, TCONS_00044077.p1
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	TCONS_00016243.p1
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	TCONS_00044068.p1
OG0000023	AENJA_06341	TCONS_00026137.p1
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	TCONS_00004930.p1
OG0000023	AENJA_26230	TCONS_00029827.p1
OG0000023	AENJA_07520, AENJA_17438	TCONS_00006339.p1, TCONS_00006341.p1
OG0000023	AENJA_19908	TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1, TCONS_00023451.p1, TCONS_00023489.p1, TCONS_00006187.p1, TCONS_00006188.p1, TCONS_00006190.p1
OG0000024	AENJA_16978, AENJA_19836, AENJA_22674, AENJA_01541, AENJA_03429, AENJA_07417, AENJA_16810	TCONS_00027765.p1
OG0000024	AENJA_26384	TCONS_00038533.p1
OG0000024	AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891	TCONS_00021650.p1
OG0000024	AENJA_18079, AENJA_19870, AENJA_09423	TCONS_00034182.p2, TCONS_00025224.p1
OG0000024	AENJA_18078	TCONS_00031312.p1
OG0000024	AENJA_14854	TCONS_00047142.p1
OG0000024	AENJA_02356	TCONS_00004499.p1
OG0000024	AENJA_04068	TCONS_00053773.p1, TCONS_00015293.p1
OG0000024	AENJA_18080	TCONS_00044135.p1
OG0000024	AENJA_24502, AENJA_10348	TCONS_00024402.p1, TCONS_00052142.p1
OG0000024	AENJA_18095, AENJA_12767	TCONS_00043577.p1, TCONS_00054855.p1, TCONS_00028368.p1, TCONS_00044844.p1
OG0000024	AENJA_02712	TCONS_00009651.p1, TCONS_00024337.p1
OG0000025	AENJA_26502	TCONS_00004530.p1
OG0000025	AENJA_21079	TCONS_00016476.p1, TCONS_00004608.p1
OG0000025	AENJA_14413	TCONS_00031481.p1, TCONS_00007104.p1, TCONS_00029375.p1, TCONS_00056090.p1, TCONS_00009489.p1, TCONS_00032646.p1, TCONS_00026371.p1
OG0000025	AENJA_05976	TCONS_00045036.p1
OG0000025	AENJA_09551	TCONS_00031703.p1, TCONS_00012858.p1, TCONS_00007266.p1, TCONS_00049623.p1, TCONS_00019473.p1, TCONS_00044920.p1, TCONS_00044570.p1, TCONS_00032176.p1, TCONS_00032902.p1, TCONS_00033001.p1, TCONS_00030113.p1, TCONS_00010596.p1, TCONS_00056440.p1, TCONS_00028828.p1, TCONS_00052217.p2, TCONS_00048535.p1, TCONS_00032079.p1
OG0000026	AENJA_22634, AENJA_08898, AENJA_15153, AENJA_22173	TCONS_00023710.p2, TCONS_00008676.p1, TCONS_00055402.p1, TCONS_00042664.p1, TCONS_00023054.p1, TCONS_00050387.p1
OG0000026	AENJA_21657	TCONS_00017322.p1
OG0000026	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651	TCONS_00027263.p1, TCONS_00054188.p1
OG0000026	AENJA_10129	TCONS_00043670.p1
OG0000026	AENJA_04353, AENJA_08594, AENJA_10003	TCONS_00038740.p1, TCONS_00052092.p1
OG0000027	AENJA_24558, AENJA_14831, AENJA_19912	TCONS_00051548.p1, TCONS_00041508.p1
OG0000027	AENJA_18849	TCONS_00051661.p1
OG0000027	AENJA_09326, AENJA_19460, AENJA_19462	TCONS_00029543.p1, TCONS_00029536.p1, TCONS_00029538.p1, TCONS_00029541.p1, TCONS_00029535.p1, TCONS_00029534.p1, TCONS_00029762.p1, TCONS_00028479.p1
OG0000028	AENJA_01184	TCONS_00008790.p1
OG0000028	AENJA_02610, AENJA_09622	TCONS_00030328.p1, TCONS_00030338.p1, TCONS_00030608.p1, TCONS_00053821.p1, TCONS_00031464.p1, TCONS_00041062.p1
OG0000028	AENJA_02274	TCONS_00029701.p1, TCONS_00029704.p1, TCONS_00029474.p1, TCONS_00029475.p1
OG0000028	AENJA_15999	TCONS_00006156.p1, TCONS_00006138.p1
OG0000028	AENJA_25121	TCONS_00038444.p1, TCONS_00038402.p1
OG0000028	AENJA_19954	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1
OG0000029	AENJA_10650	TCONS_00004006.p1
OG0000029	AENJA_26395	TCONS_00053078.p1
OG0000029	AENJA_05610	TCONS_00019159.p1
