Orthogroup	SCHMD	DROME
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	DROME04013, DROME04512, DROME04513
OG0000117	SCHMD07660, SCHMD02896, SCHMD11493	DROME17123
OG0000119	SCHMD02911	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501, DROME21220, DROME21219, DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	SCHMD09518	DROME15700
OG0000120	SCHMD27124, SCHMD23690, SCHMD27316, SCHMD27128, SCHMD24437, SCHMD28934, SCHMD26823, SCHMD27125	DROME00660
OG0000120	SCHMD26849	DROME00676
OG0000120	SCHMD11870	DROME04710
OG0000122	SCHMD00543, SCHMD16641, SCHMD09849	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000123	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977	DROME17732, DROME17730, DROME17731
OG0000123	SCHMD11130, SCHMD15099	DROME16385, DROME16384, DROME16383, DROME14572, DROME14575, DROME14574
OG0000123	SCHMD22122, SCHMD14008	DROME14850, DROME14849, DROME14848, DROME14847
OG0000124	SCHMD10270, SCHMD10271	DROME17463, DROME08713, DROME09900
OG0000124	SCHMD08774	DROME21734
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	DROME01805, DROME01804
OG0000126	SCHMD24144	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	SCHMD01813, SCHMD04253	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000127	SCHMD03781	DROME11205, DROME11204
OG0000129	SCHMD20816	DROME07177, DROME07176, DROME07178, DROME10520
OG0000130	SCHMD17609	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000141	SCHMD05764	DROME20863, DROME21161
OG0000142	SCHMD07405, SCHMD02973, SCHMD14341	DROME09730
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	DROME07188
OG0000147	SCHMD11019	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	SCHMD11968	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000148	SCHMD08056	DROME12939
OG0000149	SCHMD06205, SCHMD05440	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000155	SCHMD13126, SCHMD13125	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	SCHMD06364	DROME05619, DROME05620, DROME05621
OG0000157	SCHMD03548, SCHMD06363	DROME05618, DROME05617, DROME05616
OG0000157	SCHMD01802	DROME05150, DROME05149
OG0000158	SCHMD18936	DROME06825, DROME06824
OG0000159	SCHMD14942	DROME09571, DROME09570
OG0000162	SCHMD08936, SCHMD26694	DROME21138, DROME21116
OG0000162	SCHMD05631, SCHMD22574, SCHMD09891	DROME21145, DROME21122, DROME21105, DROME21144, DROME21140, DROME21154, DROME21132
OG0000163	SCHMD23090	DROME02805, DROME21614, DROME12520, DROME07955
