Orthogroup	SCHMD	DANRE
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	DANRE36805, DANRE27215, DANRE24076
OG0000043	SCHMD00424	DANRE34152, DANRE37439, DANRE26092, DANRE39503, DANRE26159, DANRE37409, DANRE26051, DANRE26163, DANRE26169, DANRE26151, DANRE26095, DANRE26087, DANRE26064, DANRE26052, DANRE26099, DANRE37454, DANRE26078, DANRE37464, DANRE37436, DANRE37400, DANRE26085, DANRE39508, DANRE39495, DANRE26174, DANRE26166, DANRE37432, DANRE37396, DANRE37457, DANRE37467, DANRE37447, DANRE37451, DANRE37448, DANRE37433, DANRE37458, DANRE37440, DANRE37415, DANRE37395, DANRE00964
OG0000043	SCHMD29206, SCHMD09758	DANRE43265
OG0000044	SCHMD00319	DANRE13593
OG0000048	SCHMD13771, SCHMD03961	DANRE06169
OG0000048	SCHMD28788	DANRE16165
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	DANRE08311, DANRE38354, DANRE14945, DANRE10170, DANRE10169
OG0000049	SCHMD16048	DANRE10820
OG0000049	SCHMD22370	DANRE30744
OG0000055	SCHMD17892, SCHMD29195	DANRE26046, DANRE37399
OG0000056	SCHMD18401, SCHMD20469	DANRE30239
OG0000058	SCHMD04270	DANRE01466, DANRE01467
OG0000058	SCHMD06371	DANRE03528
OG0000058	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402	DANRE15450
OG0000060	SCHMD03062	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000061	SCHMD24930	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	SCHMD12952	DANRE30136
OG0000061	SCHMD11039	DANRE26341, DANRE29170
OG0000062	SCHMD03372	DANRE28563, DANRE28564, DANRE28575, DANRE28567, DANRE08108
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	DANRE35118, DANRE16967, DANRE16966, DANRE16965, DANRE16964, DANRE16968, DANRE16963, DANRE16977, DANRE16975, DANRE16976, DANRE16978, DANRE16969, DANRE08527, DANRE08526, DANRE09429, DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570, DANRE18807, DANRE18806
OG0000063	SCHMD04855	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	SCHMD09653	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785
OG0000063	SCHMD24452	DANRE15770
OG0000065	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953	DANRE33929, DANRE19442, DANRE11091, DANRE13549, DANRE13808, DANRE13807, DANRE30234, DANRE30232, DANRE30233, DANRE39633, DANRE39634, DANRE39641, DANRE39631, DANRE39632, DANRE39635, DANRE39637, DANRE39636, DANRE39638, DANRE39908
OG0000066	SCHMD06030	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	DANRE22551
OG0000069	SCHMD01685, SCHMD16207, SCHMD06596, SCHMD09060, SCHMD03554, SCHMD11437	DANRE26091
OG0000069	SCHMD05798, SCHMD12262	DANRE24751, DANRE34404, DANRE30153, DANRE08957, DANRE08956
OG0000070	SCHMD06745	DANRE18387, DANRE02540
OG0000072	SCHMD10090	DANRE06708, DANRE15716, DANRE15720, DANRE15719, DANRE15717, DANRE15718, DANRE06793, DANRE06794, DANRE06795, DANRE06796, DANRE08770, DANRE08769, DANRE00814, DANRE00815
OG0000072	SCHMD12761, SCHMD09137, SCHMD23032, SCHMD13441	DANRE06126
OG0000073	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123	DANRE10520
OG0000075	SCHMD10965	DANRE01002, DANRE34361
OG0000075	SCHMD28477	DANRE31020
OG0000075	SCHMD03704	DANRE36834, DANRE40515, DANRE12778
OG0000075	SCHMD21424	DANRE30937, DANRE41300
OG0000077	SCHMD17571	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691
OG0000077	SCHMD23576	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386, DANRE40644, DANRE19656, DANRE19657
OG0000077	SCHMD20714	DANRE25103
OG0000078	SCHMD04824, SCHMD04525	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864
OG0000078	SCHMD04822, SCHMD04523	DANRE36849
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	DANRE00163, DANRE00164, DANRE00165, DANRE19082, DANRE19083, DANRE06228, DANRE06227, DANRE06226, DANRE06225, DANRE06229
OG0000079	SCHMD06941, SCHMD04736	DANRE01827, DANRE01825, DANRE01824, DANRE01826
OG0000082	SCHMD03263, SCHMD10119	DANRE33308
OG0000082	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	DANRE00969, DANRE00972, DANRE00973, DANRE08030, DANRE08710
OG0000082	SCHMD24007, SCHMD15475, SCHMD16819	DANRE29358, DANRE29356, DANRE29359
OG0000082	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210	DANRE00970
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459
OG0000085	SCHMD12836	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408
OG0000085	SCHMD12466	DANRE10316
OG0000085	SCHMD18327	DANRE33578, DANRE33579
OG0000087	SCHMD09405, SCHMD09406	DANRE37955
OG0000087	SCHMD05855	DANRE15847, DANRE15848
OG0000087	SCHMD03393, SCHMD23919	DANRE42135
OG0000087	SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336	DANRE42134
OG0000093	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028	DANRE18559, DANRE12452, DANRE31410, DANRE31411, DANRE36972
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753	DANRE40961
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591
OG0000096	SCHMD07753	DANRE40526, DANRE02165, DANRE31394, DANRE31393
OG0000096	SCHMD18607	DANRE02166
OG0000096	SCHMD10033	DANRE38250, DANRE38251, DANRE29625, DANRE29623, DANRE42235, DANRE21352, DANRE21353, DANRE21354
OG0000097	SCHMD22037, SCHMD20326	DANRE07843, DANRE07842, DANRE07848, DANRE07847, DANRE07846, DANRE07845
OG0000098	SCHMD29644, SCHMD22119	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953
OG0000099	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972	DANRE19933
OG0000099	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829
OG0000103	SCHMD29081, SCHMD19673	DANRE24869, DANRE20613, DANRE20612, DANRE20614, DANRE36648, DANRE36647, DANRE34239, DANRE34238, DANRE34235, DANRE34231, DANRE34230, DANRE34229, DANRE34233, DANRE18924, DANRE24870, DANRE24865, DANRE24863, DANRE24862, DANRE24866, DANRE24867, DANRE13569, DANRE27032, DANRE27033, DANRE02398, DANRE02397, DANRE22772
OG0000103	SCHMD08147	DANRE09436, DANRE09435, DANRE35623, DANRE35622, DANRE29899, DANRE29898, DANRE35659, DANRE28633, DANRE28634, DANRE35632, DANRE35633
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	DANRE38871, DANRE25336, DANRE25339, DANRE25338, DANRE25337, DANRE27190, DANRE24604, DANRE26909, DANRE20129, DANRE07885, DANRE33300, DANRE03190, DANRE03191, DANRE00217, DANRE00219, DANRE00218, DANRE09198, DANRE09199, DANRE25823, DANRE25822
OG0000107	SCHMD04920, SCHMD23362, SCHMD21301, SCHMD11381, SCHMD05934	DANRE37414
OG0000107	SCHMD11257	DANRE26097, DANRE37435, DANRE26164
OG0000110	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056, SCHMD11887	DANRE11747, DANRE11748, DANRE11749
OG0000113	SCHMD06629, SCHMD02664	DANRE34599, DANRE36419, DANRE36418, DANRE36417, DANRE36416, DANRE36415, DANRE31222, DANRE31221
OG0000114	SCHMD19276	DANRE09308, DANRE09309, DANRE09310
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	DANRE05297, DANRE16133, DANRE16132, DANRE00562, DANRE00564, DANRE00563, DANRE02256, DANRE02257, DANRE36669, DANRE33480, DANRE33482, DANRE33481, DANRE22942
OG0000116	SCHMD19106	DANRE41907, DANRE41905
OG0000117	SCHMD07660, SCHMD02896, SCHMD11493	DANRE35421
OG0000119	SCHMD02911	DANRE16116, DANRE16117, DANRE41481, DANRE41482, DANRE41480, DANRE07182, DANRE07181, DANRE29831, DANRE03249, DANRE41697, DANRE23346, DANRE23347, DANRE09855, DANRE09856, DANRE09854, DANRE29168, DANRE29167, DANRE42690, DANRE42691, DANRE05898
OG0000120	SCHMD07084	DANRE25821, DANRE00097
OG0000121	SCHMD07020	DANRE33773, DANRE33772, DANRE41413
OG0000122	SCHMD00543	DANRE34745
OG0000122	SCHMD16641, SCHMD09849	DANRE10319, DANRE10318, DANRE01945, DANRE01946, DANRE42812, DANRE36612, DANRE42813
OG0000124	SCHMD10270, SCHMD10271	DANRE20113, DANRE34367, DANRE06378, DANRE08738, DANRE43119, DANRE17025, DANRE17008, DANRE17026, DANRE17009, DANRE29866, DANRE03127, DANRE03379, DANRE30366, DANRE29458, DANRE29457
OG0000124	SCHMD08774	DANRE09986, DANRE02785, DANRE02786, DANRE22696
OG0000125	SCHMD03656	DANRE14257
OG0000125	SCHMD20382	DANRE38533
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	DANRE04839, DANRE04840, DANRE04841, DANRE06613, DANRE06612, DANRE36521
OG0000126	SCHMD24144	DANRE22185, DANRE22186
OG0000126	SCHMD06494	DANRE09488
OG0000126	SCHMD01813, SCHMD04253	DANRE24264, DANRE24265, DANRE24266, DANRE07231, DANRE07232
OG0000127	SCHMD03781	DANRE36236, DANRE26932, DANRE35612, DANRE42858
