Orthogroup	SCHMD	BRALA
OG0000110	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056	BRALA25611, BRALA22080, BRALA22078, BRALA05100, BRALA05295
OG0000110	SCHMD11887	BRALA29111, BRALA29112, BRALA24555, BRALA29879, BRALA15145, BRALA25881, BRALA05405, BRALA34750
OG0000111	SCHMD18184, SCHMD22856, SCHMD10726, SCHMD13982	BRALA19068
OG0000113	SCHMD06629, SCHMD02664	BRALA05711, BRALA05736, BRALA10598, BRALA02148, BRALA02143, BRALA02144, BRALA02149
OG0000114	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739	BRALA11944, BRALA13019, BRALA11943, BRALA15794, BRALA06610
OG0000116	SCHMD19106	BRALA13339
OG0000117	SCHMD24345, SCHMD14483, SCHMD27351	BRALA22187
OG0000117	SCHMD02591	BRALA12964
OG0000117	SCHMD11493	BRALA18688, BRALA13613
OG0000119	SCHMD02911	BRALA06707, BRALA09190, BRALA09113, BRALA09057, BRALA09056, BRALA14028, BRALA14029
OG0000121	SCHMD07020	BRALA02169
OG0000123	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977	BRALA11476
OG0000124	SCHMD10270, SCHMD10271	BRALA26544
OG0000124	SCHMD11964, SCHMD20871, SCHMD16822	BRALA00429
OG0000124	SCHMD08774	BRALA05628
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	BRALA11509
OG0000126	SCHMD01813, SCHMD04253	BRALA11885
OG0000127	SCHMD21110	BRALA25100, BRALA25099
OG0000127	SCHMD03781	BRALA06066
OG0000127	SCHMD18620	BRALA34798
OG0000128	SCHMD25789, SCHMD19594	BRALA08606, BRALA13534, BRALA13533, BRALA21885, BRALA21891, BRALA03636, BRALA10967, BRALA10966, BRALA17194, BRALA16474, BRALA15948, BRALA13405, BRALA32930, BRALA32135, BRALA32136, BRALA13384
OG0000128	SCHMD29825	BRALA31378
OG0000129	SCHMD23245, SCHMD26510, SCHMD08406	BRALA27239
OG0000129	SCHMD20816	BRALA31934, BRALA31933
OG0000129	SCHMD05405	BRALA13415
OG0000129	SCHMD03224	BRALA11658
OG0000130	SCHMD02824, SCHMD13205	BRALA16322, BRALA12329, BRALA22977, BRALA28126
OG0000130	SCHMD17609	BRALA22517, BRALA05250, BRALA05249, BRALA22519, BRALA22518, BRALA06672, BRALA27303
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	BRALA31411, BRALA31406, BRALA27565, BRALA27560, BRALA27542, BRALA27536, BRALA33655, BRALA33182, BRALA20698, BRALA20702, BRALA25262, BRALA11726, BRALA20134, BRALA33962, BRALA06392, BRALA06433, BRALA06447, BRALA06441, BRALA06456, BRALA06479, BRALA06414
OG0000135	SCHMD24143, SCHMD24147	BRALA34007
OG0000137	SCHMD04306	BRALA28974, BRALA04537
OG0000137	SCHMD09558	BRALA25430, BRALA25424, BRALA35631, BRALA30028
OG0000140	SCHMD02421, SCHMD05316, SCHMD01679	BRALA29073
OG0000140	SCHMD01677	BRALA12989
OG0000142	SCHMD14394, SCHMD01440, SCHMD00718	BRALA11507
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	BRALA24723, BRALA02306
OG0000145	SCHMD03152	BRALA21332, BRALA01491, BRALA20200, BRALA22128, BRALA17183, BRALA33209
OG0000147	SCHMD11019	BRALA33037
OG0000147	SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025	BRALA34645
OG0000148	SCHMD08056	BRALA19052, BRALA19046, BRALA19045, BRALA19050, BRALA19051
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	BRALA00287, BRALA18487
OG0000151	SCHMD02747, SCHMD12342	BRALA21767, BRALA30997
OG0000153	SCHMD18559	BRALA19462
OG0000153	SCHMD05163, SCHMD05160	BRALA16384
OG0000153	SCHMD02381	BRALA09706
OG0000155	SCHMD13125	BRALA16575
OG0000157	SCHMD06364	BRALA34949
OG0000157	SCHMD03548, SCHMD06363	BRALA27057
OG0000159	SCHMD26601, SCHMD09606	BRALA09776
OG0000159	SCHMD14942	BRALA02187, BRALA12258, BRALA02682, BRALA07694, BRALA07731, BRALA07711
OG0000160	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430	BRALA17752, BRALA19774
OG0000162	SCHMD08934, SCHMD09890	BRALA34185
OG0000162	SCHMD01637	BRALA34897
OG0000162	SCHMD26694	BRALA29217, BRALA32848, BRALA35892, BRALA35512, BRALA28170, BRALA34322, BRALA34430, BRALA35671, BRALA34178
OG0000162	SCHMD05631, SCHMD22574, SCHMD09891	BRALA33970
OG0000163	SCHMD23090	BRALA16731, BRALA16733, BRALA16732
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	BRALA00110
OG0000166	SCHMD08400	BRALA33546
OG0000166	SCHMD28623, SCHMD22442	BRALA35030
OG0000167	SCHMD16214, SCHMD15187	BRALA00255
OG0000169	SCHMD00386	BRALA08147, BRALA04305
OG0000169	SCHMD00387	BRALA11953
OG0000171	SCHMD26790, SCHMD13950	BRALA35313
OG0000171	SCHMD07239	BRALA35602
OG0000171	SCHMD01258, SCHMD16118	BRALA06159
OG0000173	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093	BRALA05385
OG0000173	SCHMD19854, SCHMD17711	BRALA20993
OG0000174	SCHMD09838	BRALA01909
OG0000174	SCHMD22727, SCHMD14760, SCHMD22728	BRALA10706, BRALA03775
OG0000175	SCHMD18439, SCHMD17544	BRALA24671, BRALA14699, BRALA14698
OG0000179	SCHMD11075	BRALA13816
OG0000179	SCHMD01320	BRALA15064, BRALA15063
OG0000179	SCHMD18057, SCHMD09466, SCHMD10031, SCHMD16482, SCHMD14348, SCHMD09468	BRALA03686
OG0000180	SCHMD14947	BRALA18756, BRALA05592
OG0000180	SCHMD20813	BRALA18766
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	BRALA20263
OG0000181	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328	BRALA25948
OG0000182	SCHMD20312	BRALA20922
