Orthogroup	XENTR	HELIO_ok
OG0000106	XENTR07802	HELIO_07474
OG0000106	XENTR05910, XENTR12158, XENTR05297	HELIO_05614, HELIO_10877
OG0000113	XENTR00307	HELIO_06754
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	HELIO_10462, HELIO_00027, HELIO_06292
OG0000115	XENTR10985	HELIO_10283, HELIO_10284
OG0000116	XENTR12530	HELIO_08217, HELIO_10553
OG0000119	XENTR05393, XENTR05242, XENTR06871	HELIO_09291
OG0000119	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015
OG0000119	XENTR01125, XENTR14071	HELIO_08423, HELIO_01329
OG0000121	XENTR04902, XENTR18080	HELIO_11384
OG0000122	XENTR06907, XENTR17281	HELIO_09221
OG0000122	XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802	HELIO_00601, HELIO_11330
OG0000123	XENTR09572, XENTR12457, XENTR17140	HELIO_08717
OG0000123	XENTR02182	HELIO_08884
OG0000123	XENTR10906	HELIO_09001
OG0000124	XENTR05926	HELIO_02264
OG0000124	XENTR10247, XENTR00962, XENTR04813	HELIO_07531
OG0000124	XENTR09248, XENTR09249	HELIO_08965
OG0000124	XENTR13084, XENTR11997	HELIO_01505
OG0000125	XENTR01735, XENTR14091, XENTR08560	HELIO_11225
OG0000125	XENTR01738, XENTR14098	HELIO_03951
OG0000125	XENTR05425	HELIO_08019
OG0000126	XENTR02718, XENTR02062, XENTR09023	HELIO_05678
OG0000126	XENTR14632, XENTR03466	HELIO_02617
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	HELIO_12717
OG0000127	XENTR02720, XENTR03441, XENTR09025	HELIO_00274
OG0000127	XENTR10923, XENTR12718	HELIO_04203
OG0000127	XENTR18212	HELIO_00760
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	HELIO_10652
