Orthogroup	XENTR	BRAFL
OG0000077	XENTR01904, XENTR08754, XENTR13403	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366
OG0000077	XENTR07875, XENTR00642, XENTR04757	bflo_18777, bflo_23174
OG0000078	XENTR16140	bflo_05955
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	bflo_03225, bflo_03224, bflo_03600, bflo_00994, bflo_16269, bflo_01905, bflo_16844, bflo_16039, bflo_09080, bflo_03425, bflo_02138
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	bflo_00523
OG0000079	XENTR08294, XENTR08293, XENTR03649	bflo_07371
OG0000079	XENTR01194	bflo_20026
OG0000079	XENTR15371	bflo_01658
OG0000080	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066	bflo_20693, bflo_04566
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	bflo_15913, bflo_15912, bflo_16774, bflo_16578, bflo_25892, bflo_26241
OG0000081	XENTR05089, XENTR04318, XENTR10285, XENTR00627	bflo_25900, bflo_13564, bflo_13563
OG0000082	XENTR16096	bflo_15900
OG0000082	XENTR01624, XENTR01625	bflo_04889
OG0000083	XENTR04370, XENTR12084, XENTR05647	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533
OG0000084	XENTR14395, XENTR14216, XENTR02688	bflo_10754
OG0000084	XENTR05567, XENTR06450	bflo_08430
OG0000085	XENTR01729, XENTR03138	bflo_00992
OG0000085	XENTR15005	bflo_12569
OG0000085	XENTR14407, XENTR15163, XENTR04222	bflo_17482
OG0000085	XENTR12508, XENTR04053	bflo_20149
OG0000085	XENTR12352, XENTR12351	bflo_18272, bflo_18210
OG0000086	XENTR14579	bflo_08397, bflo_26694, bflo_24334, bflo_04403, bflo_02111
OG0000087	XENTR17246	bflo_21260
OG0000087	XENTR13447, XENTR13446	bflo_15474, bflo_15461
OG0000087	XENTR07023	bflo_02993
OG0000087	XENTR10385	bflo_02949, bflo_07784, bflo_11840
OG0000087	XENTR06016	bflo_11911
OG0000087	XENTR00988	bflo_22659
OG0000087	XENTR18799	bflo_03240
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738, bflo_20465
OG0000089	XENTR04109	bflo_17962, bflo_17832, bflo_01283, bflo_21188
OG0000090	XENTR11768	bflo_16621
OG0000090	XENTR06545	bflo_02393
OG0000091	XENTR08624	bflo_24376, bflo_24373, bflo_24374, bflo_18056, bflo_18055, bflo_18057, bflo_27165, bflo_18268, bflo_05649, bflo_27146, bflo_06396
OG0000093	XENTR11592	bflo_08402, bflo_20451
OG0000093	XENTR02843, XENTR08380	bflo_26066, bflo_22106, bflo_08411, bflo_26076
OG0000094	XENTR09915, XENTR14788, XENTR17591	bflo_11484
OG0000096	XENTR02028, XENTR07076, XENTR03113	bflo_21246, bflo_21213
OG0000096	XENTR02339, XENTR11518	bflo_11038
OG0000096	XENTR06220, XENTR01880	bflo_17838
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	bflo_24085, bflo_09131
OG0000096	XENTR16018, XENTR14119	bflo_03032
OG0000096	XENTR17893	bflo_18893
OG0000098	XENTR05433, XENTR18578, XENTR17176	bflo_26530, bflo_24865
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	bflo_05564
OG0000099	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898	bflo_14861, bflo_14862
OG0000099	XENTR08245, XENTR06050	bflo_17705
OG0000099	XENTR16324, XENTR11719, XENTR12540	bflo_18245
OG0000101	XENTR09885, XENTR05951	bflo_10195
OG0000101	XENTR10544, XENTR10545	bflo_18450
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	bflo_07765, bflo_07393, bflo_18261, bflo_09088, bflo_24291, bflo_00022, bflo_08232, bflo_08101, bflo_08348, bflo_06024, bflo_18190, bflo_18188
OG0000102	XENTR10759, XENTR05530	bflo_26889, bflo_08442, bflo_08423, bflo_08476
OG0000102	XENTR17165, XENTR06155	bflo_05363, bflo_05367, bflo_05364, bflo_05378, bflo_05369, bflo_05365, bflo_04323
