Orthogroup	XENTR	BRALA
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	BRALA02325, BRALA02320, BRALA02318, BRALA10234, BRALA02688, BRALA30889, BRALA02317, BRALA11328
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	BRALA00097, BRALA00109
OG0000079	XENTR08294, XENTR08293, XENTR03649	BRALA18105
OG0000079	XENTR01194	BRALA22809
OG0000079	XENTR15371	BRALA13477
OG0000080	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066	BRALA29553, BRALA02745, BRALA15989, BRALA02542
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	BRALA18450, BRALA18449, BRALA18446, BRALA18452, BRALA05158, BRALA05161
OG0000081	XENTR05089, XENTR04318, XENTR10285, XENTR00627	BRALA05164, BRALA21995, BRALA12438, BRALA12435
OG0000082	XENTR16096	BRALA23665
OG0000082	XENTR01624, XENTR01625	BRALA23991
OG0000083	XENTR04370, XENTR12084, XENTR05647	BRALA11838, BRALA11834
OG0000084	XENTR14395, XENTR14216, XENTR02688	BRALA16357
OG0000084	XENTR05567, XENTR06450	BRALA27744
OG0000085	XENTR01729, XENTR03138	BRALA10231
OG0000085	XENTR04052, XENTR12507	BRALA35021
OG0000085	XENTR15005	BRALA20574
OG0000085	XENTR14407, XENTR15163, XENTR04222	BRALA19315
OG0000085	XENTR12508, XENTR04053	BRALA25446
OG0000085	XENTR12352, XENTR12351	BRALA18829
OG0000086	XENTR14579	BRALA06694
OG0000087	XENTR06736	BRALA04156
OG0000087	XENTR07023	BRALA02414
OG0000087	XENTR10385	BRALA11394
OG0000087	XENTR18799	BRALA11396, BRALA13093
OG0000087	XENTR00376	BRALA20310
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	BRALA15338, BRALA01326, BRALA11261, BRALA04185, BRALA11262, BRALA11263, BRALA13073, BRALA15449, BRALA28619, BRALA23225, BRALA05764, BRALA00340, BRALA17728
OG0000089	XENTR04109	BRALA34209, BRALA08976, BRALA35711, BRALA10278, BRALA30045
OG0000090	XENTR11768	BRALA02611
OG0000090	XENTR06545	BRALA04706
OG0000091	XENTR08624	BRALA15793, BRALA15791, BRALA21812, BRALA21813, BRALA21766, BRALA17200, BRALA17198, BRALA20643, BRALA24218, BRALA11634, BRALA07640, BRALA34071, BRALA10846, BRALA26173
OG0000093	XENTR11592	BRALA25999, BRALA23972
OG0000093	XENTR02843, XENTR08380	BRALA01382, BRALA01380
OG0000094	XENTR18065	BRALA34518
OG0000094	XENTR09915, XENTR14788, XENTR17591	BRALA09222, BRALA24092
OG0000096	XENTR02028, XENTR07076, XENTR03113	BRALA29898, BRALA29897
OG0000096	XENTR06220, XENTR01880	BRALA16859
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	BRALA08595, BRALA28945
OG0000096	XENTR17893	BRALA24883
OG0000097	XENTR04701, XENTR00449, XENTR04699, XENTR04698, XENTR04700	BRALA14234
OG0000098	XENTR05433, XENTR18578, XENTR17176	BRALA00433
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	BRALA09558
OG0000099	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898	BRALA22450, BRALA22449
OG0000099	XENTR08245, XENTR06050	BRALA15695, BRALA29540
OG0000099	XENTR16324, XENTR11719, XENTR12540	BRALA29541
OG0000101	XENTR09885, XENTR05951	BRALA27830
OG0000101	XENTR10544, XENTR10545	BRALA35778, BRALA34308
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	BRALA07967, BRALA07968, BRALA07970, BRALA07971, BRALA07969, BRALA14905, BRALA34983, BRALA04209, BRALA32337, BRALA04500, BRALA17899, BRALA22970
OG0000102	XENTR10759, XENTR05530	BRALA25931
OG0000102	XENTR17165, XENTR06155	BRALA10017, BRALA10010, BRALA10018, BRALA10013, BRALA10014
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	BRALA12702, BRALA24770, BRALA25187, BRALA25191, BRALA31877, BRALA22032, BRALA34609, BRALA35379, BRALA31987, BRALA22034, BRALA22033
OG0000104	XENTR05699, XENTR11871	BRALA24676, BRALA24677
OG0000104	XENTR03188, XENTR10251	BRALA26650
OG0000104	XENTR11872, XENTR05698	BRALA24675
OG0000104	XENTR07142	BRALA25097, BRALA25098
