Orthogroup	XENTR	ORYLA
OG0000068	XENTR01321	ORYLA11242, ORYLA11243, ORYLA14701
OG0000068	XENTR07981	ORYLA15913
OG0000068	XENTR06611	ORYLA10852
OG0000069	XENTR18834	ORYLA03855
OG0000069	XENTR16269	ORYLA08015
OG0000070	XENTR15503	ORYLA11329
OG0000070	XENTR11143	ORYLA09412
OG0000070	XENTR15175	ORYLA16519
OG0000070	XENTR15542	ORYLA20376
OG0000070	XENTR00314, XENTR18775, XENTR18776	ORYLA07085
OG0000070	XENTR05723, XENTR09834	ORYLA17312
OG0000071	XENTR09995, XENTR01851	ORYLA09791, ORYLA09793, ORYLA09792
OG0000071	XENTR10875	ORYLA11588, ORYLA18704, ORYLA12712, ORYLA12714, ORYLA12716
OG0000072	XENTR15041	ORYLA00516
OG0000072	XENTR13953	ORYLA03563
OG0000072	XENTR03548	ORYLA00527
OG0000072	XENTR18546	ORYLA04050
OG0000072	XENTR01057	ORYLA20464
OG0000072	XENTR13152	ORYLA05266
OG0000073	XENTR03608, XENTR03610, XENTR03611, XENTR03612	ORYLA06148, ORYLA06147
OG0000073	XENTR09344	ORYLA09058, ORYLA06772
OG0000073	XENTR05966, XENTR05967	ORYLA12397
OG0000073	XENTR09343	ORYLA18725
OG0000074	XENTR11114	ORYLA10949
OG0000075	XENTR02757, XENTR11353	ORYLA08229
OG0000075	XENTR12610	ORYLA07050
OG0000075	XENTR06215	ORYLA15750
OG0000075	XENTR09250	ORYLA05870, ORYLA14226
OG0000075	XENTR14285	ORYLA04438
OG0000075	XENTR04179	ORYLA10049
OG0000075	XENTR06216	ORYLA15751
OG0000075	XENTR01223	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786
OG0000075	XENTR05975	ORYLA20334
OG0000075	XENTR10723	ORYLA11054
OG0000075	XENTR17547	ORYLA14687, ORYLA10924
OG0000075	XENTR16124	ORYLA15926
OG0000075	XENTR05986, XENTR05987	ORYLA19688
OG0000077	XENTR06888	ORYLA00390
OG0000077	XENTR17790	ORYLA03856, ORYLA01218
OG0000077	XENTR02687	ORYLA02852, ORYLA17787
OG0000077	XENTR10451	ORYLA06009, ORYLA03431
OG0000077	XENTR01904	ORYLA17383
OG0000077	XENTR08754	ORYLA12034
OG0000077	XENTR13403	ORYLA00844, ORYLA07409
OG0000077	XENTR07875	ORYLA10378, ORYLA11807
OG0000077	XENTR00642	ORYLA09729
OG0000077	XENTR04757	ORYLA17450
