Orthogroup	XENTR	CAEEL
OG0000137	XENTR04900	CAEEL18416, CAEEL11601
OG0000137	XENTR10667	CAEEL10559
OG0000140	XENTR11484	CAEEL04513
OG0000142	XENTR10224, XENTR10223, XENTR07681	CAEEL19259
OG0000142	XENTR16130	CAEEL08844, CAEEL07256, CAEEL07175
OG0000147	XENTR03268, XENTR13018	CAEEL04811
OG0000147	XENTR02156, XENTR12287	CAEEL18488
OG0000148	XENTR10464, XENTR17112, XENTR02369, XENTR07951	CAEEL09804
OG0000149	XENTR03422, XENTR03423	CAEEL02847
OG0000149	XENTR01442, XENTR00579	CAEEL15543, CAEEL15991, CAEEL08694
OG0000154	XENTR11406, XENTR12586	CAEEL02932
OG0000155	XENTR03823, XENTR18176	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	XENTR09579, XENTR08086	CAEEL00241
OG0000157	XENTR09559	CAEEL01390
OG0000158	XENTR11952, XENTR09918, XENTR04676, XENTR04675, XENTR11953, XENTR17680, XENTR15601, XENTR17930, XENTR04115, XENTR04631	CAEEL20117, CAEEL08684
OG0000158	XENTR14207, XENTR14206, XENTR14205	CAEEL06141
OG0000159	XENTR09320, XENTR09321	CAEEL19486
OG0000159	XENTR09386	CAEEL02031
OG0000159	XENTR07751	CAEEL05281
OG0000160	XENTR02472, XENTR00861, XENTR00862	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	XENTR03897, XENTR06574, XENTR17419	CAEEL08313
OG0000163	XENTR10844, XENTR07114, XENTR03341	CAEEL20194, CAEEL08850
OG0000165	XENTR14265, XENTR04481, XENTR04329, XENTR18883, XENTR08529, XENTR02768, XENTR13290, XENTR13289, XENTR02058, XENTR02059, XENTR19075, XENTR04395, XENTR09345	CAEEL07846
OG0000167	XENTR11177	CAEEL00196
OG0000168	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725, XENTR00625, XENTR02065	CAEEL19018
OG0000171	XENTR05662	CAEEL11480
OG0000173	XENTR18567, XENTR18568, XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902	CAEEL04156
OG0000174	XENTR18562, XENTR12376	CAEEL12711
OG0000174	XENTR02208, XENTR05576	CAEEL09479
OG0000175	XENTR08289, XENTR15844	CAEEL19241
OG0000175	XENTR03000, XENTR09335, XENTR04649	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	XENTR01942	CAEEL13640
OG0000179	XENTR00560, XENTR12119	CAEEL02965, CAEEL06713
OG0000179	XENTR05649, XENTR05414, XENTR12627	CAEEL19466, CAEEL07193
OG0000180	XENTR01179	CAEEL03002, CAEEL02981, CAEEL03753
OG0000181	XENTR06217, XENTR12611, XENTR02755	CAEEL07684
OG0000181	XENTR06005	CAEEL10858
OG0000181	XENTR17190, XENTR17189, XENTR03816, XENTR07239, XENTR03077	CAEEL10772
OG0000181	XENTR09033, XENTR12669	CAEEL12632
OG0000183	XENTR02086, XENTR13524, XENTR16217	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	XENTR02643, XENTR17355, XENTR02630	CAEEL18435
OG0000184	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	XENTR09757, XENTR04609	CAEEL14200
OG0000188	XENTR02204, XENTR07576, XENTR05663	CAEEL20699
OG0000193	XENTR04027, XENTR10942, XENTR15293, XENTR14503, XENTR02647, XENTR19116	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079
OG0000194	XENTR14824, XENTR18660, XENTR00280, XENTR10034	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	XENTR19159	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000197	XENTR05307, XENTR15908	CAEEL04387
OG0000197	XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	XENTR01193, XENTR17668, XENTR11605, XENTR06767, XENTR06766, XENTR18054	CAEEL03057, CAEEL05629, CAEEL09718
OG0000200	XENTR00252	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152
OG0000201	XENTR04564	CAEEL07587
OG0000202	XENTR10504, XENTR02700, XENTR02277, XENTR01975, XENTR01974, XENTR01976, XENTR01977, XENTR07918, XENTR13180, XENTR02012, XENTR17556	CAEEL20283
OG0000203	XENTR03226, XENTR09015, XENTR08065, XENTR04067, XENTR17118, XENTR17119, XENTR04083, XENTR08430, XENTR04082, XENTR08431, XENTR04088	CAEEL09812
OG0000205	XENTR12959, XENTR05519	CAEEL13029
OG0000205	XENTR18445, XENTR10749, XENTR03131	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	XENTR04496, XENTR02974, XENTR04340, XENTR04341, XENTR00010, XENTR10649, XENTR07893, XENTR15259, XENTR07892	CAEEL05874, CAEEL00203
OG0000210	XENTR04415	CAEEL19469
OG0000211	XENTR00605	CAEEL15290
OG0000211	XENTR03419	CAEEL01111, CAEEL01112
OG0000211	XENTR15376, XENTR01456	CAEEL02311
OG0000215	XENTR01627, XENTR06477	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289
OG0000218	XENTR06015	CAEEL07824, CAEEL20213
