Orthogroup	XENTR	LYTVA_ok
OG0000061	XENTR10609, XENTR10747	LYTVA_02993, LYTVA_26455, LYTVA_26459
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092
OG0000062	XENTR09512	LYTVA_18550
OG0000063	XENTR10234, XENTR04709, XENTR00319	LYTVA_03474
OG0000063	XENTR11311	LYTVA_28622
OG0000063	XENTR08048, XENTR02007, XENTR01303	LYTVA_16178
OG0000066	XENTR18882	LYTVA_14724
OG0000067	XENTR13783, XENTR04874	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045
OG0000069	XENTR15529	LYTVA_15781
OG0000070	XENTR15503, XENTR11143, XENTR02048	LYTVA_12849
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	LYTVA_15079, LYTVA_12105, LYTVA_23845, LYTVA_23846, LYTVA_20695, LYTVA_28943, LYTVA_15085, LYTVA_24840, LYTVA_07974, LYTVA_17344, LYTVA_15317
OG0000072	XENTR03548, XENTR18546	LYTVA_26888
OG0000072	XENTR01057	LYTVA_23422
OG0000072	XENTR13152	LYTVA_09419
OG0000073	XENTR03006, XENTR09344, XENTR05966, XENTR05967, XENTR09343, XENTR13665	LYTVA_03728
OG0000074	XENTR10798, XENTR10797, XENTR11114	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687
OG0000074	XENTR14396	LYTVA_24139
OG0000074	XENTR07269, XENTR06689	LYTVA_23288, LYTVA_24012, LYTVA_15630, LYTVA_11187, LYTVA_06007, LYTVA_06008, LYTVA_06009, LYTVA_06154
OG0000075	XENTR02757, XENTR11353, XENTR12610	LYTVA_00904
OG0000075	XENTR06215	LYTVA_01857
OG0000075	XENTR06816, XENTR17547, XENTR16124	LYTVA_12523
OG0000077	XENTR06888, XENTR17790, XENTR02687	LYTVA_24286
OG0000077	XENTR01904, XENTR08754, XENTR13403	LYTVA_08553
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	LYTVA_29043, LYTVA_19852, LYTVA_29449, LYTVA_29039, LYTVA_11835, LYTVA_17100, LYTVA_30099, LYTVA_09049, LYTVA_20648
